time,ACCESS-CM2,ACCESS-ESM1-5,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
1980.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1981.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1982.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1983.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1984.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1985.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1986.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1987.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1988.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1989.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1990.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1991.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1992.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1993.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1994.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1995.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0,86889518000.0
1996.0,86884492000.0,86885418000.0,86886776000.0,86886174000.0,86883090000.0,86886351000.0
1997.0,86890868000.0,86891392000.0,86892312000.0,86891830000.0,86892490000.0,86891944000.0
1998.0,86888744000.0,86889626000.0,86891566000.0,86890258000.0,86889141000.0,86891282000.0
1999.0,86887481000.0,86888423000.0,86890414000.0,86889099000.0,86882453000.0,86890064000.0
2000.0,86890256000.0,86891171000.0,86893070000.0,86891839000.0,86888501000.0,86892696000.0
2001.0,86906123000.0,86905527000.0,86905820000.0,86904686000.0,86900255000.0,86905955000.0
2002.0,86905455000.0,86896039000.0,86891643000.0,86894141000.0,86884868000.0,86890556000.0
2003.0,86730587000.0,86752603000.0,86750535000.0,86763279000.0,86683889000.0,86734511000.0
2004.0,86634061000.0,86614779000.0,86640390000.0,86650398000.0,86176207000.0,86580272000.0
2005.0,86485519000.0,86461985000.0,86495825000.0,86529066000.0,85909474000.0,86426788000.0
2006.0,86215180000.0,86200908000.0,86249179000.0,86309052000.0,85483653000.0,86159973000.0
2007.0,86154734000.0,86134750000.0,86191899000.0,86234783000.0,85349248000.0,86105099000.0
2008.0,85857850000.0,85866839000.0,85934162000.0,85992748000.0,84985361000.0,85805222000.0
2009.0,85556927000.0,85579910000.0,85646191000.0,85708793000.0,84401293000.0,85540841000.0
2010.0,85528297000.0,85546653000.0,85625136000.0,85692308000.0,84430448000.0,85522128000.0
2011.0,84919292000.0,84915773000.0,85037850000.0,85129441000.0,83287624000.0,84857548000.0
2012.0,84757092000.0,84780203000.0,84826471000.0,84968243000.0,82977664000.0,84653763000.0
2013.0,83996478000.0,84055833000.0,84155528000.0,84258255000.0,81685036000.0,83999310000.0
2014.0,84200547000.0,84267706000.0,84329361000.0,84440274000.0,82032283000.0,84168299000.0
2015.0,83811643000.0,83887948000.0,83990569000.0,84088124000.0,81478409000.0,83818969000.0
2016.0,83832045000.0,83919573000.0,84017970000.0,84108741000.0,81469317000.0,83837544000.0
2017.0,83204767000.0,83315090000.0,83430367000.0,83546616000.0,80410291000.0,83241888000.0
2018.0,83434531000.0,83517079000.0,83635398000.0,83726381000.0,80489391000.0,83417150000.0
2019.0,83510764000.0,83582992000.0,83675194000.0,83786749000.0,80554900000.0,83476360000.0
2020.0,83390249000.0,83364122000.0,83204902000.0,82923905000.0,80745269000.0,83384032000.0
2021.0,83017103000.0,83362730000.0,83254384000.0,82930729000.0,80465364000.0,83143074000.0
2022.0,82698384000.0,83157828000.0,82998820000.0,82528407000.0,80426877000.0,82985590000.0
2023.0,82504294000.0,83023899000.0,82688862000.0,82225487000.0,79924956000.0,82308147000.0
2024.0,82100104000.0,82915615000.0,82590816000.0,81274820000.0,80196691000.0,81960689000.0
2025.0,81994083000.0,82484672000.0,82033443000.0,80495498000.0,79929696000.0,81508973000.0
2026.0,81962897000.0,82269258000.0,81558521000.0,80291163000.0,79735814000.0,81427806000.0
2027.0,81754037000.0,81997987000.0,81591500000.0,79773833000.0,79627499000.0,81043457000.0
2028.0,81367251000.0,81518416000.0,81151687000.0,79219060000.0,79401184000.0,80885489000.0
2029.0,80747040000.0,81363073000.0,80768334000.0,78605993000.0,78888861000.0,80713684000.0
2030.0,80513790000.0,81024903000.0,80664155000.0,78429009000.0,78848248000.0,80434148000.0
2031.0,79773763000.0,80785847000.0,80089294000.0,77780682000.0,78587455000.0,80190165000.0
2032.0,79588172000.0,80429702000.0,80055482000.0,77098546000.0,77823976000.0,79737468000.0
2033.0,79254811000.0,80220966000.0,79445907000.0,76421561000.0,77647350000.0,79580898000.0
2034.0,78944735000.0,79416627000.0,79182874000.0,75751644000.0,77229660000.0,78688802000.0
2035.0,78391393000.0,79087207000.0,78578153000.0,75250668000.0,77239619000.0,78576951000.0
2036.0,78023828000.0,78956642000.0,78540054000.0,74592906000.0,77299984000.0,78271514000.0
2037.0,77623294000.0,78278860000.0,78122246000.0,73979725000.0,77155462000.0,77939975000.0
2038.0,77056600000.0,78313314000.0,77790660000.0,73424331000.0,77035473000.0,77205463000.0
2039.0,76695174000.0,77766256000.0,77100765000.0,72882441000.0,76613189000.0,77063758000.0
2040.0,76129701000.0,77472773000.0,76260417000.0,72512903000.0,76208141000.0,76831227000.0
2041.0,75924058000.0,77035855000.0,76068933000.0,71796816000.0,76311946000.0,76429204000.0
2042.0,75571700000.0,77014428000.0,75307361000.0,71019076000.0,75966534000.0,76063712000.0
