time,CESM2-WACCM,CanESM5,MRI-ESM2-0
1980.0,51306863000.0,51306863000.0,51306863000.0
1981.0,51306863000.0,51306863000.0,51306863000.0
1982.0,51306863000.0,51306863000.0,51306863000.0
1983.0,51306863000.0,51306863000.0,51306863000.0
1984.0,51306863000.0,51306863000.0,51306863000.0
1985.0,51306863000.0,51306863000.0,51306863000.0
1986.0,51306863000.0,51306863000.0,51306863000.0
1987.0,51306863000.0,51306863000.0,51306863000.0
1988.0,51306863000.0,51306863000.0,51306863000.0
1989.0,51306863000.0,51306863000.0,51306863000.0
1990.0,51306863000.0,51306863000.0,51306863000.0
1991.0,51306863000.0,51306863000.0,51306863000.0
1992.0,51306863000.0,51306863000.0,51306863000.0
1993.0,51306863000.0,51306863000.0,51306863000.0
1994.0,51306863000.0,51306863000.0,51306863000.0
1995.0,51306863000.0,51306863000.0,51306863000.0
1996.0,51306863000.0,51306863000.0,51306863000.0
1997.0,51306863000.0,51306863000.0,51306863000.0
1998.0,51306863000.0,51306863000.0,51306863000.0
1999.0,51306863000.0,51306863000.0,51306863000.0
2000.0,51306863000.0,51306863000.0,51306863000.0
2001.0,51306863000.0,51306863000.0,51306863000.0
2002.0,51263180000.0,51281589000.0,51280160000.0
2003.0,51282958000.0,51305649000.0,51306794000.0
2004.0,51282016000.0,51305669000.0,51317439000.0
2005.0,51213523000.0,51255432000.0,51258514000.0
2006.0,51185526000.0,51232521000.0,51236628000.0
2007.0,51173082000.0,51238288000.0,51236609000.0
2008.0,51163204000.0,51215127000.0,51226560000.0
2009.0,51159696000.0,51200018000.0,51217999000.0
2010.0,51172777000.0,51204715000.0,51227674000.0
2011.0,51185332000.0,51200396000.0,51237314000.0
2012.0,51027094000.0,51075833000.0,51121027000.0
2013.0,50817434000.0,50912884000.0,51038808000.0
2014.0,50722786000.0,50821563000.0,50889456000.0
2015.0,50786418000.0,50824327000.0,50914708000.0
2016.0,50649685000.0,50712564000.0,50813392000.0
