time,CESM2-WACCM,CanESM5,MRI-ESM2-0
1980.0,696386981000.0,696386981000.0,696386981000.0
1981.0,695418365000.0,695517839000.0,695446308000.0
1982.0,695424278000.0,695503005000.0,695451677000.0
1983.0,695367252000.0,695444989000.0,695407866000.0
1984.0,695507377000.0,695593350000.0,695554312000.0
1985.0,695539750000.0,695606004000.0,695581536000.0
1986.0,695282161000.0,695333121000.0,695332014000.0
1987.0,695185489000.0,695292765000.0,695312610000.0
1988.0,695191422000.0,695220698000.0,695247154000.0
1989.0,695020104000.0,695103036000.0,695154108000.0
1990.0,694961695000.0,694998362000.0,695005762000.0
1991.0,694430325000.0,694610530000.0,694556450000.0
1992.0,694440313000.0,694478524000.0,694495342000.0
1993.0,694391820000.0,694439452000.0,694467945000.0
1994.0,694103055000.0,694250616000.0,694223755000.0
1995.0,694074844000.0,694228102000.0,694102564000.0
1996.0,693994364000.0,694082502000.0,694099143000.0
1997.0,694000323000.0,694056963000.0,694090249000.0
1998.0,693895033000.0,694046310000.0,694011066000.0
1999.0,693459845000.0,693851264000.0,693646559000.0
2000.0,693503069000.0,693608077000.0,693636760000.0
2001.0,693192702000.0,693331185000.0,693406480000.0
2002.0,692856298000.0,693018199000.0,693221610000.0
2003.0,692688113000.0,693017758000.0,693077812000.0
2004.0,691875909000.0,692315777000.0,692272272000.0
2005.0,691457624000.0,691905904000.0,691931309000.0
2006.0,690403483000.0,690987641000.0,690971619000.0
2007.0,689114070000.0,689845442000.0,689828585000.0
2008.0,687990603000.0,688887082000.0,688647091000.0
2009.0,686358335000.0,686910744000.0,687010834000.0
2010.0,685684978000.0,686279596000.0,686489823000.0
2011.0,684510128000.0,685052997000.0,685263412000.0
2012.0,682311316000.0,683108293000.0,683721346000.0
2013.0,680189086000.0,681136779000.0,681930733000.0
2014.0,678533004000.0,679530486000.0,680242465000.0
2015.0,676962427000.0,677522832000.0,678544379000.0
2016.0,675358304000.0,675674983000.0,677213286000.0
2017.0,671221829000.0,671722988000.0,673458846000.0
2018.0,669232831000.0,669465732000.0,671521659000.0
2019.0,666895424000.0,667101140000.0,669442186000.0
2020.0,664804570000.0,663146669000.0,667441416000.0
2021.0,661893267000.0,660778301000.0,665315691000.0
2022.0,657975415000.0,656835848000.0,663638618000.0
2023.0,654330676000.0,652663518000.0,658365333000.0
2024.0,652280787000.0,647555396000.0,656346469000.0
2025.0,647930372000.0,642073817000.0,651947711000.0
2026.0,644809443000.0,638832991000.0,650415177000.0
2027.0,641014265000.0,634238384000.0,646057585000.0
2028.0,637789976000.0,629256294000.0,644116128000.0
2029.0,634431314000.0,623451901000.0,640013540000.0
2030.0,632005615000.0,618717647000.0,637820752000.0
2031.0,629933651000.0,613523179000.0,633553683000.0
2032.0,627898257000.0,607653764000.0,630216018000.0
2033.0,623547374000.0,601584831000.0,626192693000.0
2034.0,620881945000.0,596820184000.0,622857624000.0
2035.0,617812657000.0,590003506000.0,620126255000.0
2036.0,615081246000.0,585814875000.0,616860567000.0
2037.0,611298252000.0,579257153000.0,613647040000.0
2038.0,606487655000.0,573659779000.0,607494385000.0
2039.0,601859874000.0,567534175000.0,603210318000.0
2040.0,598553274000.0,562252692000.0,599078583000.0
2041.0,594365338000.0,556042972000.0,593994677000.0
2042.0,589517142000.0,549299763000.0,588720405000.0
2043.0,586002480000.0,541841979000.0,582280692000.0
2044.0,581939235000.0,535720721000.0,578275532000.0
2045.0,576724907000.0,530564915000.0,573128680000.0
2046.0,572388881000.0,523504234000.0,568777595000.0
2047.0,569231349000.0,517435563000.0,564378841000.0
2048.0,564097971000.0,511873666000.0,557634136000.0
2049.0,560434612000.0,505418887000.0,554196592000.0
2050.0,555887455000.0,500003810000.0,547386352000.0
2051.0,551057001000.0,494853629000.0,543252401000.0
2052.0,545480580000.0,488283455000.0,538736629000.0
2053.0,539959315000.0,482671744000.0,532331555000.0
2054.0,535989972000.0,478024780000.0,528086897000.0
2055.0,530714092000.0,472063007000.0,524148669000.0
2056.0,526635604000.0,466139361000.0,519797551000.0
2057.0,519962977000.0,460936244000.0,515989084000.0
2058.0,515772938000.0,454487969000.0,511704081000.0
2059.0,511271152000.0,449439924000.0,507286365000.0
2060.0,506369970000.0,443721807000.0,504139599000.0
2061.0,502768866000.0,439089085000.0,499183847000.0
2062.0,499053506000.0,433299901000.0,497098025000.0
2063.0,495107469000.0,427823331000.0,493889897000.0
2064.0,491679481000.0,422830953000.0,490178083000.0
2065.0,486530004000.0,418926173000.0,487193565000.0
2066.0,483423489000.0,413601271000.0,484018909000.0
2067.0,479128742000.0,409557259000.0,481595918000.0
2068.0,474887480000.0,405028883000.0,479538546000.0
2069.0,471339074000.0,400305690000.0,477649248000.0
2070.0,468174002000.0,395886183000.0,474938097000.0
2071.0,464669279000.0,393156049000.0,472902052000.0
2072.0,461027389000.0,389781908000.0,468934962000.0
2073.0,457528439000.0,385142906000.0,466107859000.0
2074.0,454923886000.0,382720638000.0,463659643000.0
2075.0,453063891000.0,378797617000.0,460552339000.0
2076.0,448532380000.0,375111101000.0,457730225000.0
2077.0,446594370000.0,371541521000.0,454956249000.0
2078.0,443450240000.0,368859638000.0,453092664000.0
2079.0,440956156000.0,365676880000.0,450361080000.0
2080.0,436946489000.0,363365195000.0,447762167000.0
2081.0,435027112000.0,360514209000.0,444614874000.0
2082.0,433479143000.0,358076829000.0,442212707000.0
2083.0,431088354000.0,355147626000.0,440132663000.0
2084.0,428633569000.0,352233836000.0,438041425000.0
2085.0,425999827000.0,350114647000.0,435722130000.0
2086.0,424776168000.0,348275451000.0,434322053000.0
2087.0,422750780000.0,345669787000.0,432933796000.0
