time,ACCESS-CM2,ACCESS-ESM1-5,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
1980.0,696386981000.0,696386981000.0,696386981000.0,696386981000.0,696386981000.0,696386981000.0
1981.0,695492917000.0,695418740000.0,695418365000.0,695517839000.0,695496317000.0,695446308000.0
1982.0,695472378000.0,695420530000.0,695424278000.0,695503005000.0,695437210000.0,695451677000.0
1983.0,695433731000.0,695387668000.0,695367252000.0,695444989000.0,695392865000.0,695407866000.0
1984.0,695565962000.0,695520524000.0,695507377000.0,695593350000.0,695483382000.0,695554312000.0
1985.0,695585339000.0,695467795000.0,695539750000.0,695606004000.0,695478874000.0,695581536000.0
1986.0,695330249000.0,695148053000.0,695282161000.0,695333121000.0,695121779000.0,695332014000.0
1987.0,695299388000.0,695133353000.0,695185489000.0,695292765000.0,695080633000.0,695312610000.0
1988.0,695298237000.0,695088071000.0,695191422000.0,695220698000.0,695059947000.0,695247154000.0
1989.0,695086112000.0,694892235000.0,695020104000.0,695103036000.0,694927813000.0,695154108000.0
1990.0,694958578000.0,694830784000.0,694961695000.0,694998362000.0,694665451000.0,695005762000.0
1991.0,694536276000.0,694408220000.0,694430325000.0,694610530000.0,694128346000.0,694556450000.0
1992.0,694451217000.0,694332648000.0,694440313000.0,694478524000.0,694019492000.0,694495342000.0
1993.0,694284319000.0,694172746000.0,694391820000.0,694439452000.0,693939881000.0,694467945000.0
1994.0,694113003000.0,694059996000.0,694103055000.0,694250616000.0,693621944000.0,694223755000.0
1995.0,694084742000.0,693881011000.0,694074844000.0,694228102000.0,693482636000.0,694102564000.0
1996.0,693956513000.0,693858241000.0,693994364000.0,694082502000.0,693451374000.0,694099143000.0
1997.0,693844775000.0,693803461000.0,694000323000.0,694056963000.0,693349696000.0,694090249000.0
1998.0,693758758000.0,693719422000.0,693895033000.0,694046310000.0,693212162000.0,694011066000.0
1999.0,693555412000.0,693502907000.0,693459845000.0,693851264000.0,692831754000.0,693646559000.0
2000.0,693500939000.0,693467708000.0,693503069000.0,693608077000.0,692745723000.0,693636760000.0
2001.0,693142105000.0,693127448000.0,693192702000.0,693331185000.0,692351815000.0,693406480000.0
2002.0,692730996000.0,692632568000.0,692856298000.0,693018199000.0,691630613000.0,693221610000.0
2003.0,692538835000.0,692571241000.0,692688113000.0,693017758000.0,691264053000.0,693077812000.0
2004.0,691900573000.0,691793430000.0,691875909000.0,692315777000.0,689788017000.0,692272272000.0
