time,CESM2-WACCM,CanESM5,MRI-ESM2-0
1980.0,18671951100000.0,18671951100000.0,18671951100000.0
1981.0,18671951100000.0,18671951100000.0,18671951100000.0
1982.0,18671951100000.0,18671951100000.0,18671951100000.0
1983.0,18671951100000.0,18671951100000.0,18671951100000.0
1984.0,18671951100000.0,18671951100000.0,18671951100000.0
1985.0,18671951100000.0,18671951100000.0,18671951100000.0
1986.0,18671951100000.0,18671951100000.0,18671951100000.0
1987.0,18671951100000.0,18671951100000.0,18671951100000.0
1988.0,18671951100000.0,18671951100000.0,18671951100000.0
1989.0,18671951100000.0,18671951100000.0,18671951100000.0
1990.0,18671951100000.0,18671951100000.0,18671951100000.0
1991.0,18671951100000.0,18671951100000.0,18671951100000.0
1992.0,18671951100000.0,18671951100000.0,18671951100000.0
1993.0,18671951100000.0,18671951100000.0,18671951100000.0
1994.0,18671951100000.0,18671951100000.0,18671951100000.0
1995.0,18671951100000.0,18671951100000.0,18671951100000.0
1996.0,18671951100000.0,18671951100000.0,18671951100000.0
1997.0,18671951100000.0,18671951100000.0,18671951100000.0
1998.0,18671951100000.0,18671951100000.0,18671951100000.0
1999.0,18671951100000.0,18671951100000.0,18671951100000.0
2000.0,18671951100000.0,18671951100000.0,18671951100000.0
2001.0,18671951100000.0,18671951100000.0,18671951100000.0
2002.0,18671923000000.0,18671923700000.0,18671932900000.0
2003.0,18671916100000.0,18671927100000.0,18671934000000.0
2004.0,18671612200000.0,18671632000000.0,18671652200000.0
2005.0,18671290500000.0,18671354300000.0,18671367900000.0
2006.0,18668332400000.0,18668572900000.0,18668738500000.0
2007.0,18665134100000.0,18665890100000.0,18666030900000.0
2008.0,18661353100000.0,18661547600000.0,18662259600000.0
2009.0,18666207500000.0,18665015200000.0,18665275100000.0
2010.0,18646185000000.0,18646776400000.0,18646786500000.0
2011.0,18618582000000.0,18614692600000.0,18615925400000.0
2012.0,18565361300000.0,18570522900000.0,18566682700000.0
2013.0,18535458800000.0,18551564200000.0,18536345200000.0
2014.0,18394365200000.0,18392690700000.0,18398903300000.0
2015.0,18223018400000.0,18217007800000.0,18229788600000.0
2016.0,18099077700000.0,18089757900000.0,18116701700000.0
2017.0,17936172600000.0,17921415300000.0,17960341000000.0
2018.0,17786980400000.0,17774983100000.0,17815833900000.0
2019.0,17680380600000.0,17669733400000.0,17712377100000.0
2020.0,17520661800000.0,17550074100000.0,17645924700000.0
2021.0,17413503300000.0,17443757300000.0,17582506500000.0
2022.0,17196059500000.0,17405199300000.0,17514919600000.0
2023.0,17016646600000.0,17305523800000.0,17338465000000.0
2024.0,16916890300000.0,17202197300000.0,17265145100000.0
2025.0,16802658600000.0,17152387900000.0,17078676500000.0
2026.0,16630625400000.0,17154366800000.0,17010568800000.0
2027.0,16425396000000.0,17060890700000.0,16873498600000.0
2028.0,16199248400000.0,17027220500000.0,16862880700000.0
2029.0,16034932300000.0,16873816600000.0,16692814700000.0
2030.0,15980078700000.0,16737856100000.0,16617264700000.0
2031.0,15918170600000.0,16583842100000.0,16413773100000.0
2032.0,15854463800000.0,16407506700000.0,16212430500000.0
2033.0,15758018900000.0,16283867800000.0,16066371900000.0
2034.0,15622855500000.0,16171549400000.0,15984373100000.0
2035.0,15449407600000.0,16020153600000.0,15970006100000.0
2036.0,15327433100000.0,15920145400000.0,15884484500000.0
2037.0,15163832300000.0,15719611300000.0,15777027900000.0
2038.0,14918543400000.0,15607981700000.0,15534367700000.0
2039.0,14799024800000.0,15554101700000.0,15311361000000.0
2040.0,14782929900000.0,15303542800000.0,15099542900000.0
2041.0,14662711200000.0,15110007700000.0,14970268900000.0
2042.0,14442177200000.0,14823979600000.0,14755715300000.0
2043.0,14290230200000.0,14659136300000.0,14585628800000.0
2044.0,14120284400000.0,14526376900000.0,14418404300000.0
2045.0,13908517800000.0,14397603300000.0,14256218200000.0
2046.0,13761101600000.0,14189420100000.0,14193422500000.0
2047.0,13527749100000.0,14046822800000.0,14042840300000.0
2048.0,13299218000000.0,13863523000000.0,13875768600000.0
2049.0,13092291800000.0,13771082900000.0,13782703200000.0
2050.0,12971742800000.0,13646939500000.0,13526356800000.0
2051.0,12775060500000.0,13526197900000.0,13326406300000.0
2052.0,12461740500000.0,13282314500000.0,13260691800000.0
2053.0,12194932900000.0,13074187600000.0,13143312600000.0
2054.0,12071274700000.0,12974966100000.0,12978616700000.0
2055.0,11776998700000.0,12832099600000.0,12832992500000.0
2056.0,11514602900000.0,12648852000000.0,12686935400000.0
2057.0,11167680100000.0,12491240400000.0,12495695000000.0
2058.0,10924777400000.0,12218443100000.0,12333837300000.0
2059.0,10708100900000.0,11972345900000.0,12208418400000.0
2060.0,10548135700000.0,11657278800000.0,12110507200000.0
2061.0,10381904300000.0,11474949400000.0,11946790300000.0
2062.0,10183670900000.0,11280663100000.0,11819479300000.0
2063.0,10001539000000.0,11020217600000.0,11697246300000.0
2064.0,9806437900000.0,10756295000000.0,11504511500000.0
