time,ACCESS-CM2,ACCESS-ESM1-5,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
1980.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1981.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1982.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1983.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1984.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1985.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1986.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1987.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1988.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1989.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1990.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1991.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1992.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1993.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1994.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1995.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0,13334070400000.0
1996.0,13333658600000.0,13333731400000.0,13333836300000.0,13333785600000.0,13333512100000.0,13333798300000.0
1997.0,13333946600000.0,13334020100000.0,13334120000000.0,13334075200000.0,13334007000000.0,13334077600000.0
1998.0,13333988900000.0,13334073200000.0,13334222800000.0,13334130200000.0,13334047900000.0,13334185400000.0
1999.0,13333777500000.0,13333881000000.0,13334076500000.0,13333946600000.0,13333317400000.0,13334034100000.0
2000.0,13333921700000.0,13334024900000.0,13334206700000.0,13334091300000.0,13333564400000.0,13334161900000.0
2001.0,13334777800000.0,13334609900000.0,13334551400000.0,13334563300000.0,13334007800000.0,13334683400000.0
2002.0,13331483300000.0,13330127600000.0,13329452100000.0,13330108800000.0,13327106000000.0,13329541300000.0
2003.0,13298357400000.0,13301891500000.0,13297182800000.0,13301167900000.0,13284548700000.0,13295853700000.0
2004.0,13253000900000.0,13252854100000.0,13251953200000.0,13255883200000.0,13176482900000.0,13245214600000.0
2005.0,13223338000000.0,13219862600000.0,13222648000000.0,13228703800000.0,13113404900000.0,13212258500000.0
2006.0,13172607900000.0,13166133500000.0,13170376400000.0,13184295400000.0,13036184600000.0,13156582000000.0
2007.0,13138404700000.0,13138563000000.0,13144517500000.0,13153364500000.0,12988747800000.0,13130194400000.0
2008.0,13093373100000.0,13092929500000.0,13101527600000.0,13112983200000.0,12923348900000.0,13076997700000.0
2009.0,13016739100000.0,13023561800000.0,13023564500000.0,13038596500000.0,12805404200000.0,13009049800000.0
2010.0,12990107300000.0,12997048800000.0,12999369200000.0,13014227900000.0,12770850800000.0,12985252100000.0
2011.0,12910411000000.0,12913659500000.0,12922226600000.0,12938693100000.0,12638880500000.0,12899125900000.0
2012.0,12839512600000.0,12852388600000.0,12845860400000.0,12870832000000.0,12526773100000.0,12822144400000.0
2013.0,12725265700000.0,12743214900000.0,12735073600000.0,12754765800000.0,12337453400000.0,12714148800000.0
2014.0,12713914400000.0,12733766600000.0,12724336400000.0,12743119500000.0,12325796200000.0,12702087400000.0
2015.0,12680211200000.0,12700009000000.0,12693898000000.0,12711601200000.0,12283810900000.0,12670463000000.0
2016.0,12657156700000.0,12679740000000.0,12673884200000.0,12690420800000.0,12245324700000.0,12649135000000.0
2017.0,12576206600000.0,12602289300000.0,12592380800000.0,12614827100000.0,12103694300000.0,12567130800000.0
2018.0,12570125900000.0,12593779800000.0,12585838700000.0,12603166900000.0,12064156200000.0,12556749400000.0
2019.0,12590711300000.0,12611619300000.0,12600343800000.0,12619905000000.0,12079260300000.0,12572238000000.0
2020.0,12570633700000.0,12585259800000.0,12543907600000.0,12521735600000.0,12104919100000.0,12562109200000.0
2021.0,12520122000000.0,12572883500000.0,12520738300000.0,12479786900000.0,12080842800000.0,12531189600000.0
2022.0,12469358200000.0,12551612600000.0,12489802800000.0,12434718900000.0,12054917100000.0,12501246400000.0
2023.0,12434630600000.0,12524767900000.0,12441751500000.0,12384745000000.0,12001745000000.0,12419131100000.0
2024.0,12383395400000.0,12496971500000.0,12411568000000.0,12276153300000.0,12009997700000.0,12343810300000.0
