time,ACCESS-CM2,ACCESS-ESM1-5,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
1980.0,154423043300000.0,154423043300000.0,154423043300000.0,154423043300000.0,154423043300000.0,154423043300000.0
1981.0,154090262400000.0,154039582100000.0,154043760600000.0,154098998700000.0,154091906800000.0,154060346600000.0
1982.0,154040526500000.0,154013218200000.0,154021494800000.0,154059483700000.0,154011010700000.0,154032649500000.0
1983.0,154023180600000.0,153998188600000.0,153995316300000.0,154033227900000.0,153990704100000.0,154012306800000.0
1984.0,154028954200000.0,154003671200000.0,154001057400000.0,154038312000000.0,153956032100000.0,154019376500000.0
1985.0,154037713200000.0,153973066400000.0,154013841600000.0,154050071100000.0,153952007400000.0,154029124900000.0
1986.0,153914788100000.0,153821531000000.0,153889174300000.0,153925560000000.0,153803352700000.0,153907576800000.0
1987.0,153916929500000.0,153826154800000.0,153861971500000.0,153929768100000.0,153800266700000.0,153915683400000.0
1988.0,153918810200000.0,153813876200000.0,153864096700000.0,153899719000000.0,153797194600000.0,153886243900000.0
1989.0,153838990600000.0,153738821800000.0,153798265800000.0,153866445600000.0,153750615900000.0,153851619600000.0
1990.0,153773382100000.0,153698244200000.0,153757121000000.0,153806659900000.0,153635454100000.0,153773010900000.0
1991.0,153654985000000.0,153549664300000.0,153579898800000.0,153715027100000.0,153469763700000.0,153633612000000.0
1992.0,153578196600000.0,153467288400000.0,153546052900000.0,153636167000000.0,153360751100000.0,153560323000000.0
1993.0,153497048300000.0,153406591500000.0,153515841800000.0,153610319000000.0,153325717400000.0,153540397800000.0
1994.0,153421350500000.0,153354008400000.0,153383962900000.0,153539643500000.0,153192318700000.0,153450469300000.0
1995.0,153426886000000.0,153286053600000.0,153385986300000.0,153542447100000.0,153128491900000.0,153396566000000.0
1996.0,153363023900000.0,153252450500000.0,153334118400000.0,153444231000000.0,153082262100000.0,153366936700000.0
1997.0,153277910600000.0,153222918300000.0,153311594800000.0,153421353000000.0,153031230600000.0,153343962200000.0
