time,GISS-E2-R,GFDL-CM3,CESM1-CAM5,GFDL-ESM2G,CCSM4,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18075645000000.0,18076016000000.0,18007504000000.0,18150798000000.0,18108171000000.0,18062686000000.0,18032630000000.0,18138029000000.0
2022.0,17993682000000.0,17982820000000.0,17946380000000.0,18049650000000.0,18064297000000.0,17982158000000.0,17915118000000.0,18033408000000.0
2023.0,17890844000000.0,17865122000000.0,17978037000000.0,17940020000000.0,17922729000000.0,17856750000000.0,17705785000000.0,17913360000000.0
2024.0,17810634000000.0,17815170000000.0,17854810000000.0,17800064000000.0,17867880000000.0,17707599000000.0,17472581000000.0,17832983000000.0
2025.0,17737030000000.0,17742636000000.0,17753109000000.0,17645858000000.0,17807847000000.0,17650005000000.0,17281458000000.0,17722969000000.0
2026.0,17681015000000.0,17668902000000.0,17708014000000.0,17565980000000.0,17770590000000.0,17541393000000.0,17116626000000.0,17645594000000.0
2027.0,17595743000000.0,17586637000000.0,17582460000000.0,17641293000000.0,17721398000000.0,17430572000000.0,16925239000000.0,17522221000000.0
2028.0,17488957000000.0,17539695000000.0,17438316000000.0,17684612000000.0,17671962000000.0,17342449000000.0,16826134000000.0,17457643000000.0
2029.0,17436067000000.0,17392597000000.0,17299676000000.0,17594675000000.0,17541653000000.0,17255479000000.0,16678834000000.0,17384130000000.0
2030.0,17329964000000.0,17261152000000.0,17195713000000.0,17537834000000.0,17399611000000.0,17126966000000.0,16498616000000.0,17304964000000.0
2031.0,17190062000000.0,17169759000000.0,17167422000000.0,17390834000000.0,17359037000000.0,17069834000000.0,16354871000000.0,17252171000000.0
2032.0,17110580000000.0,16996372000000.0,16969745000000.0,17289902000000.0,17260406000000.0,16914287000000.0,16200709000000.0,17138906000000.0
2033.0,17005116000000.0,16895637000000.0,16757922000000.0,17192370000000.0,17211554000000.0,16750578000000.0,16118847000000.0,17074381000000.0
2034.0,16905248000000.0,16773302000000.0,16660075000000.0,17051852000000.0,17072102000000.0,16595447000000.0,15937849000000.0,17079309000000.0
2035.0,16799420000000.0,16656095000000.0,16568167000000.0,16916267000000.0,17090634000000.0,16513898000000.0,15720907000000.0,17057349000000.0
2036.0,16583278000000.0,16410338000000.0,16518495000000.0,16730584000000.0,16973874000000.0,16373223000000.0,15543549000000.0,17066145000000.0
2037.0,16552899000000.0,16362173000000.0,16437525000000.0,16666185000000.0,16857404000000.0,16266284000000.0,15444886000000.0,17085770000000.0
2038.0,16477347000000.0,16206270000000.0,16306132000000.0,16559688000000.0,16884045000000.0,16128727000000.0,15259368000000.0,16920369000000.0
2039.0,16394519000000.0,16117833000000.0,16189645000000.0,16448049000000.0,16768037000000.0,15903287000000.0,15101419000000.0,16801284000000.0
2040.0,16242661000000.0,15961120000000.0,16016367000000.0,16352319000000.0,16674820000000.0,15796916000000.0,14946659000000.0,16579230000000.0
2041.0,16143962000000.0,15828261000000.0,15828983000000.0,16397260000000.0,16596228000000.0,15665166000000.0,14843135000000.0,16485608000000.0
2042.0,16033389000000.0,15672570000000.0,15755625000000.0,16241277000000.0,16471259000000.0,15577031000000.0,14734074000000.0,16450856000000.0
2043.0,15905700000000.0,15469752000000.0,15623682000000.0,16110786000000.0,16387204000000.0,15473585000000.0,14583260000000.0,16459826000000.0
2044.0,15749610000000.0,15395446000000.0,15474819000000.0,16020518000000.0,16255128000000.0,15397180000000.0,14467739000000.0,16338875000000.0
2045.0,15614263000000.0,15153723000000.0,15298941000000.0,16019703000000.0,16256394000000.0,15245843000000.0,14384808000000.0,16284313000000.0
2046.0,15611640000000.0,15030760000000.0,15201714000000.0,15986733000000.0,16167380000000.0,15102264000000.0,14232854000000.0,16189983000000.0
2047.0,15478256000000.0,14833724000000.0,15069677000000.0,15874522000000.0,16012013000000.0,14849781000000.0,14165830000000.0,16024653000000.0
2048.0,15335165000000.0,14725541000000.0,15008882000000.0,15745216000000.0,15872660000000.0,14680834000000.0,13973513000000.0,15869315000000.0
2049.0,15244888000000.0,14538852000000.0,14875306000000.0,15698527000000.0,15736738000000.0,14586268000000.0,13802044000000.0,15760579000000.0
2050.0,15135890000000.0,14403985000000.0,14575124000000.0,15578445000000.0,15600314000000.0,14430402000000.0,13651728000000.0,15649631000000.0
2051.0,15029472000000.0,14297867000000.0,14371804000000.0,15435337000000.0,15485119000000.0,14252003000000.0,13480682000000.0,15455642000000.0
2052.0,14944401000000.0,14166098000000.0,14240937000000.0,15342801000000.0,15322314000000.0,14069555000000.0,13377647000000.0,15370907000000.0
2053.0,14752261000000.0,13988682000000.0,14059550000000.0,15233273000000.0,15264599000000.0,13880321000000.0,13092499000000.0,15242115000000.0
2054.0,14584644000000.0,13783330000000.0,13886121000000.0,15131505000000.0,15197515000000.0,13674402000000.0,12935142000000.0,15122316000000.0
2055.0,14473723000000.0,13610987000000.0,13734253000000.0,15066833000000.0,15107684000000.0,13574298000000.0,12781237000000.0,15039260000000.0
2056.0,14399829000000.0,13498202000000.0,13551905000000.0,14938937000000.0,14984259000000.0,13450856000000.0,12580803000000.0,14923074000000.0
2057.0,14232192000000.0,13430459000000.0,13442048000000.0,14834057000000.0,14874409000000.0,13288370000000.0,12307842000000.0,14886861000000.0
2058.0,14030311000000.0,13300098000000.0,13278664000000.0,14717761000000.0,14722480000000.0,13145694000000.0,12178248000000.0,14749823000000.0
2059.0,13914560000000.0,13091830000000.0,13027831000000.0,14625899000000.0,14620457000000.0,13003244000000.0,11980193000000.0,14644849000000.0
2060.0,13846966000000.0,12954994000000.0,12819635000000.0,14564194000000.0,14535845000000.0,12751893000000.0,11869148000000.0,14486672000000.0
2061.0,13738528000000.0,12824132000000.0,12720965000000.0,14566199000000.0,14474068000000.0,12632921000000.0,11608888000000.0,14360314000000.0
2062.0,13530593000000.0,12698346000000.0,12530950000000.0,14483961000000.0,14380360000000.0,12501671000000.0,11440063000000.0,14285271000000.0
2063.0,13451365000000.0,12527104000000.0,12405799000000.0,14419712000000.0,14219197000000.0,12342488000000.0,11326331000000.0,14190596000000.0
2064.0,13353335000000.0,12389938000000.0,12165329000000.0,14380888000000.0,14089577000000.0,12155705000000.0,11143071000000.0,14110716000000.0
2065.0,13208702000000.0,12211088000000.0,11950399000000.0,14346516000000.0,13963310000000.0,11955977000000.0,11012442000000.0,14083822000000.0
2066.0,13080653000000.0,12114422000000.0,11689453000000.0,14238406000000.0,13837150000000.0,11848574000000.0,10810033000000.0,14007120000000.0
2067.0,12960049000000.0,11931773000000.0,11514928000000.0,14214450000000.0,13810598000000.0,11755310000000.0,10645163000000.0,13907254000000.0
2068.0,12847313000000.0,11784749000000.0,11364882000000.0,14160976000000.0,13724074000000.0,11602517000000.0,10362023000000.0,13845235000000.0
2069.0,12686606000000.0,11703151000000.0,11131587000000.0,14064062000000.0,13636046000000.0,11474020000000.0,10143637000000.0,13689994000000.0
