time,CCSM4,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,MPI-ESM-LR,CNRM-CM5,CESM1-CAM5,GFDL-CM3,GISS-E2-R,CANESM2,IPSL-CM5A-LR
2000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0
2001.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0
2002.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0
2003.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0
2004.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0
2005.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0
2006.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0
2007.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0
2008.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0
2009.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0
2010.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0
2011.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0
2012.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0
2013.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0
2014.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0
2015.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0
2016.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0
2017.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0
2018.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0
2019.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0
2020.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0
2021.0,846018500000.0,844766300000.0,843134140000.0,859642270000.0,834853700000.0,847342530000.0,832708000000.0,835482700000.0,843569500000.0,844078400000.0,836639100000.0
2022.0,825723650000.0,834446700000.0,825556140000.0,854381300000.0,816079200000.0,832117340000.0,833053660000.0,815261750000.0,834296100000.0,828561900000.0,831555500000.0
2023.0,807617700000.0,825262540000.0,799735150000.0,833356800000.0,808622800000.0,814980200000.0,827048500000.0,794235760000.0,832708700000.0,805661900000.0,823249140000.0
2024.0,780061700000.0,813943800000.0,777239000000.0,817272260000.0,787657000000.0,806598300000.0,808061400000.0,783696200000.0,815079800000.0,785330300000.0,804656700000.0
2025.0,762629600000.0,814008100000.0,767150900000.0,808520500000.0,787312700000.0,795670350000.0,792613600000.0,760661150000.0,809442340000.0,777537850000.0,789495150000.0
2026.0,748398600000.0,797455350000.0,763805430000.0,784609600000.0,774554850000.0,790329700000.0,779842800000.0,746400450000.0,800903270000.0,765791700000.0,783485500000.0
2027.0,733344800000.0,789756500000.0,755317400000.0,761971930000.0,751213800000.0,770261840000.0,762722250000.0,724851560000.0,798573100000.0,748240600000.0,773097850000.0
