time,GFDL-CM3,GISS-E2-R,CCSM4,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-ESM2G,NORESM1-M,CESM1-CAM5
2000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0,27491964000000.0
2001.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0,27479643000000.0
2002.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0,27461970000000.0
2003.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0,27449540000000.0
2004.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0,27401896000000.0
2005.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0,27436092000000.0
2006.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0,27401872000000.0
2007.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0,27411538000000.0
2008.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0,27322862000000.0
2009.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0,27254782000000.0
2010.0,27145800000000.0,27145800000000.0,27145800000000.0,27145800000000.0,27145800000000.0,27145800000000.0,27145800000000.0,27145800000000.0
2011.0,27077634000000.0,27077634000000.0,27077634000000.0,27077634000000.0,27077634000000.0,27077634000000.0,27077634000000.0,27077634000000.0
2012.0,26995537000000.0,26995537000000.0,26995537000000.0,26995537000000.0,26995537000000.0,26995537000000.0,26995537000000.0,26995537000000.0
2013.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0,26869284000000.0
2014.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0,26929110000000.0
2015.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0,26889794000000.0
2016.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0,26799472000000.0
2017.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0,26789632000000.0
2018.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0,26771397000000.0
2019.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0,26780020000000.0
2020.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0,26796683000000.0
2021.0,26744067000000.0,26837835000000.0,26779654000000.0,26748970000000.0,26749340000000.0,26785756000000.0,26746202000000.0,26694354000000.0
2022.0,26711064000000.0,26824490000000.0,26753951000000.0,26729387000000.0,26725650000000.0,26783246000000.0,26740177000000.0,26559063000000.0
2023.0,26627700000000.0,26757743000000.0,26769904000000.0,26674557000000.0,26623626000000.0,26706199000000.0,26623263000000.0,26461620000000.0
2024.0,26594633000000.0,26705496000000.0,26672695000000.0,26676067000000.0,26585176000000.0,26644868000000.0,26598179000000.0,26304194000000.0
2025.0,26550825000000.0,26670264000000.0,26634147000000.0,26609206000000.0,26507418000000.0,26531265000000.0,26534874000000.0,26121647000000.0
2026.0,26452213000000.0,26687622000000.0,26473528000000.0,26569062000000.0,26524986000000.0,26502769000000.0,26477125000000.0,25962419000000.0
2027.0,26338476000000.0,26653632000000.0,26453939000000.0,26496935000000.0,26530212000000.0,26428677000000.0,26433259000000.0,25888480000000.0
2028.0,26222474000000.0,26636760000000.0,26407864000000.0,26419919000000.0,26535260000000.0,26392092000000.0,26319595000000.0,25746605000000.0
2029.0,26163982000000.0,26564580000000.0,26313977000000.0,26441597000000.0,26525905000000.0,26361494000000.0,26243878000000.0,25602967000000.0
2030.0,26090295000000.0,26585376000000.0,26264493000000.0,26445607000000.0,26461551000000.0,26375677000000.0,26153115000000.0,25471327000000.0
2031.0,26023568000000.0,26528526000000.0,26270673000000.0,26400784000000.0,26481147000000.0,26351965000000.0,26148807000000.0,25306595000000.0
2032.0,25949706000000.0,26496847000000.0,26226704000000.0,26400663000000.0,26445286000000.0,26250788000000.0,26132053000000.0,25222490000000.0
2033.0,25873552000000.0,26443336000000.0,26164754000000.0,26320845000000.0,26327407000000.0,26233125000000.0,26085008000000.0,25119766000000.0
2034.0,25738779000000.0,26414275000000.0,26153486000000.0,26238758000000.0,26293102000000.0,26208029000000.0,26074822000000.0,25019100000000.0
2035.0,25655826000000.0,26399450000000.0,26080753000000.0,26178616000000.0,26135627000000.0,26175653000000.0,26003756000000.0,24888937000000.0
2036.0,25531150000000.0,26361578000000.0,26032424000000.0,26172394000000.0,26080669000000.0,26111413000000.0,25941049000000.0,24813433000000.0
2037.0,25413808000000.0,26306396000000.0,25939476000000.0,26141172000000.0,26001038000000.0,26057334000000.0,25826498000000.0,24630832000000.0
2038.0,25363894000000.0,26272602000000.0,25922743000000.0,26086436000000.0,26014116000000.0,26009250000000.0,25724686000000.0,24521220000000.0
2039.0,25194966000000.0,26244110000000.0,25805822000000.0,25985345000000.0,25931660000000.0,25963725000000.0,25723266000000.0,24359769000000.0
2040.0,25132364000000.0,26151175000000.0,25734175000000.0,25883616000000.0,25877612000000.0,25967167000000.0,25685470000000.0,24193784000000.0
2041.0,25046846000000.0,26128226000000.0,25711216000000.0,25847230000000.0,25861978000000.0,25902245000000.0,25563113000000.0,24075949000000.0
2042.0,24999172000000.0,26133957000000.0,25598743000000.0,25807980000000.0,25842277000000.0,25839310000000.0,25490824000000.0,23922234000000.0
2043.0,24932537000000.0,26161400000000.0,25561750000000.0,25800960000000.0,25810952000000.0,25816627000000.0,25403035000000.0,23731280000000.0
2044.0,24858350000000.0,26163938000000.0,25484690000000.0,25684085000000.0,25786176000000.0,25772864000000.0,25324245000000.0,23673763000000.0
2045.0,24826765000000.0,26158186000000.0,25357630000000.0,25620057000000.0,25727860000000.0,25671508000000.0,25311058000000.0,23571953000000.0
2046.0,24720498000000.0,26128857000000.0,25276384000000.0,25528124000000.0,25673066000000.0,25704033000000.0,25198720000000.0,23398296000000.0
2047.0,24677903000000.0,26113345000000.0,25265772000000.0,25478530000000.0,25582165000000.0,25702429000000.0,25122885000000.0,23186710000000.0
2048.0,24606306000000.0,26081711000000.0,25248330000000.0,25443745000000.0,25485170000000.0,25646225000000.0,24963166000000.0,22941486000000.0
2049.0,24500213000000.0,25955175000000.0,25170460000000.0,25425602000000.0,25414477000000.0,25599804000000.0,24976567000000.0,22867937000000.0
2050.0,24433037000000.0,25925542000000.0,25116512000000.0,25353966000000.0,25332590000000.0,25580770000000.0,24945885000000.0,22716613000000.0
2051.0,24358517000000.0,25895522000000.0,25041312000000.0,25367471000000.0,25308005000000.0,25490245000000.0,24945107000000.0,22475256000000.0
2052.0,24283892000000.0,25876245000000.0,24961417000000.0,25290940000000.0,25279783000000.0,25450982000000.0,24863748000000.0,22254264000000.0
2053.0,24157069000000.0,25902522000000.0,24823055000000.0,25208564000000.0,25218597000000.0,25386100000000.0,24802765000000.0,22032505000000.0
2054.0,24073350000000.0,25884635000000.0,24699143000000.0,25145433000000.0,25119990000000.0,25350241000000.0,24775040000000.0,21924705000000.0
2055.0,23961550000000.0,25894960000000.0,24616754000000.0,25007020000000.0,25063414000000.0,25269126000000.0,24716530000000.0,21764625000000.0
2056.0,23869948000000.0,25890320000000.0,24524974000000.0,24968052000000.0,24997184000000.0,25204737000000.0,24653374000000.0,21560222000000.0
2057.0,23751243000000.0,25883346000000.0,24513330000000.0,24947756000000.0,25000768000000.0,25171970000000.0,24480790000000.0,21341395000000.0
2058.0,23663592000000.0,25861330000000.0,24435306000000.0,24908025000000.0,24967670000000.0,25042063000000.0,24420125000000.0,21300783000000.0
2059.0,23497435000000.0,25835180000000.0,24323731000000.0,24835885000000.0,24850380000000.0,24959397000000.0,24312352000000.0,21105199000000.0
2060.0,23369578000000.0,25790410000000.0,24237302000000.0,24831106000000.0,24725787000000.0,24919937000000.0,24184875000000.0,20892370000000.0
2061.0,23294898000000.0,25764360000000.0,24137087000000.0,24777092000000.0,24676357000000.0,24852025000000.0,24130265000000.0,20653745000000.0
2062.0,23162130000000.0,25673823000000.0,23992138000000.0,24740601000000.0,24682986000000.0,24728836000000.0,24078725000000.0,20426118000000.0
2063.0,23043910000000.0,25557746000000.0,23930213000000.0,24692625000000.0,24577523000000.0,24601518000000.0,23905574000000.0,20224571000000.0
2064.0,22905816000000.0,25546587000000.0,23808157000000.0,24643774000000.0,24386696000000.0,24589676000000.0,23782890000000.0,19944828000000.0
2065.0,22706490000000.0,25538826000000.0,23665507000000.0,24607348000000.0,24287677000000.0,24499473000000.0,23661226000000.0,19713755000000.0
2066.0,22643711000000.0,25553887000000.0,23535560000000.0,24478540000000.0,24194998000000.0,24408899000000.0,23548035000000.0,19434645000000.0
2067.0,22532757000000.0,25556727000000.0,23467854000000.0,24356074000000.0,24028245000000.0,24379742000000.0,23397164000000.0,19160852000000.0
2068.0,22380047000000.0,25513958000000.0,23373168000000.0,24339638000000.0,23970414000000.0,24355126000000.0,23261260000000.0,18889421000000.0
2069.0,22287840000000.0,25401527000000.0,23269881000000.0,24326590000000.0,23814872000000.0,24246705000000.0,23193370000000.0,18630387000000.0
2070.0,22199027000000.0,25270713000000.0,23184200000000.0,24257833000000.0,23736732000000.0,24175081000000.0,23191592000000.0,18346202000000.0
2071.0,22085773000000.0,25189503000000.0,23112855000000.0,24221695000000.0,23752224000000.0,24055760000000.0,22977274000000.0,18119437000000.0
2072.0,21951664000000.0,25240384000000.0,23037485000000.0,24178957000000.0,23610268000000.0,24001265000000.0,22888684000000.0,17899423000000.0
2073.0,21793606000000.0,25212043000000.0,22959968000000.0,24112806000000.0,23437725000000.0,23897632000000.0,22889902000000.0,17794979000000.0
2074.0,21595188000000.0,25175848000000.0,22897658000000.0,24095312000000.0,23372056000000.0,23770723000000.0,22772424000000.0,17594730000000.0
2075.0,21435390000000.0,25076083000000.0,22769104000000.0,23977913000000.0,23259043000000.0,23674682000000.0,22689014000000.0,17331054000000.0
2076.0,21339760000000.0,25038892000000.0,22719968000000.0,23910838000000.0,23188550000000.0,23563768000000.0,22540700000000.0,17131246000000.0
2077.0,21199229000000.0,24905572000000.0,22534146000000.0,23904028000000.0,23147806000000.0,23551225000000.0,22429634000000.0,16966171000000.0
2078.0,21044505000000.0,24780216000000.0,22375220000000.0,23785321000000.0,23094860000000.0,23535982000000.0,22261573000000.0,16741036000000.0
2079.0,20890750000000.0,24701615000000.0,22261998000000.0,23676888000000.0,22913816000000.0,23487788000000.0,22263536000000.0,16486941000000.0
2080.0,20840156000000.0,24680981000000.0,22153150000000.0,23652770000000.0,22798624000000.0,23482161000000.0,22075574000000.0,16228502000000.0
2081.0,20691714000000.0,24644998000000.0,22090168000000.0,23536333000000.0,22794675000000.0,23456192000000.0,21894500000000.0,16066242000000.0
2082.0,20545536000000.0,24517313000000.0,21949514000000.0,23433973000000.0,22671448000000.0,23405620000000.0,21696115000000.0,15948635000000.0
2083.0,20393012000000.0,24528602000000.0,21831633000000.0,23376878000000.0,22595102000000.0,23367722000000.0,21510033000000.0,15739720000000.0
2084.0,20206768000000.0,24479594000000.0,21696110000000.0,23337596000000.0,22511993000000.0,23337848000000.0,21331314000000.0,15491609000000.0
2085.0,19994293000000.0,24470180000000.0,21490634000000.0,23270053000000.0,22416598000000.0,23213750000000.0,21221117000000.0,15268716000000.0
2086.0,19862162000000.0,24408861000000.0,21415230000000.0,23198427000000.0,22284006000000.0,23178525000000.0,21082449000000.0,15011194000000.0
2087.0,19711094000000.0,24380086000000.0,21343131000000.0,23135976000000.0,22177965000000.0,23087634000000.0,21049998000000.0,14745562000000.0
2088.0,19603606000000.0,24280916000000.0,21289369000000.0,23098993000000.0,22090451000000.0,23046350000000.0,20989308000000.0,14513698000000.0
2089.0,19425682000000.0,24286081000000.0,21206055000000.0,22993852000000.0,22055339000000.0,22991742000000.0,20868550000000.0,14255987000000.0
2090.0,19314493000000.0,24211205000000.0,21104900000000.0,22890536000000.0,21972224000000.0,22951582000000.0,20769944000000.0,14080833000000.0
2091.0,19148703000000.0,24090962000000.0,21005574000000.0,22781545000000.0,21918143000000.0,22870453000000.0,20637305000000.0,13816266000000.0
2092.0,18973735000000.0,23959989000000.0,20903816000000.0,22701433000000.0,21860255000000.0,22781276000000.0,20497046000000.0,13617180000000.0
2093.0,18830986000000.0,23892907000000.0,20764667000000.0,22615868000000.0,21817780000000.0,22724372000000.0,20418923000000.0,13488312000000.0
2094.0,18669315000000.0,23776840000000.0,20631720000000.0,22499290000000.0,21664295000000.0,22672868000000.0,20305639000000.0,13282143000000.0
2095.0,18574438000000.0,23719368000000.0,20506237000000.0,22468805000000.0,21654848000000.0,22625527000000.0,20211820000000.0,13087963000000.0
2096.0,18463058000000.0,23680824000000.0,20392607000000.0,22385638000000.0,21585811000000.0,22582259000000.0,20048951000000.0,12905610000000.0
2097.0,18312986000000.0,23680520000000.0,20268198000000.0,22265230000000.0,21598308000000.0,22525489000000.0,19843854000000.0,12677561000000.0
2098.0,18164027000000.0,23617381000000.0,20203310000000.0,22078726000000.0,21474688000000.0,22440302000000.0,19664162000000.0,12460314000000.0
2099.0,18040354000000.0,23581006000000.0,20104562000000.0,22024104000000.0,21382467000000.0,22327799000000.0,19569538000000.0,12244976000000.0
2100.0,17912362000000.0,23535267000000.0,20008950000000.0,21923795000000.0,21329380000000.0,22265152000000.0,19466650000000.0,11988021000000.0
