time,CANESM2,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5,CESM1-CAM5,CCSM4,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CSIRO-MK3-6-0
2000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0
2001.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0
2002.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0
2003.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0
2004.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0
2005.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0
2006.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0
2007.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0
2008.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0
2009.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0
2010.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0
2011.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0
2012.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0
2013.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0
2014.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0
2015.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0
2016.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0
2017.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0
2018.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0
2019.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0
2020.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0
2021.0,8110326400000.0,8109212000000.0,8114777000000.0,8092646400000.0,8133919000000.0,8075303000000.0,8123492000000.0,8096717500000.0,8084180000000.0,8094781000000.0,8106471000000.0
2022.0,8059068000000.0,8082055000000.0,8098398300000.0,8038910500000.0,8085836000000.0,7999138000000.0,8113646000000.0,8034049300000.0,8033957000000.0,8064684000000.0,8064828700000.0
2023.0,8016452600000.0,8039877000000.0,8073763600000.0,7990865300000.0,8059563000000.0,7946738000000.0,8078409000000.0,7982623500000.0,7973732000000.0,8016235600000.0,8032895400000.0
2024.0,7979180500000.0,8003824600000.0,8055394700000.0,7968173600000.0,8024592000000.0,7892079000000.0,8064935000000.0,7918418000000.0,7912563000000.0,7961245600000.0,7988090000000.0
2025.0,7932409000000.0,7980685700000.0,8029942000000.0,7922293700000.0,7990713000000.0,7821708000000.0,8046462000000.0,7870138500000.0,7858440000000.0,7909173400000.0,7954165000000.0
2026.0,7887300000000.0,7955908000000.0,8018372600000.0,7897333400000.0,7958224000000.0,7741772000000.0,8008146000000.0,7827577000000.0,7786620500000.0,7864608400000.0,7906767000000.0
2027.0,7859073400000.0,7936692700000.0,8004314000000.0,7870719000000.0,7954196000000.0,7690479000000.0,7983452400000.0,7785933700000.0,7726428000000.0,7825756500000.0,7859531700000.0
2028.0,7816880300000.0,7898159600000.0,7984324000000.0,7839765000000.0,7931493400000.0,7645487000000.0,7954917000000.0,7711497400000.0,7648668000000.0,7778211000000.0,7826605000000.0
2029.0,7774548000000.0,7845410500000.0,7967887300000.0,7796120600000.0,7917317000000.0,7592947000000.0,7934438300000.0,7649316300000.0,7577223600000.0,7732892000000.0,7782802000000.0
2030.0,7736293000000.0,7813256400000.0,7936189000000.0,7758724700000.0,7907899300000.0,7531491500000.0,7914777000000.0,7587225000000.0,7493028000000.0,7690324500000.0,7734341000000.0
2031.0,7693347600000.0,7796192400000.0,7904613000000.0,7748041300000.0,7891028000000.0,7492686000000.0,7893712000000.0,7523148000000.0,7404315500000.0,7658135400000.0,7688733000000.0
2032.0,7650978300000.0,7748053400000.0,7885212000000.0,7688191000000.0,7858629000000.0,7449500700000.0,7861552000000.0,7455642000000.0,7324830300000.0,7619706600000.0,7652627700000.0
2033.0,7606840600000.0,7702429300000.0,7868697300000.0,7651011000000.0,7841873000000.0,7369156000000.0,7824010000000.0,7396990600000.0,7256957500000.0,7580978000000.0,7608659300000.0
2034.0,7565427000000.0,7677390400000.0,7847925000000.0,7613742300000.0,7824399700000.0,7324354000000.0,7799572500000.0,7331894500000.0,7184573300000.0,7546169500000.0,7569297000000.0
2035.0,7527153000000.0,7633911700000.0,7829842000000.0,7583886700000.0,7798266500000.0,7260895000000.0,7755346000000.0,7280414000000.0,7110136000000.0,7475622000000.0,7536669000000.0
2036.0,7493968700000.0,7585234700000.0,7801611000000.0,7549263000000.0,7792835400000.0,7189403500000.0,7723112500000.0,7207266000000.0,7022663700000.0,7414860500000.0,7491606000000.0
2037.0,7463422700000.0,7556741700000.0,7780995400000.0,7521548000000.0,7777022000000.0,7138076300000.0,7691357000000.0,7142194500000.0,6928663600000.0,7367946700000.0,7451387000000.0
2038.0,7411597000000.0,7516335000000.0,7759342000000.0,7514721000000.0,7769540300000.0,7083469600000.0,7651837600000.0,7081144400000.0,6848092000000.0,7318446000000.0,7433133000000.0
2039.0,7383916000000.0,7465473000000.0,7726211500000.0,7479795000000.0,7756892000000.0,7025013600000.0,7619384000000.0,7007742500000.0,6755314000000.0,7266024000000.0,7399489000000.0
2040.0,7337006000000.0,7423098000000.0,7698479000000.0,7430259300000.0,7719941000000.0,6968473000000.0,7581010500000.0,6948444000000.0,6646971500000.0,7199841000000.0,7360467700000.0
2041.0,7314265300000.0,7388555400000.0,7666186300000.0,7392403000000.0,7686073000000.0,6934565000000.0,7542152000000.0,6870899000000.0,6545715000000.0,7141103000000.0,7323436700000.0
2042.0,7302771400000.0,7349892000000.0,7627042000000.0,7341540400000.0,7655236600000.0,6881125000000.0,7517169000000.0,6823170500000.0,6441497000000.0,7061298500000.0,7282741000000.0
2043.0,7264115600000.0,7323535300000.0,7596287000000.0,7315291000000.0,7635131000000.0,6811802400000.0,7479143000000.0,6771953000000.0,6364294000000.0,7003681000000.0,7248576000000.0
2044.0,7232278000000.0,7284709000000.0,7548761500000.0,7283879000000.0,7596496000000.0,6753432000000.0,7443813000000.0,6716097300000.0,6272077000000.0,6940911000000.0,7210317400000.0
2045.0,7182088700000.0,7225059000000.0,7515738700000.0,7236760000000.0,7553997000000.0,6691874000000.0,7402708500000.0,6645886000000.0,6164504000000.0,6872557000000.0,7175154000000.0
2046.0,7146265000000.0,7172546600000.0,7484665000000.0,7211970000000.0,7538439400000.0,6640583000000.0,7376411000000.0,6574448300000.0,6064291000000.0,6818170000000.0,7131084400000.0
