time,CCSM4,GISS-E2-R,GFDL-ESM2G,CSIRO-MK3-6-0,CESM1-CAM5,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0
2001.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0
2002.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0
2003.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0
2004.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0
2005.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0
2006.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0
2007.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0
2008.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0
2009.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0
2010.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0
2011.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0
2012.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0
2013.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0
2014.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0
2015.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0
2016.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0
2017.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0
2018.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0
2019.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0
2020.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0
2021.0,8124665000000.0,8131074000000.0,8094341400000.0,8108767700000.0,8083002600000.0,8107141000000.0,8077575000000.0,8089045600000.0
2022.0,8109486000000.0,8114608000000.0,8064437600000.0,8095263000000.0,8025819000000.0,8081640500000.0,8022678000000.0,8045724700000.0
2023.0,8073964400000.0,8097385000000.0,8038227000000.0,8067203000000.0,7965670600000.0,8035419000000.0,7964309600000.0,7991854000000.0
2024.0,8038565000000.0,8072619000000.0,7997381700000.0,8042779000000.0,7900902700000.0,7999603600000.0,7911252700000.0,7944905700000.0
2025.0,8003090000000.0,8038867500000.0,7968228000000.0,7999769300000.0,7822062400000.0,7965589000000.0,7865177000000.0,7908306000000.0
2026.0,7966158000000.0,8020170400000.0,7942058300000.0,7959541000000.0,7743255000000.0,7915485000000.0,7786177500000.0,7867487000000.0
2027.0,7935746400000.0,8003892000000.0,7913105000000.0,7933065700000.0,7694302300000.0,7870246600000.0,7719912700000.0,7815511000000.0
2028.0,7895069000000.0,7975073000000.0,7887373000000.0,7903178000000.0,7629932000000.0,7824246600000.0,7639833500000.0,7766713300000.0
2029.0,7853556000000.0,7929368400000.0,7863117300000.0,7876710500000.0,7550912700000.0,7784106600000.0,7566017400000.0,7727549500000.0
2030.0,7810463000000.0,7905960500000.0,7842042500000.0,7845439300000.0,7481667000000.0,7745032400000.0,7503306000000.0,7674703000000.0
