time,CNRM-CM5,GISS-E2-R,CCSM4,CANESM2,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-CM3
2000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0
2001.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0
2002.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0
2003.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0
2004.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0
2005.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0
2006.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0
2007.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0
2008.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0
2009.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0
2010.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0
2011.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0
2012.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0
2013.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0
2014.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0
2015.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0
2016.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0
2017.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0
2018.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0
2019.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0
2020.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0
2021.0,8098371000000.0,8086151500000.0,8119327400000.0,8104948300000.0,8103413700000.0,8122236000000.0,8092365000000.0,8111090300000.0,8089144000000.0,8072405700000.0
2022.0,8043066000000.0,8040399500000.0,8094303600000.0,8066255300000.0,8054111700000.0,8096740500000.0,8045049400000.0,8080971500000.0,8057000000000.0,8007459000000.0
2023.0,7997734500000.0,8018868600000.0,8069301400000.0,8037888000000.0,8030520000000.0,8071050400000.0,8002441600000.0,8050781000000.0,8030509000000.0,7929925000000.0
2024.0,7957052000000.0,7968289000000.0,8055956000000.0,8011789600000.0,7998282400000.0,8046452400000.0,7970415400000.0,8019209400000.0,7982212000000.0,7860333000000.0
2025.0,7905424000000.0,7927336000000.0,8040097000000.0,7959962700000.0,7966023500000.0,8009181300000.0,7927943400000.0,7984232500000.0,7965412700000.0,7787562700000.0
2026.0,7857402000000.0,7891527400000.0,8025072000000.0,7933870500000.0,7923401000000.0,7982247000000.0,7881818600000.0,7943381600000.0,7920594500000.0,7716760700000.0
2027.0,7815735300000.0,7855992000000.0,7990045000000.0,7892991700000.0,7892073000000.0,7942947500000.0,7847030000000.0,7912569700000.0,7886630600000.0,7648436000000.0
2028.0,7767480300000.0,7826967600000.0,7953225600000.0,7857978000000.0,7866010000000.0,7925153700000.0,7803683000000.0,7874527000000.0,7835906000000.0,7584134000000.0
2029.0,7729306400000.0,7808770000000.0,7904339400000.0,7805897500000.0,7819552000000.0,7883546700000.0,7746163300000.0,7853657000000.0,7792341000000.0,7500853700000.0
2030.0,7670379600000.0,7758357700000.0,7885927500000.0,7753556000000.0,7798859000000.0,7867507700000.0,7677015000000.0,7823028600000.0,7729667600000.0,7433828000000.0
2031.0,7633443000000.0,7714850700000.0,7843808000000.0,7710389600000.0,7772532000000.0,7829432000000.0,7625639500000.0,7783444000000.0,7689074600000.0,7348126500000.0
2032.0,7590967000000.0,7666705400000.0,7809178000000.0,7676405000000.0,7748545700000.0,7801412000000.0,7566960000000.0,7745173000000.0,7647849300000.0,7277477000000.0
2033.0,7539066000000.0,7621043000000.0,7772267600000.0,7636893300000.0,7720369000000.0,7759012600000.0,7509580400000.0,7698969500000.0,7614673500000.0,7203312400000.0
2034.0,7472142600000.0,7554779300000.0,7730760000000.0,7580058400000.0,7692457300000.0,7723840000000.0,7445853000000.0,7662820400000.0,7562238000000.0,7149317000000.0
2035.0,7437498000000.0,7491959700000.0,7677132400000.0,7527348000000.0,7637433000000.0,7691455000000.0,7383348700000.0,7619652600000.0,7517950000000.0,7084068300000.0
2036.0,7407687700000.0,7448269700000.0,7659449000000.0,7492383300000.0,7604304600000.0,7660607400000.0,7331983700000.0,7588964500000.0,7460207700000.0,7013149400000.0
2037.0,7350120300000.0,7397031500000.0,7604668500000.0,7438917000000.0,7574192000000.0,7623583700000.0,7263113000000.0,7549377600000.0,7406644400000.0,6927999300000.0
2038.0,7307900500000.0,7350485000000.0,7539394000000.0,7398151400000.0,7537656600000.0,7572909700000.0,7199998000000.0,7512288400000.0,7356165400000.0,6837825400000.0
2039.0,7252905300000.0,7307145000000.0,7481690000000.0,7339521300000.0,7493516300000.0,7520751500000.0,7125326600000.0,7465841700000.0,7307113000000.0,6762272000000.0
2040.0,7210116600000.0,7265581500000.0,7416693000000.0,7281693400000.0,7450831000000.0,7475553600000.0,7069005000000.0,7417244400000.0,7266761700000.0,6665332000000.0
2041.0,7169524000000.0,7213910000000.0,7368942300000.0,7230591600000.0,7399533000000.0,7429131000000.0,7004809000000.0,7383905500000.0,7195184000000.0,6573922500000.0
2042.0,7093754000000.0,7146358000000.0,7319800000000.0,7179934400000.0,7348567000000.0,7393889000000.0,6938599000000.0,7348676000000.0,7143388300000.0,6477499000000.0
2043.0,7028708700000.0,7102822600000.0,7260282600000.0,7125896500000.0,7305825400000.0,7343463000000.0,6864467000000.0,7297930600000.0,7070823000000.0,6373746000000.0
2044.0,6974161000000.0,7041215600000.0,7207858500000.0,7058662000000.0,7262808000000.0,7296892000000.0,6801540000000.0,7247796000000.0,6995160000000.0,6269510000000.0
2045.0,6905317600000.0,6963890500000.0,7146744000000.0,6990456700000.0,7228024700000.0,7244655000000.0,6737664400000.0,7198999000000.0,6955094000000.0,6162778400000.0
2046.0,6842167000000.0,6895928000000.0,7097956000000.0,6916709300000.0,7190235600000.0,7186822000000.0,6670777300000.0,7153345600000.0,6887430000000.0,6059856500000.0
2047.0,6770553500000.0,6820051600000.0,7052365700000.0,6865661500000.0,7143757000000.0,7128654300000.0,6606404000000.0,7111392600000.0,6828260300000.0,5952674000000.0
2048.0,6698506000000.0,6763110700000.0,6990412600000.0,6780048400000.0,7088430000000.0,7092966000000.0,6538326000000.0,7071916000000.0,6767877000000.0,5844618000000.0
2049.0,6655326000000.0,6705031000000.0,6936203400000.0,6711507700000.0,7040957000000.0,7029159000000.0,6472467500000.0,7030352000000.0,6698167000000.0,5733016000000.0
2050.0,6588290000000.0,6648011700000.0,6886158500000.0,6650712300000.0,6989629400000.0,6962916400000.0,6408461400000.0,6990236000000.0,6633343700000.0,5616189000000.0
2051.0,6531435700000.0,6590521000000.0,6823715000000.0,6595088000000.0,6939863400000.0,6902569000000.0,6331435600000.0,6953190300000.0,6553742000000.0,5500464000000.0
