time,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,CNRM-CM5,CESM1-CAM5,IPSL-CM5A-LR,CANESM2,NORESM1-M,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G
2000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14532980000000.0,14530335000000.0,14581835000000.0,14553177000000.0,14538154000000.0,14498214000000.0,14527627000000.0,14520533000000.0,14495056000000.0,14523882000000.0,14563131000000.0
2022.0,14495419000000.0,14551458000000.0,14528521000000.0,14524732000000.0,14487527000000.0,14471588000000.0,14513065000000.0,14482881000000.0,14395620000000.0,14462454000000.0,14513193000000.0
2023.0,14435428000000.0,14520334000000.0,14496606000000.0,14478285000000.0,14438806000000.0,14532563000000.0,14389301000000.0,14435720000000.0,14326421000000.0,14390471000000.0,14498625000000.0
2024.0,14417539000000.0,14491502000000.0,14473950000000.0,14480877000000.0,14367901000000.0,14528472000000.0,14278826000000.0,14342072000000.0,14241648000000.0,14338043000000.0,14423085000000.0
2025.0,14359640000000.0,14445210000000.0,14423753000000.0,14431488000000.0,14269556000000.0,14537463000000.0,14225890000000.0,14287110000000.0,14174161000000.0,14252699000000.0,14397283000000.0
2026.0,14275435000000.0,14436253000000.0,14383669000000.0,14376031000000.0,14174415000000.0,14480396000000.0,14189909000000.0,14230845000000.0,14080243000000.0,14209484000000.0,14311786000000.0
2027.0,14226386000000.0,14464821000000.0,14370918000000.0,14361882000000.0,14072261000000.0,14428511000000.0,14140825000000.0,14131050000000.0,13960770000000.0,14135793000000.0,14243300000000.0
2028.0,14197964000000.0,14365089000000.0,14348249000000.0,14328725000000.0,13993972000000.0,14350246000000.0,14100921000000.0,14105188000000.0,13878509000000.0,14063346000000.0,14219850000000.0
2029.0,14169669000000.0,14343598000000.0,14328344000000.0,14248368000000.0,13916821000000.0,14279789000000.0,14074696000000.0,14091321000000.0,13802023000000.0,14003707000000.0,14166067000000.0
2030.0,14187328000000.0,14252667000000.0,14280969000000.0,14175544000000.0,13738853000000.0,14225281000000.0,14051713000000.0,14009581000000.0,13700848000000.0,13907809000000.0,14153388000000.0
2031.0,14124482000000.0,14228131000000.0,14245632000000.0,14156383000000.0,13654404000000.0,14232266000000.0,13982293000000.0,13935447000000.0,13621222000000.0,13873566000000.0,14095039000000.0
2032.0,14113437000000.0,14233288000000.0,14217116000000.0,14184857000000.0,13563889000000.0,14122592000000.0,13943789000000.0,13891828000000.0,13523603000000.0,13801649000000.0,14024637000000.0
2033.0,14061464000000.0,14154992000000.0,14179543000000.0,14142340000000.0,13438475000000.0,14035571000000.0,13923160000000.0,13827022000000.0,13436430000000.0,13704248000000.0,14021463000000.0
2034.0,13972666000000.0,14089831000000.0,14184265000000.0,14075705000000.0,13320174000000.0,13975238000000.0,13876032000000.0,13801667000000.0,13319079000000.0,13624022000000.0,13968800000000.0
2035.0,13913904000000.0,14043254000000.0,14136598000000.0,13980261000000.0,13201027000000.0,13952394000000.0,13785449000000.0,13726821000000.0,13207691000000.0,13591590000000.0,13919564000000.0
2036.0,13862897000000.0,13958233000000.0,14129427000000.0,13926868000000.0,13071270000000.0,13975227000000.0,13697440000000.0,13665028000000.0,13153905000000.0,13527759000000.0,13895239000000.0
2037.0,13828500000000.0,13872513000000.0,14106450000000.0,13885921000000.0,12948828000000.0,13930135000000.0,13622893000000.0,13594013000000.0,13060300000000.0,13451243000000.0,13821508000000.0
2038.0,13793494000000.0,13803609000000.0,14071086000000.0,13844333000000.0,12818175000000.0,13860714000000.0,13535611000000.0,13468396000000.0,12933899000000.0,13369263000000.0,13768673000000.0
2039.0,13759029000000.0,13761370000000.0,14036298000000.0,13812851000000.0,12657180000000.0,13773419000000.0,13445436000000.0,13439608000000.0,12826640000000.0,13305646000000.0,13758138000000.0
2040.0,13702874000000.0,13716012000000.0,14031036000000.0,13759869000000.0,12566614000000.0,13694183000000.0,13395017000000.0,13377129000000.0,12731278000000.0,13216586000000.0,13710917000000.0
2041.0,13686447000000.0,13597267000000.0,14002856000000.0,13672960000000.0,12416904000000.0,13638561000000.0,13369407000000.0,13325293000000.0,12625461000000.0,13131942000000.0,13652518000000.0
2042.0,13611790000000.0,13521814000000.0,13970328000000.0,13617736000000.0,12281138000000.0,13601713000000.0,13254950000000.0,13255734000000.0,12531118000000.0,13045644000000.0,13585081000000.0
2043.0,13609155000000.0,13520810000000.0,13897175000000.0,13651677000000.0,12115565000000.0,13545610000000.0,13165220000000.0,13157392000000.0,12389283000000.0,12956255000000.0,13522758000000.0
2044.0,13573924000000.0,13466878000000.0,13875570000000.0,13593869000000.0,11966471000000.0,13536234000000.0,13121757000000.0,13046968000000.0,12267071000000.0,12891333000000.0,13439729000000.0
2045.0,13531405000000.0,13372948000000.0,13888560000000.0,13594914000000.0,11795022000000.0,13462168000000.0,13022088000000.0,12958238000000.0,12187646000000.0,12822419000000.0,13380481000000.0
2046.0,13500626000000.0,13321808000000.0,13839948000000.0,13541973000000.0,11640512000000.0,13311681000000.0,12967265000000.0,12842199000000.0,12065177000000.0,12735979000000.0,13314199000000.0
2047.0,13432751000000.0,13344565000000.0,13754441000000.0,13478018000000.0,11484572000000.0,13239521000000.0,12871325000000.0,12705643000000.0,11932439000000.0,12672219000000.0,13211547000000.0
2048.0,13312824000000.0,13271632000000.0,13726510000000.0,13421478000000.0,11332292000000.0,13135889000000.0,12759785000000.0,12628930000000.0,11802180000000.0,12564290000000.0,13090696000000.0
2049.0,13263861000000.0,13225248000000.0,13636328000000.0,13370621000000.0,11209823000000.0,13062951000000.0,12684429000000.0,12517942000000.0,11667638000000.0,12473185000000.0,12949192000000.0
2050.0,13277536000000.0,13141699000000.0,13599984000000.0,13291506000000.0,11100497000000.0,12969596000000.0,12595461000000.0,12396204000000.0,11556997000000.0,12389618000000.0,12863913000000.0
2051.0,13204056000000.0,13063471000000.0,13534658000000.0,13235253000000.0,10956775000000.0,12880917000000.0,12513533000000.0,12278789000000.0,11442761000000.0,12298842000000.0,12796326000000.0
2052.0,13170692000000.0,12999046000000.0,13496020000000.0,13166215000000.0,10831798000000.0,12847882000000.0,12379500000000.0,12216836000000.0,11331504000000.0,12172597000000.0,12769578000000.0
2053.0,13099006000000.0,12939938000000.0,13442503000000.0,13108971000000.0,10682658000000.0,12830512000000.0,12270231000000.0,12149268000000.0,11230913000000.0,12068943000000.0,12670097000000.0
2054.0,13036225000000.0,12846292000000.0,13423742000000.0,13075980000000.0,10530457000000.0,12744913000000.0,12169763000000.0,12036844000000.0,11104241000000.0,11993317000000.0,12641403000000.0
2055.0,12964922000000.0,12778160000000.0,13377128000000.0,13023420000000.0,10365195000000.0,12708423000000.0,12080975000000.0,11971194000000.0,10973444000000.0,11914572000000.0,12566303000000.0
2056.0,12869303000000.0,12667884000000.0,13327795000000.0,12986313000000.0,10185303000000.0,12580600000000.0,12038020000000.0,11897754000000.0,10843922000000.0,11796228000000.0,12511557000000.0
2057.0,12752731000000.0,12567848000000.0,13261197000000.0,12962981000000.0,10001888000000.0,12538034000000.0,11979594000000.0,11796603000000.0,10756176000000.0,11721896000000.0,12458631000000.0
2058.0,12724920000000.0,12506838000000.0,13216642000000.0,12868214000000.0,9896304000000.0,12442467000000.0,11916469000000.0,11684021000000.0,10619683000000.0,11621424000000.0,12388751000000.0
2059.0,12682682000000.0,12462714000000.0,13160345000000.0,12738308000000.0,9791247000000.0,12372626000000.0,11818417000000.0,11536533000000.0,10476326000000.0,11546314000000.0,12326202000000.0
2060.0,12653267000000.0,12423617000000.0,13120920000000.0,12678796000000.0,9649139000000.0,12267960000000.0,11714859000000.0,11475887000000.0,10371376000000.0,11449914000000.0,12266510000000.0
2061.0,12595900000000.0,12381172000000.0,13020816000000.0,12648626000000.0,9541194000000.0,12183087000000.0,11614038000000.0,11354558000000.0,10257522000000.0,11322526000000.0,12178036000000.0
2062.0,12552045000000.0,12351919000000.0,12964883000000.0,12656106000000.0,9419476000000.0,12080043000000.0,11525371000000.0,11223620000000.0,10121240000000.0,11219158000000.0,12167166000000.0
2063.0,12487152000000.0,12273474000000.0,12930450000000.0,12678887000000.0,9310933000000.0,12006953000000.0,11439606000000.0,11157353000000.0,9991943000000.0,11149432000000.0,12105557000000.0
2064.0,12433282000000.0,12206294000000.0,12884649000000.0,12710741000000.0,9128449000000.0,11940947000000.0,11344929000000.0,11025574000000.0,9862709000000.0,11055342000000.0,12033813000000.0
2065.0,12385526000000.0,12166209000000.0,12817944000000.0,12722112000000.0,8975494000000.0,11852954000000.0,11218937000000.0,10957247000000.0,9746776000000.0,10976558000000.0,11928980000000.0
2066.0,12285924000000.0,12112608000000.0,12783836000000.0,12765044000000.0,8817969000000.0,11727382000000.0,11131059000000.0,10858157000000.0,9614367000000.0,10908854000000.0,11863470000000.0
2067.0,12272442000000.0,12098976000000.0,12783837000000.0,12715885000000.0,8684159000000.0,11577252000000.0,11018490000000.0,10751549000000.0,9494005000000.0,10830337000000.0,11791135000000.0
2068.0,12217006000000.0,12076177000000.0,12754924000000.0,12652653000000.0,8549654000000.0,11490343000000.0,10927972000000.0,10668674000000.0,9405151000000.0,10716805000000.0,11699728000000.0
2069.0,12157811000000.0,12024213000000.0,12703980000000.0,12559573000000.0,8409714000000.0,11420602000000.0,10838007000000.0,10576785000000.0,9316040000000.0,10609027000000.0,11646308000000.0
2070.0,12116352000000.0,11950016000000.0,12620644000000.0,12473346000000.0,8289695000000.0,11362564000000.0,10774250000000.0,10440100000000.0,9214983000000.0,10539667000000.0,11592172000000.0
2071.0,12072438000000.0,11905968000000.0,12540384000000.0,12390267000000.0,8169725000000.0,11252058000000.0,10682715000000.0,10352563000000.0,9115678000000.0,10443120000000.0,11518731000000.0
2072.0,12032177000000.0,11885291000000.0,12465000000000.0,12315483000000.0,8045581000000.0,11151926000000.0,10602512000000.0,10290116000000.0,8993115000000.0,10365802000000.0,11456723000000.0
2073.0,12025109000000.0,11865021000000.0,12426909000000.0,12254062000000.0,7947404000000.0,11046840000000.0,10539525000000.0,10184123000000.0,8856591000000.0,10272167000000.0,11354735000000.0
