time,CCSM4,GFDL-CM3,CANESM2,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-ESM2G,CNRM-CM5,GISS-E2-R,CESM1-CAM5,MPI-ESM-LR
2000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3437897200000.0,3451729200000.0,3452998300000.0,3456606700000.0,3444659700000.0,3450857800000.0,3452012000000.0,3449588800000.0,3445044000000.0,3444119400000.0,3447450800000.0
2022.0,3421381000000.0,3424270000000.0,3433540600000.0,3448206000000.0,3431006200000.0,3433708700000.0,3438024900000.0,3427430800000.0,3432513500000.0,3416112200000.0,3423636300000.0
2023.0,3403086600000.0,3409702600000.0,3414515500000.0,3432741900000.0,3423086300000.0,3417137500000.0,3428701000000.0,3406748500000.0,3422449600000.0,3389708300000.0,3415601300000.0
2024.0,3388210400000.0,3383012600000.0,3401278300000.0,3433253000000.0,3398442400000.0,3402063700000.0,3406804000000.0,3390389400000.0,3423196200000.0,3370567000000.0,3398334200000.0
2025.0,3371111500000.0,3351937800000.0,3385399000000.0,3423125000000.0,3381968800000.0,3392747000000.0,3393455000000.0,3370522200000.0,3423256700000.0,3347371800000.0,3385549700000.0
2026.0,3355526800000.0,3330633000000.0,3384013200000.0,3413994000000.0,3362953000000.0,3382689000000.0,3372433000000.0,3357220800000.0,3411493000000.0,3329638500000.0,3373714400000.0
2027.0,3340364700000.0,3298022400000.0,3355889600000.0,3402283000000.0,3344523600000.0,3383232800000.0,3346307700000.0,3354439000000.0,3397252300000.0,3294930400000.0,3353842000000.0
2028.0,3324591200000.0,3270351300000.0,3335634000000.0,3380778000000.0,3333865000000.0,3374552000000.0,3344582600000.0,3333174600000.0,3381261800000.0,3275832700000.0,3336305400000.0
2029.0,3309936300000.0,3247841500000.0,3318186200000.0,3372550700000.0,3307716000000.0,3371698200000.0,3334014200000.0,3306100600000.0,3362621000000.0,3254340600000.0,3310202000000.0
2030.0,3291879300000.0,3222201200000.0,3304474800000.0,3351921800000.0,3272633700000.0,3376336000000.0,3321591000000.0,3292657600000.0,3349351500000.0,3228441000000.0,3294580700000.0
2031.0,3281653300000.0,3181446000000.0,3293177400000.0,3332890000000.0,3243829400000.0,3379086000000.0,3302365900000.0,3277297300000.0,3332955200000.0,3205276600000.0,3293200800000.0
2032.0,3256954700000.0,3146711800000.0,3269229500000.0,3315045500000.0,3217839600000.0,3374613300000.0,3290106200000.0,3263887000000.0,3322114500000.0,3166902700000.0,3275303200000.0
2033.0,3242882500000.0,3125079200000.0,3241298000000.0,3294991500000.0,3181387400000.0,3360389900000.0,3277503900000.0,3246326800000.0,3314997000000.0,3138701000000.0,3253354000000.0
2034.0,3230237700000.0,3104171400000.0,3224245600000.0,3278214800000.0,3163606500000.0,3354688200000.0,3269547800000.0,3235761600000.0,3299352200000.0,3104764900000.0,3229468600000.0
2035.0,3203756000000.0,3077832400000.0,3209338000000.0,3256507700000.0,3143100300000.0,3340524800000.0,3259450800000.0,3215867200000.0,3291699000000.0,3080244000000.0,3224589800000.0
2036.0,3177962500000.0,3051094500000.0,3180380300000.0,3243235900000.0,3123813300000.0,3325555600000.0,3242172400000.0,3198236800000.0,3265134000000.0,3059122400000.0,3208856700000.0
2037.0,3162055400000.0,3024155800000.0,3154710600000.0,3222005400000.0,3095721100000.0,3315211200000.0,3234653500000.0,3191200500000.0,3249245800000.0,3038224600000.0,3188751900000.0
2038.0,3144691700000.0,2999487600000.0,3128529500000.0,3199896600000.0,3066180000000.0,3309843800000.0,3230884200000.0,3176353200000.0,3224071000000.0,3017735000000.0,3173131200000.0
2039.0,3122682000000.0,2975028500000.0,3104294300000.0,3174152500000.0,3042209000000.0,3295520000000.0,3220051900000.0,3152922800000.0,3198118500000.0,2984269000000.0,3150725000000.0
2040.0,3104113200000.0,2944701300000.0,3081105600000.0,3150869700000.0,3005123700000.0,3278640500000.0,3200765100000.0,3137756700000.0,3179733000000.0,2963758400000.0,3134693000000.0
2041.0,3077211700000.0,2925229000000.0,3058502000000.0,3128384600000.0,2966063000000.0,3279736000000.0,3197469000000.0,3113660000000.0,3147396000000.0,2942920800000.0,3112512000000.0
2042.0,3050946000000.0,2899682800000.0,3044408300000.0,3113462500000.0,2934489500000.0,3268471400000.0,3184694700000.0,3091704300000.0,3131427300000.0,2917613400000.0,3088264500000.0
2043.0,3020361000000.0,2868684300000.0,3026521400000.0,3078837000000.0,2904758700000.0,3270844000000.0,3169945600000.0,3084624300000.0,3115586200000.0,2888592500000.0,3069246000000.0
2044.0,2993112500000.0,2841619700000.0,3017035700000.0,3051937600000.0,2874136900000.0,3246383400000.0,3147187600000.0,3072626500000.0,3106920500000.0,2860889000000.0,3057208300000.0
2045.0,2966582500000.0,2826938000000.0,2988293200000.0,3025266000000.0,2843539100000.0,3225752400000.0,3130937800000.0,3048946800000.0,3083782300000.0,2814782000000.0,3037576600000.0
