time,CCSM4,GFDL-CM3,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G
2000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3447065700000.0,3440769000000.0,3448218800000.0,3445579000000.0,3435064200000.0,3476873300000.0,3447591000000.0,3444748300000.0
2022.0,3426860400000.0,3424562700000.0,3434484900000.0,3418241600000.0,3422601000000.0,3478682000000.0,3430724700000.0,3432906500000.0
2023.0,3420190400000.0,3409816600000.0,3433580700000.0,3399394000000.0,3410369400000.0,3486575500000.0,3420491600000.0,3422739000000.0
2024.0,3407978700000.0,3398424000000.0,3430415300000.0,3379127600000.0,3393724000000.0,3489307600000.0,3412732700000.0,3410555600000.0
2025.0,3389374600000.0,3371427700000.0,3419143100000.0,3355019600000.0,3380279200000.0,3493254100000.0,3388674000000.0,3402247000000.0
2026.0,3374360300000.0,3357611700000.0,3399793000000.0,3338471000000.0,3355271500000.0,3497175000000.0,3367253000000.0,3383515700000.0
2027.0,3356585600000.0,3343180400000.0,3392358600000.0,3305337800000.0,3339058000000.0,3498283600000.0,3353236000000.0,3365637200000.0
2028.0,3344181500000.0,3327018400000.0,3380981500000.0,3270770700000.0,3317673200000.0,3497042600000.0,3330144000000.0,3351459400000.0
2029.0,3324583600000.0,3301948000000.0,3371308700000.0,3241978400000.0,3276558600000.0,3512479300000.0,3322154600000.0,3338458400000.0
2030.0,3295919500000.0,3279746500000.0,3358340400000.0,3207342600000.0,3256731000000.0,3528397000000.0,3302969300000.0,3323228800000.0
2031.0,3280972000000.0,3247645400000.0,3350072100000.0,3186890600000.0,3227133400000.0,3534303800000.0,3270824200000.0,3310482600000.0
2032.0,3267616800000.0,3221249600000.0,3335917100000.0,3159995700000.0,3196290000000.0,3533724000000.0,3262983400000.0,3298674900000.0
2033.0,3257880800000.0,3188432000000.0,3317747400000.0,3130878900000.0,3169591000000.0,3534332600000.0,3247077900000.0,3299941300000.0
2034.0,3242290600000.0,3172347700000.0,3302861300000.0,3112232000000.0,3142734300000.0,3539450500000.0,3236602800000.0,3288226900000.0
2035.0,3223825700000.0,3156591500000.0,3284819800000.0,3089029400000.0,3113670400000.0,3534438300000.0,3220746000000.0,3284916800000.0
2036.0,3214076800000.0,3140886200000.0,3282508200000.0,3073884600000.0,3094307100000.0,3532810000000.0,3206615000000.0,3279016700000.0
2037.0,3185940600000.0,3122551300000.0,3278153200000.0,3049330300000.0,3066709400000.0,3515920000000.0,3200018500000.0,3275525200000.0
2038.0,3169328300000.0,3105088300000.0,3262804700000.0,3027926800000.0,3027373000000.0,3513821200000.0,3178448600000.0,3267019100000.0
2039.0,3156580500000.0,3084375300000.0,3240362000000.0,3005399400000.0,2995429600000.0,3504916400000.0,3158527700000.0,3257534800000.0
2040.0,3135462700000.0,3055963900000.0,3235317500000.0,2985586600000.0,2954173300000.0,3505904700000.0,3140380000000.0,3255256200000.0
2041.0,3104351500000.0,3039578800000.0,3219353500000.0,2960629000000.0,2916530000000.0,3501389000000.0,3129302600000.0,3253639800000.0
2042.0,3096499200000.0,3023834200000.0,3196592300000.0,2939172000000.0,2888493400000.0,3494383700000.0,3101721000000.0,3246023800000.0
2043.0,3074015600000.0,3002853800000.0,3184263700000.0,2920506200000.0,2866090600000.0,3486456500000.0,3085746300000.0,3236978200000.0
2044.0,3051275000000.0,2981338500000.0,3162666000000.0,2907249300000.0,2832459600000.0,3488397400000.0,3060586300000.0,3225828700000.0
2045.0,3038408600000.0,2970222900000.0,3139406000000.0,2877468200000.0,2789552400000.0,3484858700000.0,3052113500000.0,3220064700000.0
