time,CCSM4,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,CESM1-CAM5,GISS-E2-R,CANESM2,CNRM-CM5
2000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7266559000000.0,7255727500000.0,7266302000000.0,7280840400000.0,7254643300000.0,7260229000000.0,7259877300000.0,7247422000000.0,7267244600000.0,7261373600000.0,7265807000000.0
2022.0,7241013000000.0,7223961000000.0,7243385000000.0,7280604000000.0,7244460000000.0,7234093300000.0,7244671000000.0,7227287000000.0,7237564000000.0,7242828000000.0,7239263000000.0
2023.0,7211641000000.0,7202385400000.0,7229103000000.0,7280840400000.0,7228378000000.0,7205380700000.0,7216654000000.0,7207632500000.0,7233825400000.0,7209131000000.0,7223303500000.0
2024.0,7187445000000.0,7182292000000.0,7203613300000.0,7275151400000.0,7209973000000.0,7163955600000.0,7188679000000.0,7188984600000.0,7229149000000.0,7170093500000.0,7202702000000.0
2025.0,7179999400000.0,7156184600000.0,7181532000000.0,7260408400000.0,7167387000000.0,7135849600000.0,7162850400000.0,7177838000000.0,7208331400000.0,7149910000000.0,7198037000000.0
2026.0,7170696000000.0,7131400000000.0,7145226500000.0,7243940000000.0,7135688700000.0,7089887000000.0,7143880000000.0,7158400300000.0,7194083000000.0,7133810000000.0,7171693600000.0
2027.0,7142303600000.0,7117017000000.0,7099113000000.0,7215695000000.0,7124182000000.0,7058970600000.0,7129654000000.0,7130596000000.0,7194819400000.0,7118129000000.0,7152496300000.0
2028.0,7124634000000.0,7092515000000.0,7058350000000.0,7215579000000.0,7107140000000.0,7025399400000.0,7097869700000.0,7101142300000.0,7180202300000.0,7102953000000.0,7147054700000.0
2029.0,7104385500000.0,7075632500000.0,7030345600000.0,7197414000000.0,7067589000000.0,6990284000000.0,7086907000000.0,7077617000000.0,7156156000000.0,7078830000000.0,7121487000000.0
2030.0,7072315300000.0,7051571000000.0,6993898000000.0,7186976000000.0,7039024600000.0,6944026300000.0,7072305000000.0,7041183000000.0,7124877000000.0,7058697000000.0,7117144600000.0
2031.0,7048267000000.0,7028416700000.0,6961164000000.0,7168348000000.0,7033289000000.0,6929834000000.0,7066714400000.0,6996390000000.0,7096271000000.0,7062579300000.0,7101236600000.0
2032.0,7017879600000.0,6993506000000.0,6936850300000.0,7147035000000.0,7010636500000.0,6923330000000.0,7052183700000.0,6967262700000.0,7081138000000.0,7049528700000.0,7090300000000.0
2033.0,6997806700000.0,6961722600000.0,6929198400000.0,7122113000000.0,6961773400000.0,6900410000000.0,7043901000000.0,6930379600000.0,7063719600000.0,7029183000000.0,7073998000000.0
2034.0,6974034000000.0,6927699400000.0,6893079000000.0,7114038000000.0,6909551000000.0,6839648000000.0,7002293000000.0,6883775000000.0,7045958000000.0,7013467000000.0,7059832600000.0
2035.0,6951981000000.0,6896121500000.0,6873232000000.0,7105249500000.0,6883815000000.0,6801211000000.0,6966688600000.0,6839872000000.0,7034064000000.0,7000179600000.0,7038929700000.0
2036.0,6931523600000.0,6868388300000.0,6858046700000.0,7065467000000.0,6861977300000.0,6761776000000.0,6942499500000.0,6805695500000.0,7026933000000.0,6989150700000.0,7000324000000.0
2037.0,6904847000000.0,6831533000000.0,6841638000000.0,7035343600000.0,6831502000000.0,6721705000000.0,6912840000000.0,6753161300000.0,7024442000000.0,6957583300000.0,6989670000000.0
2038.0,6884073400000.0,6810489600000.0,6795867700000.0,7009232500000.0,6806490300000.0,6668748300000.0,6869139000000.0,6702231000000.0,6996816000000.0,6938646500000.0,6975956500000.0
2039.0,6869220300000.0,6787492000000.0,6753613000000.0,6981486600000.0,6783072500000.0,6631856300000.0,6845594000000.0,6663710400000.0,6981753500000.0,6916664000000.0,6940728500000.0
2040.0,6826417000000.0,6759137000000.0,6730662500000.0,6946209400000.0,6770217500000.0,6600700500000.0,6837852000000.0,6611321000000.0,6952702000000.0,6903765000000.0,6901699000000.0
2041.0,6803417500000.0,6731277000000.0,6700817400000.0,6939029300000.0,6758209700000.0,6544932500000.0,6817349000000.0,6559188400000.0,6932716000000.0,6873536000000.0,6882864000000.0
2042.0,6770446000000.0,6700746000000.0,6665469400000.0,6929524000000.0,6729144000000.0,6496940000000.0,6797722000000.0,6496014000000.0,6916570300000.0,6848234700000.0,6857339000000.0
2043.0,6718336000000.0,6663574000000.0,6643765000000.0,6929829000000.0,6702377000000.0,6453107000000.0,6752378600000.0,6443417700000.0,6903451000000.0,6799350600000.0,6843726000000.0
2044.0,6684283000000.0,6616576400000.0,6596309000000.0,6931579000000.0,6685026400000.0,6396686000000.0,6716971300000.0,6375498000000.0,6900602000000.0,6780375500000.0,6808179600000.0
2045.0,6641889000000.0,6578969000000.0,6562771400000.0,6931791500000.0,6647370500000.0,6364522300000.0,6694734700000.0,6310901300000.0,6882908000000.0,6765884000000.0,6783026000000.0
2046.0,6611313000000.0,6533060500000.0,6518984000000.0,6925544600000.0,6621401400000.0,6309758000000.0,6661110000000.0,6233697000000.0,6859551000000.0,6753656000000.0,6747561000000.0
2047.0,6585363000000.0,6487190000000.0,6478991700000.0,6923711000000.0,6607054300000.0,6268876500000.0,6637222000000.0,6181580000000.0,6842100500000.0,6739574400000.0,6724458000000.0
2048.0,6560915400000.0,6449257000000.0,6445228600000.0,6920703000000.0,6573316000000.0,6213620000000.0,6616150000000.0,6129876000000.0,6810212000000.0,6716249000000.0,6688180500000.0
2049.0,6542057300000.0,6390815400000.0,6413050400000.0,6892748000000.0,6539392300000.0,6170768600000.0,6582755000000.0,6074705400000.0,6802717000000.0,6685535000000.0,6638063000000.0
2050.0,6515945600000.0,6335225700000.0,6385173000000.0,6868943000000.0,6502898000000.0,6138519600000.0,6554301000000.0,5996184000000.0,6790093000000.0,6651619000000.0,6605627700000.0
2051.0,6487388000000.0,6290028000000.0,6342312500000.0,6859354300000.0,6474860000000.0,6058888700000.0,6536436400000.0,5969370700000.0,6784683600000.0,6627725400000.0,6572695600000.0
2052.0,6460217000000.0,6230915400000.0,6310213000000.0,6842567000000.0,6445025700000.0,6007631000000.0,6497350700000.0,5913386700000.0,6763457300000.0,6590122000000.0,6545256500000.0
2053.0,6422407400000.0,6184111000000.0,6284354000000.0,6832587000000.0,6406657000000.0,5965275000000.0,6471639000000.0,5859779000000.0,6751193000000.0,6564094000000.0,6505827000000.0
2054.0,6408937400000.0,6137355000000.0,6252851600000.0,6827110000000.0,6369277000000.0,5924899500000.0,6445309000000.0,5786979000000.0,6718440000000.0,6520051000000.0,6457388000000.0
2055.0,6390893500000.0,6087514000000.0,6209220000000.0,6827262600000.0,6348130500000.0,5880792000000.0,6415014000000.0,5692670300000.0,6671254000000.0,6500327600000.0,6413735000000.0
2056.0,6380586500000.0,6027548000000.0,6170261000000.0,6824511000000.0,6318070400000.0,5841052000000.0,6402832000000.0,5623882000000.0,6640226000000.0,6444221500000.0,6374693500000.0
2057.0,6344736000000.0,5988874700000.0,6143096700000.0,6807303000000.0,6271267000000.0,5793091400000.0,6370364500000.0,5579645000000.0,6614738000000.0,6408427300000.0,6357847600000.0
2058.0,6328110500000.0,5939831000000.0,6127092000000.0,6793962500000.0,6235385500000.0,5748813000000.0,6343735000000.0,5538950700000.0,6620828000000.0,6381035300000.0,6289651000000.0
2059.0,6289834400000.0,5891708400000.0,6102303000000.0,6761378500000.0,6177957600000.0,5695697000000.0,6330523300000.0,5489977000000.0,6606319000000.0,6353342000000.0,6238846000000.0
2060.0,6264498000000.0,5849843000000.0,6066662300000.0,6730479600000.0,6137819700000.0,5637934000000.0,6301575000000.0,5431154400000.0,6596697000000.0,6314584000000.0,6204450000000.0
