time,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0
2000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7282624000000.0,7273560700000.0,7261694000000.0,7240604500000.0,7272895000000.0,7235152400000.0,7278000300000.0,7279439000000.0,7253247700000.0,7250207000000.0,7253490400000.0
2022.0,7259126000000.0,7266811000000.0,7237312400000.0,7220498000000.0,7256589500000.0,7218892000000.0,7273236700000.0,7253194000000.0,7222760300000.0,7230284000000.0,7234456600000.0
2023.0,7222986300000.0,7243579000000.0,7230208000000.0,7184608400000.0,7269971000000.0,7175938000000.0,7260187700000.0,7210278000000.0,7191093000000.0,7231044600000.0,7215545000000.0
2024.0,7220669400000.0,7240131000000.0,7217793700000.0,7114718700000.0,7277997000000.0,7152538000000.0,7243078600000.0,7201928000000.0,7150128000000.0,7219260000000.0,7192977000000.0
2025.0,7208433000000.0,7215281000000.0,7213929000000.0,7074875000000.0,7283000000000.0,7124937600000.0,7238836000000.0,7184201500000.0,7133841600000.0,7187683300000.0,7178652000000.0
2026.0,7187328000000.0,7199018000000.0,7194997000000.0,7029240000000.0,7288066000000.0,7093958000000.0,7225917000000.0,7158274000000.0,7103875000000.0,7158726400000.0,7154699300000.0
2027.0,7175570000000.0,7195989000000.0,7161698000000.0,6966377700000.0,7295033000000.0,7074751000000.0,7202598000000.0,7141460000000.0,7049390000000.0,7148105000000.0,7128078000000.0
2028.0,7149259000000.0,7170779000000.0,7156674000000.0,6915069000000.0,7277856000000.0,7056427000000.0,7204021700000.0,7097120000000.0,7018542000000.0,7110714000000.0,7106992300000.0
2029.0,7128535300000.0,7143718600000.0,7152429700000.0,6842848000000.0,7278161300000.0,7007157000000.0,7197577000000.0,7068688300000.0,6977876400000.0,7061126000000.0,7099481300000.0
2030.0,7065660000000.0,7124144000000.0,7132277600000.0,6794125500000.0,7268023700000.0,6968149300000.0,7189303400000.0,7049773000000.0,6913708000000.0,7013593000000.0,7079590400000.0
2031.0,7033601400000.0,7106058500000.0,7099362300000.0,6739778000000.0,7266058000000.0,6924132700000.0,7168213000000.0,7023205300000.0,6860865000000.0,6982934000000.0,7059892000000.0
2032.0,7015179500000.0,7085465500000.0,7085600000000.0,6682764000000.0,7265101300000.0,6890589000000.0,7145171000000.0,6986133400000.0,6799002400000.0,6942718700000.0,7044839500000.0
2033.0,6978505000000.0,7041128000000.0,7052664500000.0,6639342600000.0,7260739000000.0,6849966400000.0,7124231400000.0,6949332000000.0,6762188500000.0,6919915300000.0,7008879600000.0
2034.0,6950184600000.0,6999116300000.0,7043077000000.0,6597915000000.0,7256173700000.0,6815623400000.0,7116912300000.0,6925509000000.0,6698550000000.0,6878375400000.0,6972264000000.0
2035.0,6921517000000.0,6960138700000.0,7048313400000.0,6558123000000.0,7255301300000.0,6788482600000.0,7095557000000.0,6887289400000.0,6657949600000.0,6818310000000.0,6949839600000.0
2036.0,6894425500000.0,6928629500000.0,7022077000000.0,6523240000000.0,7223759600000.0,6749099000000.0,7080877000000.0,6857057000000.0,6609472000000.0,6758289000000.0,6922859000000.0
2037.0,6854834400000.0,6896867600000.0,7006989000000.0,6478654600000.0,7218335000000.0,6718414000000.0,7049689000000.0,6835841000000.0,6551945000000.0,6708077000000.0,6888143000000.0
2038.0,6826565300000.0,6864384000000.0,6993885000000.0,6428746600000.0,7167186300000.0,6678533600000.0,7030206600000.0,6788230400000.0,6481864300000.0,6620633000000.0,6854137600000.0
2039.0,6771311000000.0,6819655700000.0,6982170000000.0,6395187000000.0,7126413000000.0,6616360000000.0,7010048300000.0,6751078300000.0,6403065400000.0,6553521400000.0,6824382700000.0
2040.0,6704161000000.0,6787943000000.0,6944193000000.0,6363585000000.0,7107045000000.0,6577573000000.0,6992920000000.0,6662581000000.0,6321369000000.0,6469722000000.0,6782324300000.0
2041.0,6654331500000.0,6755019000000.0,6927475500000.0,6325989300000.0,7055953000000.0,6536339000000.0,6962286000000.0,6615754000000.0,6260187000000.0,6409642000000.0,6743040500000.0
2042.0,6601180700000.0,6700491000000.0,6908902600000.0,6273977300000.0,7031311000000.0,6472738000000.0,6929312600000.0,6570414400000.0,6194436000000.0,6347409600000.0,6690753000000.0
2043.0,6551245000000.0,6662740000000.0,6876664000000.0,6221472000000.0,6982595500000.0,6435404000000.0,6905916000000.0,6481270300000.0,6132895000000.0,6257710000000.0,6645303000000.0
2044.0,6501464300000.0,6602666000000.0,6832623000000.0,6183747300000.0,6931075300000.0,6360611000000.0,6889819000000.0,6394644000000.0,6038162500000.0,6178306000000.0,6580738700000.0
2045.0,6461325300000.0,6559469400000.0,6799645700000.0,6126721600000.0,6883474700000.0,6309823400000.0,6867391000000.0,6337385000000.0,5936357000000.0,6081604000000.0,6535665000000.0
2046.0,6411616000000.0,6523777400000.0,6776498400000.0,6056897000000.0,6854505000000.0,6235676000000.0,6858367000000.0,6284745000000.0,5872890000000.0,5984468600000.0,6507634000000.0
2047.0,6367023000000.0,6497354400000.0,6752540600000.0,6012909600000.0,6805929000000.0,6166164300000.0,6841251700000.0,6218449000000.0,5801365000000.0,5880553700000.0,6483368500000.0
2048.0,6295434000000.0,6467792000000.0,6722236700000.0,5980678000000.0,6758289400000.0,6106005400000.0,6829782300000.0,6142316500000.0,5700862000000.0,5809131500000.0,6455267700000.0
2049.0,6254607000000.0,6427816000000.0,6674545000000.0,5932524000000.0,6725039600000.0,6044391600000.0,6806829000000.0,6049045000000.0,5613831000000.0,5720692500000.0,6427765600000.0
2050.0,6201026000000.0,6389738500000.0,6643958000000.0,5906011000000.0,6689301500000.0,5980580000000.0,6772994600000.0,5962980000000.0,5524925000000.0,5638652000000.0,6403437600000.0
2051.0,6141068000000.0,6352388000000.0,6615813600000.0,5871977400000.0,6653570000000.0,5953188500000.0,6763687400000.0,5911175000000.0,5436820400000.0,5547089000000.0,6371591000000.0
2052.0,6095869000000.0,6311002000000.0,6581763700000.0,5837538000000.0,6593537600000.0,5890401000000.0,6744057600000.0,5829030300000.0,5316232600000.0,5446819600000.0,6351039000000.0
2053.0,6036952000000.0,6273248500000.0,6547447000000.0,5798598500000.0,6561127000000.0,5825684300000.0,6736127700000.0,5757074000000.0,5245547600000.0,5378571000000.0,6310206600000.0
2054.0,5990870000000.0,6214188000000.0,6525552000000.0,5752835500000.0,6543799000000.0,5775516000000.0,6715727000000.0,5643733000000.0,5187588600000.0,5317555000000.0,6277599600000.0
2055.0,5946781000000.0,6192936000000.0,6492948000000.0,5699268000000.0,6518801000000.0,5723595500000.0,6699133400000.0,5549060000000.0,5101065300000.0,5224571000000.0,6244199300000.0
2056.0,5900439400000.0,6163302700000.0,6468468700000.0,5645822600000.0,6493926000000.0,5667573000000.0,6673439000000.0,5482691400000.0,5008404000000.0,5128357700000.0,6187568300000.0
2057.0,5845490300000.0,6124614000000.0,6454708300000.0,5563993300000.0,6462404000000.0,5613933300000.0,6629119000000.0,5407760700000.0,4923115700000.0,5019599000000.0,6138118500000.0
2058.0,5800978300000.0,6085377000000.0,6421832300000.0,5488797300000.0,6400002500000.0,5554190000000.0,6631573000000.0,5322530400000.0,4824195000000.0,4912485000000.0,6097066300000.0
2059.0,5761519000000.0,6033388300000.0,6399456000000.0,5441591400000.0,6355853000000.0,5514468500000.0,6619295000000.0,5243179400000.0,4729263000000.0,4789714000000.0,6060279600000.0
2060.0,5708829400000.0,5966028000000.0,6379599300000.0,5384699400000.0,6321837400000.0,5452116000000.0,6607416000000.0,5169537400000.0,4619545000000.0,4675382000000.0,6031179000000.0
