time,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,GFDL-CM3,CCSM4,CNRM-CM5,GISS-E2-R,CANESM2,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7269994000000.0,7251753000000.0,7277520000000.0,7266389500000.0,7270231400000.0,7275751700000.0,7264272400000.0,7271359000000.0,7266295600000.0,7257014700000.0
2022.0,7256778000000.0,7241994300000.0,7261057400000.0,7248497600000.0,7247232000000.0,7261996000000.0,7244016000000.0,7263446600000.0,7243723000000.0,7234133000000.0
2023.0,7240569300000.0,7225467700000.0,7218923600000.0,7229458000000.0,7234985000000.0,7244453000000.0,7232209000000.0,7239168400000.0,7222922000000.0,7197451000000.0
2024.0,7217517400000.0,7189641000000.0,7200968000000.0,7203852000000.0,7197928000000.0,7227030600000.0,7224847500000.0,7225712000000.0,7203603000000.0,7177103000000.0
2025.0,7200938400000.0,7170214000000.0,7203038000000.0,7183415000000.0,7168401600000.0,7202432600000.0,7218454000000.0,7194030400000.0,7176662000000.0,7128529500000.0
2026.0,7180870000000.0,7124328000000.0,7185924400000.0,7162871400000.0,7147413000000.0,7177305000000.0,7204614000000.0,7169227400000.0,7155230400000.0,7103363700000.0
2027.0,7141730000000.0,7102128000000.0,7151600000000.0,7125870000000.0,7129310700000.0,7163306600000.0,7188926000000.0,7157271000000.0,7147493000000.0,7081569600000.0
2028.0,7133315700000.0,7076148000000.0,7129640500000.0,7087988400000.0,7118723000000.0,7135272400000.0,7165496500000.0,7130294000000.0,7126605400000.0,7052457000000.0
