time,CSIRO-MK3-6-0,CCSM4,GFDL-CM3,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR,GISS-E2-R,GFDL-ESM2G
2000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0
2001.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0
2002.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0
2003.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0
2004.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0
2005.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0
2006.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0
2007.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0
2008.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0
2009.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0
2010.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0
2011.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0
2012.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0
2013.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0
2014.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0
2015.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0
2016.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0
2017.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0
2018.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0
2019.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0
2020.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0
2021.0,262123270000.0,258980610000.0,256415140000.0,256508740000.0,259017640000.0,256265700000.0,260095280000.0,256003280000.0
2022.0,264121860000.0,257116720000.0,253170380000.0,253457970000.0,255229500000.0,257247740000.0,258527330000.0,249950240000.0
2023.0,262715150000.0,255757570000.0,251116910000.0,254203790000.0,252017820000.0,254046200000.0,259373760000.0,247691360000.0
2024.0,263187530000.0,254294640000.0,247310940000.0,254588810000.0,249733610000.0,250964180000.0,258922990000.0,245658600000.0
2025.0,262711200000.0,251776780000.0,243514790000.0,252366270000.0,246788930000.0,248638690000.0,255380900000.0,245980660000.0
2026.0,259893770000.0,249498530000.0,239090650000.0,250383480000.0,243271000000.0,244103510000.0,251932130000.0,243448630000.0
2027.0,260286900000.0,247653550000.0,235618580000.0,250359480000.0,240331820000.0,237990720000.0,249708770000.0,238694800000.0
2028.0,260315530000.0,244904180000.0,232978350000.0,247912990000.0,238069970000.0,235575460000.0,246668620000.0,235257860000.0
2029.0,257918570000.0,239502030000.0,225564560000.0,246880320000.0,233715380000.0,228394220000.0,242618500000.0,232121300000.0
2030.0,258047250000.0,234738630000.0,220746330000.0,245912470000.0,229393370000.0,228860430000.0,242179670000.0,231584070000.0
2031.0,255554340000.0,232209430000.0,217457720000.0,245719520000.0,227479570000.0,223157930000.0,236146570000.0,230031330000.0
