time,GFDL-CM3,CCSM4,GISS-E2-R,CESM1-CAM5,CANESM2,NORESM1-M,IPSL-CM5A-LR,MPI-ESM-LR,CNRM-CM5,GFDL-ESM2G,CSIRO-MK3-6-0
2000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0
2001.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0
2002.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0
2003.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0
2004.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0
2005.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0
2006.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0
2007.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0
2008.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0
2009.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0
2010.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0
2011.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0
2012.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0
2013.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0
2014.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0
2015.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0
2016.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0
2017.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0
2018.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0
2019.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0
2020.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0
2021.0,13723462000000.0,13741581000000.0,13742260000000.0,13704160000000.0,13702907000000.0,13725375000000.0,13731093000000.0,13724520000000.0,13755227000000.0,13727933000000.0,13734594000000.0
2022.0,13674074000000.0,13725556000000.0,13719095000000.0,13667059000000.0,13682848000000.0,13691416000000.0,13701754000000.0,13722512000000.0,13726023000000.0,13695542000000.0,13717039000000.0
2023.0,13620692000000.0,13709729000000.0,13696849000000.0,13621970000000.0,13665055000000.0,13667818000000.0,13684201000000.0,13701410000000.0,13716480000000.0,13691592000000.0,13698599000000.0
2024.0,13513956000000.0,13682659000000.0,13679320000000.0,13606423000000.0,13642473000000.0,13631696000000.0,13669907000000.0,13691231000000.0,13686268000000.0,13674638000000.0,13680181000000.0
2025.0,13410083000000.0,13681820000000.0,13668544000000.0,13551815000000.0,13628855000000.0,13602921000000.0,13636756000000.0,13677862000000.0,13671839000000.0,13682674000000.0,13652076000000.0
2026.0,13353681000000.0,13664292000000.0,13647251000000.0,13522727000000.0,13612387000000.0,13586079000000.0,13625262000000.0,13663278000000.0,13668371000000.0,13668543000000.0,13623530000000.0
