time,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CSIRO-MK3-6-0,GFDL-ESM2G,MPI-ESM-LR,IPSL-CM5A-LR,CNRM-CM5
2000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0,13993788000000.0
2001.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0,13971424000000.0
2002.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0,13953153000000.0
2003.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0,13942589000000.0
2004.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0,13941719000000.0
2005.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0,13938462000000.0
2006.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0,13927112000000.0
2007.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0,13912716000000.0
2008.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0,13909418000000.0
2009.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0,13903807000000.0
2010.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0,13891562000000.0
2011.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0,13885847000000.0
2012.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0,13882452000000.0
2013.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0,13860700000000.0
2014.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0,13831282000000.0
2015.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0,13838983000000.0
2016.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0,13826489000000.0
2017.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0,13795144000000.0
2018.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0,13788537000000.0
2019.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0,13768660000000.0
2020.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0,13755328000000.0
2021.0,13748251000000.0,13734846000000.0,13728450000000.0,13751093000000.0,13744351000000.0,13730883000000.0,13739964000000.0,13740991000000.0,13725108000000.0,13729034000000.0
2022.0,13729706000000.0,13704083000000.0,13708573000000.0,13729251000000.0,13717333000000.0,13728072000000.0,13718289000000.0,13720248000000.0,13709739000000.0,13715643000000.0
2023.0,13713740000000.0,13691412000000.0,13675453000000.0,13683299000000.0,13702058000000.0,13691504000000.0,13690468000000.0,13686601000000.0,13708944000000.0,13690953000000.0
2024.0,13721167000000.0,13663607000000.0,13645760000000.0,13638527000000.0,13663741000000.0,13673326000000.0,13660701000000.0,13669960000000.0,13683135000000.0,13683845000000.0
2025.0,13697581000000.0,13634071000000.0,13614660000000.0,13620839000000.0,13656753000000.0,13653885000000.0,13658094000000.0,13656410000000.0,13653554000000.0,13669391000000.0
2026.0,13691615000000.0,13606895000000.0,13583050000000.0,13587421000000.0,13616575000000.0,13632209000000.0,13623017000000.0,13612019000000.0,13661391000000.0,13630153000000.0
2027.0,13669985000000.0,13594107000000.0,13549211000000.0,13542496000000.0,13600826000000.0,13615730000000.0,13602368000000.0,13595475000000.0,13653476000000.0,13614379000000.0
2028.0,13658788000000.0,13576771000000.0,13507134000000.0,13513146000000.0,13556487000000.0,13600200000000.0,13589985000000.0,13573473000000.0,13626964000000.0,13587486000000.0
2029.0,13639041000000.0,13557778000000.0,13447267000000.0,13486902000000.0,13534222000000.0,13570839000000.0,13581042000000.0,13544451000000.0,13619927000000.0,13541044000000.0
2030.0,13632691000000.0,13538461000000.0,13390699000000.0,13464218000000.0,13520229000000.0,13561401000000.0,13539007000000.0,13521189000000.0,13614673000000.0,13490164000000.0
2031.0,13608335000000.0,13506757000000.0,13329605000000.0,13436865000000.0,13496062000000.0,13535995000000.0,13493822000000.0,13493224000000.0,13591379000000.0,13434964000000.0
2032.0,13586379000000.0,13480325000000.0,13269740000000.0,13428092000000.0,13438439000000.0,13514541000000.0,13454404000000.0,13463157000000.0,13552386000000.0,13383701000000.0
2033.0,13573916000000.0,13464516000000.0,13225768000000.0,13402685000000.0,13390163000000.0,13496997000000.0,13432928000000.0,13427945000000.0,13544881000000.0,13330423000000.0
2034.0,13560938000000.0,13453095000000.0,13167529000000.0,13339807000000.0,13340831000000.0,13483150000000.0,13410599000000.0,13405144000000.0,13523962000000.0,13311306000000.0
2035.0,13533070000000.0,13439459000000.0,13128481000000.0,13303300000000.0,13287916000000.0,13474339000000.0,13356395000000.0,13386546000000.0,13499525000000.0,13243175000000.0
2036.0,13489359000000.0,13403795000000.0,13073767000000.0,13271532000000.0,13224174000000.0,13449531000000.0,13322272000000.0,13356664000000.0,13485478000000.0,13170611000000.0
2037.0,13464410000000.0,13386715000000.0,13013217000000.0,13212004000000.0,13196694000000.0,13421133000000.0,13282224000000.0,13317308000000.0,13473131000000.0,13105390000000.0
2038.0,13459257000000.0,13368953000000.0,12978498000000.0,13127495000000.0,13106576000000.0,13401095000000.0,13240927000000.0,13295064000000.0,13445825000000.0,13001439000000.0
