time,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CANESM2,GFDL-CM3,CNRM-CM5,GISS-E2-R,MPI-ESM-LR,GFDL-ESM2G,IPSL-CM5A-LR,CESM1-CAM5
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0
2021.0,102174770000.0,104671175000.0,103937060000.0,104512864000.0,102487820000.0,104036900000.0,104551014000.0,104057440000.0,105433604000.0,102556510000.0,104712100000.0
2022.0,100069320000.0,102050770000.0,102721315000.0,102571440000.0,100323320000.0,103176390000.0,101756780000.0,102526310000.0,104485740000.0,99826160000.0,102733460000.0
2023.0,97612640000.0,99196220000.0,101491110000.0,101644940000.0,97995380000.0,102477980000.0,99349090000.0,100333200000.0,103497770000.0,98461240000.0,100404910000.0
2024.0,95099880000.0,96165760000.0,99488660000.0,99361430000.0,94903260000.0,100231170000.0,97821250000.0,99365724000.0,102149595000.0,96307290000.0,97685400000.0
2025.0,92663740000.0,94119300000.0,97934330000.0,96717600000.0,92537815000.0,98407800000.0,95727124000.0,97029325000.0,99212304000.0,94953990000.0,95497540000.0
2026.0,90950960000.0,92835865000.0,96193420000.0,94461805000.0,89244410000.0,96243016000.0,93224240000.0,94866310000.0,97555430000.0,93175940000.0,93477730000.0
2027.0,87812920000.0,90351970000.0,95817430000.0,91149870000.0,85183970000.0,94119990000.0,92351185000.0,92437390000.0,94977450000.0,89123226000.0,91800590000.0
2028.0,85812870000.0,89076070000.0,93818225000.0,88498135000.0,82016710000.0,91433500000.0,90763920000.0,90343450000.0,93787840000.0,87758905000.0,89644410000.0
2029.0,84158880000.0,88116030000.0,92833580000.0,87127100000.0,77734230000.0,89972230000.0,88998306000.0,88338220000.0,91595320000.0,85981460000.0,87367960000.0
2030.0,82080040000.0,86548130000.0,90572840000.0,84936114000.0,74325205000.0,87161890000.0,85301460000.0,84872880000.0,90891410000.0,82186430000.0,86972514000.0
2031.0,80351986000.0,84449590000.0,88596900000.0,83419005000.0,71761470000.0,86234240000.0,82959620000.0,82986230000.0,88879555000.0,79585870000.0,84961810000.0
2032.0,77863000000.0,82921275000.0,86023545000.0,81170555000.0,68221090000.0,83662370000.0,81696280000.0,82212560000.0,87138206000.0,78670740000.0,82536280000.0
2033.0,76683444000.0,81610060000.0,84143640000.0,79922760000.0,65795326000.0,80776946000.0,79778440000.0,80821190000.0,85203380000.0,75692020000.0,79021770000.0
2034.0,74953105000.0,79532700000.0,82093740000.0,77425230000.0,62512005000.0,78610500000.0,77132366000.0,78271450000.0,83203660000.0,71691250000.0,77567975000.0
2035.0,73280680000.0,77426990000.0,80846990000.0,75257225000.0,60395570000.0,76499485000.0,75190430000.0,75768590000.0,80848250000.0,68815280000.0,75595590000.0
2036.0,71796290000.0,75625660000.0,79899980000.0,73720410000.0,58869630000.0,74830120000.0,74161120000.0,74188430000.0,79553500000.0,66128343000.0,73312650000.0
2037.0,70865020000.0,73373200000.0,77837360000.0,71037150000.0,56276374000.0,73474800000.0,71939110000.0,71263010000.0,78443490000.0,62802230000.0,71473095000.0
2038.0,69367560000.0,71211010000.0,76477100000.0,68381570000.0,53396280000.0,71386720000.0,70624490000.0,68463770000.0,76481634000.0,60531368000.0,68936280000.0
2039.0,66917170000.0,68705317000.0,74159090000.0,66860860000.0,50787004000.0,68930430000.0,68268880000.0,67018640000.0,75702650000.0,58225324000.0,66658900000.0
2040.0,64471392000.0,67160728000.0,71948960000.0,65051630000.0,48142606000.0,66899960000.0,65338733000.0,66013217000.0,74268860000.0,56394076000.0,64261430000.0
2041.0,62778745000.0,65763123000.0,70492220000.0,63252110000.0,45320610000.0,65885303000.0,61750055000.0,64922750000.0,72819000000.0,53977550000.0,61576376000.0
2042.0,60292116000.0,63269556000.0,68800954000.0,62256402000.0,42857990000.0,64190812000.0,60648020000.0,63587050000.0,71248060000.0,52337760000.0,59219096000.0
