time,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,GFDL-CM3,GISS-E2-R,GFDL-ESM2G,IPSL-CM5A-LR
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
