time,GFDL-CM3,GISS-E2-R,CCSM4,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,CESM1-CAM5
2000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0
2001.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0
2002.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0
2003.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0
2004.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0
2005.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0
2006.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0
2007.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0
2008.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0
2009.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0
2010.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0
2011.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0
2012.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0
2013.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0
2014.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0
2015.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0
2016.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0
2017.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0
2018.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0
2019.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0
2020.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0
2021.0,46341263000.0,47356977000.0,47217360000.0,48038506000.0,46016365000.0,46009610000.0,47862575000.0,47495720000.0
2022.0,43781825000.0,46424744000.0,47646700000.0,47350490000.0,45160610000.0,45938246000.0,47171736000.0,47616078000.0
2023.0,43025314000.0,44995730000.0,46698828000.0,46975836000.0,43262680000.0,45228904000.0,46359790000.0,46343004000.0
2024.0,41326460000.0,45166998000.0,45736160000.0,46525882000.0,42494833000.0,43000050000.0,44484140000.0,45963660000.0
2025.0,39803703000.0,43826260000.0,45535480000.0,45625065000.0,42072883000.0,41142350000.0,42961605000.0,44849074000.0
2026.0,38316986000.0,42829648000.0,45239054000.0,45910260000.0,42159452000.0,38658077000.0,41912934000.0,43583287000.0
2027.0,37172400000.0,41882055000.0,44392202000.0,45387270000.0,41175134000.0,38012363000.0,41187115000.0,42209534000.0
2028.0,34435600000.0,41125392000.0,43552104000.0,45429146000.0,40071670000.0,37915877000.0,40571154000.0,42049753000.0
2029.0,34126832000.0,40327487000.0,42507100000.0,45637923000.0,39149535000.0,38266225000.0,39722780000.0,41688360000.0
2030.0,32350320000.0,39431180000.0,41867660000.0,44949885000.0,38476910000.0,37049860000.0,39394914000.0,41413313000.0
2031.0,31345885000.0,39484035000.0,42052497000.0,44691722000.0,36460974000.0,36386180000.0,38707550000.0,39992205000.0
2032.0,30234006000.0,39935410000.0,42097074000.0,44640666000.0,35610580000.0,34027401000.0,37708360000.0,40420372000.0
2033.0,28622660000.0,39032676000.0,41790050000.0,44493190000.0,34843320000.0,32780978000.0,37550703000.0,39082300000.0
2034.0,27375220000.0,39316595000.0,40891190000.0,43562970000.0,33523210000.0,31433580000.0,36354593000.0,38356595000.0
2035.0,25756486000.0,39165740000.0,39639392000.0,43875455000.0,31147528000.0,31086225000.0,35072877000.0,37121750000.0
2036.0,24692429000.0,37735977000.0,39196852000.0,43773874000.0,29945209000.0,30420226000.0,34796278000.0,36074725000.0
2037.0,23375452000.0,36203913000.0,38822236000.0,43865207000.0,28965462000.0,29840830000.0,34389373000.0,34921423000.0
2038.0,22639053000.0,36200518000.0,38339187000.0,43466790000.0,27394950000.0,29379183000.0,33955885000.0,34714526000.0
2039.0,20602330000.0,34763980000.0,37003530000.0,43291140000.0,26607722000.0,28953594000.0,33993652000.0,34129678000.0
2040.0,18693515000.0,34122994000.0,36584153000.0,42967515000.0,26353938000.0,28728971000.0,32215316000.0,33072622000.0
2041.0,17465070000.0,34053065000.0,36200595000.0,42848340000.0,25704968000.0,27862230000.0,31279026000.0,32851798000.0
2042.0,17030556000.0,34133033000.0,35191992000.0,41431474000.0,25454055000.0,27316353000.0,30219141000.0,31904500000.0
2043.0,16424864000.0,33581312000.0,33715970000.0,40932946000.0,24608840000.0,27127079000.0,29436207000.0,31634921000.0
2044.0,15921309000.0,33920078000.0,33181751000.0,41343242000.0,24057186000.0,26050898000.0,28279960000.0,31605697000.0
2045.0,15251242000.0,33661809000.0,32464083000.0,40775480000.0,23176026000.0,25930400000.0,28117891000.0,31721515000.0
2046.0,14422548000.0,32718905000.0,31390992000.0,39580627000.0,22888286000.0,25614460000.0,27752034000.0,30669023000.0
2047.0,13341254000.0,33010416000.0,30628614000.0,40168560000.0,21506482000.0,25096772000.0,27415013000.0,29153698000.0
2048.0,12650739000.0,32523512000.0,28772786000.0,39847526000.0,20422859000.0,24231800000.0,26221662000.0,28105202000.0
2049.0,12484720000.0,31372462000.0,27341156000.0,38782240000.0,19887260000.0,23385778000.0,24239010000.0,27735828000.0
2050.0,11962885000.0,30879654000.0,26998796000.0,37781385000.0,19418997000.0,22136310000.0,24413295000.0,27801743000.0
2051.0,11516299000.0,30142749000.0,26496412000.0,37174776000.0,19438141000.0,21868740000.0,24763935000.0,27164967000.0
2052.0,11237395000.0,29878380000.0,26125752000.0,36919400000.0,19412427000.0,20957022000.0,23696433000.0,26641658000.0
2053.0,11081164000.0,30254990000.0,25726685000.0,35599000000.0,19160773000.0,19999402000.0,22644169000.0,25761910000.0
2054.0,11072153000.0,30190694000.0,25016326000.0,34344585000.0,18572034000.0,19795298000.0,22940586000.0,25076767000.0
2055.0,10553816000.0,29683608000.0,23577545000.0,31838163000.0,17849719000.0,19026500000.0,21663410000.0,24520686000.0
2056.0,10227845000.0,29060076000.0,23027284000.0,30544314000.0,17446345000.0,19058540000.0,21229950000.0,24082760000.0
2057.0,10348915000.0,29367474000.0,21981768000.0,30404463000.0,17483500000.0,18123588000.0,20469130000.0,23108655000.0
2058.0,10170164000.0,29062347000.0,21410870000.0,29986312000.0,16875467000.0,17930723000.0,20232505000.0,22507872000.0
2059.0,10034118000.0,29657172000.0,20483213000.0,29449495000.0,16243288000.0,18074976000.0,19598176000.0,21232820000.0
2060.0,9927022000.0,28822692000.0,19776471000.0,29171220000.0,15949152000.0,17942467000.0,20209644000.0,21380708000.0
2061.0,9660436000.0,27660399000.0,19431535000.0,29239736000.0,15798105000.0,17748599000.0,19696443000.0,20760453000.0
2062.0,9698680000.0,27412036000.0,19059407000.0,28736983000.0,15453571000.0,17322904000.0,19573350000.0,20326463000.0
2063.0,9280247000.0,27160707000.0,18185015000.0,28443986000.0,14824112000.0,16753531000.0,19376357000.0,19807380000.0
2064.0,8972120000.0,27863038000.0,17785362000.0,27719500000.0,14463623000.0,16533148000.0,18887176000.0,19112002000.0
2065.0,8895852000.0,26953005000.0,17286187000.0,27856732000.0,14137427000.0,15832038000.0,18920937000.0,18892005000.0
2066.0,8670259000.0,27406283000.0,16983066000.0,27874950000.0,13799948000.0,14793617000.0,18694963000.0,18421310000.0
2067.0,8650145000.0,26915240000.0,16926448000.0,27063165000.0,13488987000.0,14316795000.0,18790236000.0,18147940000.0
2068.0,8351348700.0,26424599000.0,17151732000.0,26463625000.0,13089117000.0,13928096000.0,18714462000.0,17310962000.0
2069.0,8074007000.0,26427703000.0,16845688000.0,25560062000.0,13277663000.0,13735148000.0,19072272000.0,16936117000.0
2070.0,8138362400.0,25840165000.0,16503339000.0,25051945000.0,12899670000.0,13528236000.0,18826252000.0,16780510000.0
2071.0,7443100700.0,26225200000.0,16006296000.0,24211614000.0,12241949000.0,12960904000.0,18373646000.0,15984645000.0
2072.0,7216535600.0,26104726000.0,15649870000.0,23027180000.0,12009878000.0,12577931000.0,17875860000.0,16001034000.0
2073.0,6922499600.0,25862433000.0,15570075000.0,22408450000.0,11906495000.0,12360351000.0,17377155000.0,15899898000.0
2074.0,6566988300.0,25484057000.0,15530573000.0,21823187000.0,11592515000.0,11786252000.0,16692857000.0,15332668000.0
2075.0,6124319000.0,24826212000.0,15111221000.0,20857369000.0,11485506000.0,11507692000.0,16259416000.0,14556721000.0
2076.0,5687222300.0,24576449000.0,15208728000.0,19871660000.0,11233849000.0,11225180000.0,16182458000.0,14166569000.0
2077.0,5438361000.0,23825285000.0,15071293000.0,19823677000.0,10961343000.0,11113582000.0,16176728000.0,14041551000.0
2078.0,5158734300.0,23185355000.0,14509495000.0,19725246000.0,10915009000.0,10574572000.0,15548803000.0,13897452000.0
2079.0,4800974000.0,23548176000.0,14077128000.0,19317166000.0,10561689000.0,10468144000.0,15002880000.0,13703358000.0
2080.0,4594330600.0,22642967000.0,14106117000.0,18685776000.0,10373557000.0,10122273000.0,14475566000.0,13175587000.0
2081.0,4256020000.0,22260232000.0,13516555000.0,18089570000.0,10326493000.0,9599172000.0,13640229000.0,12944238000.0
2082.0,4262343700.0,22373376000.0,13664736000.0,17612370000.0,10140621000.0,9218195000.0,13245302000.0,12810753000.0
2083.0,4043264000.0,22082587000.0,13842561000.0,16991704000.0,9851504000.0,8679735000.0,12615507000.0,12882055000.0
2084.0,3744896000.0,21790704000.0,13699120000.0,16686976000.0,9896552000.0,8188138000.0,12492240000.0,12338429000.0
2085.0,3703764000.0,20679719000.0,13155942000.0,16323211000.0,9732877000.0,8264488400.0,11939042000.0,12252846000.0
