time,CCSM4,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0
2001.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0
2002.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0
2003.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0
2004.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0
2005.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0
2006.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0
2007.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0
2008.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0
2009.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0
