time,CSIRO-MK3-6-0,CCSM4,NORESM1-M,GFDL-ESM2G,GISS-E2-R,IPSL-CM5A-LR,CESM1-CAM5,GFDL-CM3
2000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0
2001.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0
2002.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0
2003.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0
2004.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0
2005.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0
2006.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0
2007.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0
2008.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0
2009.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0
2010.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0
2011.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0
2012.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0
2013.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0
2014.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0
2015.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0
2016.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0
2017.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0
2018.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0
2019.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0
2020.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0
2021.0,3076807500000.0,3055033300000.0,3093156300000.0,3081314500000.0,3087667800000.0,3082396000000.0,3073119600000.0,3040036800000.0
2022.0,3064031300000.0,3040358200000.0,3070553500000.0,3060199000000.0,3073665000000.0,3067823000000.0,3048770600000.0,2996346000000.0
2023.0,3051471000000.0,3026204500000.0,3053050700000.0,3058272800000.0,3053008200000.0,3057973000000.0,3025418000000.0,2953206300000.0
2024.0,3040990700000.0,2986916000000.0,3034871000000.0,3043383000000.0,3048957300000.0,3037304000000.0,3003421600000.0,2903917700000.0
2025.0,3023115000000.0,2971291400000.0,3014211700000.0,3019691300000.0,3023853000000.0,3018451800000.0,2988736200000.0,2846832200000.0
2026.0,2995319200000.0,2953193000000.0,2982502000000.0,2982124200000.0,3000513600000.0,3008264400000.0,2971285300000.0,2784274000000.0
2027.0,2972580000000.0,2949386000000.0,2960399300000.0,2943923000000.0,2967342200000.0,2981896400000.0,2958391800000.0,2714684400000.0
2028.0,2935476500000.0,2922056800000.0,2932335000000.0,2909837000000.0,2950687400000.0,2954542400000.0,2945432400000.0,2661805500000.0
2029.0,2923670000000.0,2912115200000.0,2895395000000.0,2907677700000.0,2941206100000.0,2932287000000.0,2919294600000.0,2602435300000.0
2030.0,2915983200000.0,2902456300000.0,2873146500000.0,2872275600000.0,2915121800000.0,2905074600000.0,2883766500000.0,2552801800000.0
2031.0,2885937500000.0,2904808000000.0,2860768000000.0,2859096000000.0,2905793600000.0,2872767200000.0,2864567300000.0,2497501000000.0
2032.0,2856648200000.0,2899736800000.0,2848620300000.0,2870838800000.0,2888300200000.0,2846762700000.0,2858106700000.0,2445496500000.0
2033.0,2832752000000.0,2870433500000.0,2818939600000.0,2857236400000.0,2869674000000.0,2816277500000.0,2846331000000.0,2393622000000.0
2034.0,2809867800000.0,2840664200000.0,2794455800000.0,2818702300000.0,2856515800000.0,2790146200000.0,2817796300000.0,2342026000000.0
2035.0,2793716300000.0,2816471000000.0,2771914300000.0,2829363400000.0,2830758800000.0,2747767200000.0,2785780200000.0,2288733700000.0
2036.0,2778712000000.0,2793657300000.0,2746702400000.0,2819258300000.0,2800489300000.0,2712381400000.0,2760279300000.0,2234681000000.0
2037.0,2755978000000.0,2776801700000.0,2719284200000.0,2807476300000.0,2773679300000.0,2680560000000.0,2727885400000.0,2188280100000.0
2038.0,2729815600000.0,2741623800000.0,2704604000000.0,2785829000000.0,2741789000000.0,2644003000000.0,2709192000000.0,2128030200000.0
2039.0,2687814900000.0,2703644400000.0,2676605300000.0,2770851600000.0,2719848600000.0,2602253700000.0,2693220000000.0,2066023700000.0
2040.0,2666317500000.0,2669119300000.0,2637094000000.0,2768062000000.0,2686885300000.0,2556963600000.0,2676114000000.0,2011947000000.0
2041.0,2629552000000.0,2620940400000.0,2608171800000.0,2768163000000.0,2655885000000.0,2525661000000.0,2662921700000.0,1965156700000.0
2042.0,2612953400000.0,2594333300000.0,2573492300000.0,2737726000000.0,2630125400000.0,2494701500000.0,2626064700000.0,1915062800000.0
2043.0,2587295000000.0,2559431100000.0,2548394000000.0,2722076800000.0,2609291000000.0,2463016200000.0,2592752000000.0,1870282800000.0
2044.0,2560199800000.0,2552721000000.0,2514556000000.0,2703793800000.0,2599892800000.0,2422101500000.0,2552525800000.0,1807147000000.0
2045.0,2531009200000.0,2500861400000.0,2485843400000.0,2675837800000.0,2588664000000.0,2390362200000.0,2522412200000.0,1758070700000.0
2046.0,2494129200000.0,2473719800000.0,2457279000000.0,2662044300000.0,2557454800000.0,2357659700000.0,2508137200000.0,1708664000000.0
2047.0,2474275500000.0,2451473700000.0,2424077300000.0,2673445000000.0,2524966800000.0,2309633300000.0,2468791000000.0,1663416700000.0
2048.0,2457271300000.0,2421059700000.0,2401995000000.0,2656081800000.0,2503326300000.0,2266672100000.0,2441290000000.0,1612304700000.0
2049.0,2434673000000.0,2396381000000.0,2381918800000.0,2648239000000.0,2481279200000.0,2199534000000.0,2407961200000.0,1559602100000.0
2050.0,2432097800000.0,2348256600000.0,2361066300000.0,2634769800000.0,2445373900000.0,2161803500000.0,2375085200000.0,1516753400000.0
2051.0,2408374300000.0,2318656000000.0,2330050200000.0,2643742000000.0,2415602200000.0,2131427300000.0,2345371000000.0,1473055400000.0
2052.0,2367876800000.0,2299208100000.0,2294231000000.0,2636110400000.0,2405150800000.0,2095680800000.0,2328646600000.0,1421842700000.0
2053.0,2329852200000.0,2275250500000.0,2276383500000.0,2606747600000.0,2388481300000.0,2060827200000.0,2300072400000.0,1378965500000.0
2054.0,2289905400000.0,2235573500000.0,2246582000000.0,2563772500000.0,2368448800000.0,2020901000000.0,2270348200000.0,1335190500000.0
2055.0,2253309600000.0,2206222000000.0,2211572400000.0,2519141000000.0,2343844200000.0,1982137200000.0,2261657600000.0,1286781100000.0
2056.0,2226284000000.0,2186508900000.0,2173417000000.0,2507286200000.0,2315597400000.0,1942569200000.0,2264231600000.0,1239128200000.0
2057.0,2176199600000.0,2154293600000.0,2144073700000.0,2477466000000.0,2280906300000.0,1902667800000.0,2243692900000.0,1194091900000.0
2058.0,2146880000000.0,2121574900000.0,2112039400000.0,2431407400000.0,2258614600000.0,1875363800000.0,2209728700000.0,1149739900000.0
2059.0,2128665800000.0,2090709000000.0,2095644000000.0,2403682000000.0,2246639600000.0,1850763800000.0,2207791700000.0,1108847500000.0
2060.0,2088306900000.0,2053676500000.0,2066846300000.0,2347251500000.0,2221411000000.0,1826204200000.0,2197337400000.0,1071829300000.0
2061.0,2040939800000.0,2023006100000.0,2051350100000.0,2295626000000.0,2199884100000.0,1797618500000.0,2163090000000.0,1027813600000.0
2062.0,1998834800000.0,1999873900000.0,2029002400000.0,2269762000000.0,2173740000000.0,1773136600000.0,2117702800000.0,992427100000.0
2063.0,1959736100000.0,1977959000000.0,1998436200000.0,2235217000000.0,2147491800000.0,1739840700000.0,2091219000000.0,949284630000.0
2064.0,1917726900000.0,1952241400000.0,1972856300000.0,2207747700000.0,2119222000000.0,1710465400000.0,2073141400000.0,910960160000.0
2065.0,1886748500000.0,1924857200000.0,1952643300000.0,2187805300000.0,2096533100000.0,1678028300000.0,2044299300000.0,876776000000.0
2066.0,1863401200000.0,1897625600000.0,1929416500000.0,2156820700000.0,2083160500000.0,1647708700000.0,2010380400000.0,847529300000.0
2067.0,1838950800000.0,1862428500000.0,1888118200000.0,2105437000000.0,2068269900000.0,1616884800000.0,1980015600000.0,814545040000.0
2068.0,1785675900000.0,1823561900000.0,1871544500000.0,2081217700000.0,2046166200000.0,1587748400000.0,1954990100000.0,781913800000.0
2069.0,1764189400000.0,1787422000000.0,1833121300000.0,2041629800000.0,2030075400000.0,1555786900000.0,1921776900000.0,757431100000.0
2070.0,1720036600000.0,1755564300000.0,1802686600000.0,1994057300000.0,2003411300000.0,1523174700000.0,1883863100000.0,723906000000.0
2071.0,1667517600000.0,1727894900000.0,1769852400000.0,1964278800000.0,1986750000000.0,1499409000000.0,1854979300000.0,699016940000.0
2072.0,1642995100000.0,1692726700000.0,1732949300000.0,1925936300000.0,1968520400000.0,1465249000000.0,1823931000000.0,670843540000.0
2073.0,1625043800000.0,1652683000000.0,1698485800000.0,1889964000000.0,1951881900000.0,1439784600000.0,1801826000000.0,646611140000.0
2074.0,1591984400000.0,1623406800000.0,1672359600000.0,1874497000000.0,1931748700000.0,1409756200000.0,1769248700000.0,623959100000.0
2075.0,1554657200000.0,1589922200000.0,1631643900000.0,1841617600000.0,1912371000000.0,1376312200000.0,1726360500000.0,598755440000.0
2076.0,1517570800000.0,1550037200000.0,1577060700000.0,1814529000000.0,1885678100000.0,1336529800000.0,1678960400000.0,574436000000.0
2077.0,1487498100000.0,1525871800000.0,1554408900000.0,1775631100000.0,1861791300000.0,1312002500000.0,1638925300000.0,548284400000.0
2078.0,1448454400000.0,1499928300000.0,1532654500000.0,1750618600000.0,1843759400000.0,1276477800000.0,1615181600000.0,530189400000.0
2079.0,1413617500000.0,1474543400000.0,1501025400000.0,1710173800000.0,1830300300000.0,1245170400000.0,1589140500000.0,510496700000.0
2080.0,1390769000000.0,1450469000000.0,1472943800000.0,1664343000000.0,1800416500000.0,1213044900000.0,1538972300000.0,490690870000.0
2081.0,1355072100000.0,1417216000000.0,1440143400000.0,1630687600000.0,1775550900000.0,1182323300000.0,1493982500000.0,473477120000.0
2082.0,1323901800000.0,1379756100000.0,1417073500000.0,1602219400000.0,1748910200000.0,1155484100000.0,1457135000000.0,457253300000.0
2083.0,1296210500000.0,1353366500000.0,1392833500000.0,1568807600000.0,1724487300000.0,1129735800000.0,1433525600000.0,439169480000.0
2084.0,1278040900000.0,1325167300000.0,1367299200000.0,1534022000000.0,1697251200000.0,1097747600000.0,1404394300000.0,423366230000.0
2085.0,1255185200000.0,1290533900000.0,1345697500000.0,1508643000000.0,1664002000000.0,1076046460000.0,1364559800000.0,406155920000.0
2086.0,1230265000000.0,1269424000000.0,1319191400000.0,1487703000000.0,1632013100000.0,1046683200000.0,1329110500000.0,390705280000.0
2087.0,1210627100000.0,1248445000000.0,1282532800000.0,1467026500000.0,1612412600000.0,1022102600000.0,1304268100000.0,375968700000.0
2088.0,1183668500000.0,1224439200000.0,1253477700000.0,1445223200000.0,1588396400000.0,997042200000.0,1274647200000.0,361458660000.0
2089.0,1156777400000.0,1212859200000.0,1233737100000.0,1419462300000.0,1566076200000.0,971620700000.0,1242480500000.0,348412580000.0
2090.0,1126953400000.0,1184956700000.0,1204955500000.0,1396641200000.0,1537188300000.0,941598970000.0,1204623900000.0,334438700000.0
2091.0,1096203300000.0,1157038100000.0,1174267800000.0,1363468600000.0,1514768200000.0,916531900000.0,1183908400000.0,321616900000.0
2092.0,1072331160000.0,1132103200000.0,1151873400000.0,1349893900000.0,1484734700000.0,887688660000.0,1157781400000.0,309965780000.0
2093.0,1049653900000.0,1112072800000.0,1131783800000.0,1335038700000.0,1462000700000.0,855773350000.0,1126965000000.0,294510100000.0
2094.0,1033569240000.0,1092771450000.0,1109735000000.0,1293809600000.0,1450983200000.0,830025300000.0,1103199900000.0,280624700000.0
2095.0,1007643070000.0,1071890200000.0,1081050860000.0,1287854400000.0,1430121900000.0,805046200000.0,1079464300000.0,268324860000.0
2096.0,983754900000.0,1051639150000.0,1056127800000.0,1288642800000.0,1411879900000.0,782232900000.0,1040633500000.0,256816680000.0
2097.0,965518000000.0,1034307600000.0,1031805600000.0,1279364000000.0,1390215200000.0,760460540000.0,999711970000.0,245503080000.0
2098.0,944031000000.0,1016431000000.0,1002410600000.0,1263236000000.0,1364550100000.0,743639200000.0,968413350000.0,235841850000.0
2099.0,927268860000.0,1000569300000.0,976165300000.0,1244072600000.0,1339848400000.0,721928650000.0,948708300000.0,225291650000.0
2100.0,900880200000.0,988692300000.0,951269700000.0,1225557700000.0,1319869100000.0,700263100000.0,923347800000.0,215600600000.0
