time,CESM1-CAM5,CCSM4,IPSL-CM5A-LR,CANESM2,NORESM1-M,CNRM-CM5,MPI-ESM-LR,GFDL-CM3,GFDL-ESM2G,GISS-E2-R,CSIRO-MK3-6-0
2000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0,2879639000000.0
2001.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0,2863042400000.0
2002.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0,2843442000000.0
2003.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0,2831192200000.0
2004.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0,2841328200000.0
2005.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0,2837937000000.0
2006.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0,2844656000000.0
2007.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0,2843355400000.0
2008.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0,2820618600000.0
2009.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0,2818957600000.0
2010.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0,2809623500000.0
2011.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0,2823182000000.0
2012.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0,2812761000000.0
2013.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0,2795668800000.0
2014.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0,2783367400000.0
2015.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0,2784162000000.0
2016.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0,2806699300000.0
2017.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0,2784417300000.0
2018.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0,2783591000000.0
2019.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0,2770726300000.0
2020.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0,2775568400000.0
2021.0,2737724200000.0,2769122000000.0,2758696200000.0,2787864700000.0,2749833200000.0,2767599400000.0,2759484000000.0,2748199700000.0,2734866000000.0,2759855400000.0,2758456400000.0
2022.0,2741187400000.0,2739819200000.0,2728120000000.0,2775229700000.0,2736105500000.0,2730934700000.0,2757489600000.0,2726485300000.0,2728454800000.0,2749449000000.0,2734237000000.0
2023.0,2716597700000.0,2736396000000.0,2711078600000.0,2742450000000.0,2713434000000.0,2704188600000.0,2732107000000.0,2697797300000.0,2714757800000.0,2740810000000.0,2716996200000.0
2024.0,2706942700000.0,2731702200000.0,2707747500000.0,2738171200000.0,2707818500000.0,2693894500000.0,2711314500000.0,2666747100000.0,2707776300000.0,2734918700000.0,2693699700000.0
2025.0,2719012400000.0,2714718400000.0,2668171400000.0,2716546000000.0,2665080200000.0,2682519800000.0,2694838500000.0,2640489200000.0,2687592800000.0,2724388700000.0,2697813600000.0
2026.0,2721398400000.0,2718356200000.0,2660234000000.0,2670915500000.0,2647198300000.0,2679146800000.0,2694628500000.0,2610242300000.0,2673526200000.0,2700712600000.0,2674310500000.0
2027.0,2694006000000.0,2695761800000.0,2665476500000.0,2638134000000.0,2617808800000.0,2671065700000.0,2683576300000.0,2595265700000.0,2657435500000.0,2684729000000.0,2648864500000.0
2028.0,2672396600000.0,2687539000000.0,2642570600000.0,2592609400000.0,2593926400000.0,2639771000000.0,2656527000000.0,2591302400000.0,2668895000000.0,2667185400000.0,2619369600000.0
2029.0,2659010500000.0,2663448300000.0,2609517400000.0,2568249700000.0,2587120400000.0,2605037000000.0,2637477700000.0,2559144000000.0,2650055600000.0,2656063700000.0,2597173600000.0
2030.0,2647080800000.0,2652785000000.0,2597092900000.0,2562830000000.0,2571579000000.0,2580762600000.0,2636464500000.0,2516878600000.0,2632883000000.0,2636917800000.0,2577537000000.0
2031.0,2657355600000.0,2661249700000.0,2557128200000.0,2537259300000.0,2553345700000.0,2563246700000.0,2625065000000.0,2477886000000.0,2605599700000.0,2624846600000.0,2561129800000.0
2032.0,2640606000000.0,2649168000000.0,2517147300000.0,2509858700000.0,2534958200000.0,2542303000000.0,2609653200000.0,2428643300000.0,2596195500000.0,2605695600000.0,2537903000000.0
2033.0,2637347200000.0,2658183200000.0,2489985300000.0,2491811000000.0,2503889400000.0,2527414000000.0,2590011600000.0,2387882000000.0,2583582000000.0,2582920300000.0,2527185300000.0
2034.0,2628655500000.0,2617573000000.0,2458934600000.0,2464741600000.0,2469594000000.0,2503316900000.0,2597834700000.0,2358171400000.0,2580523800000.0,2568049000000.0,2504968000000.0
2035.0,2600224400000.0,2597543000000.0,2444523500000.0,2442550000000.0,2436910800000.0,2472153400000.0,2575024300000.0,2323915200000.0,2570255900000.0,2567815300000.0,2476167400000.0
2036.0,2594138200000.0,2587024000000.0,2393377000000.0,2398090200000.0,2407885400000.0,2451900200000.0,2536739000000.0,2289984900000.0,2567901500000.0,2541512000000.0,2456328300000.0
2037.0,2569860300000.0,2571938000000.0,2346889500000.0,2359962400000.0,2406152400000.0,2418620200000.0,2513121800000.0,2258975600000.0,2546902800000.0,2530095400000.0,2435060000000.0
2038.0,2559922000000.0,2546048400000.0,2309712200000.0,2359452800000.0,2384096400000.0,2399974700000.0,2511777800000.0,2231723600000.0,2527271300000.0,2509198300000.0,2437807300000.0
2039.0,2529677800000.0,2525202500000.0,2281460700000.0,2324342000000.0,2348885000000.0,2389146900000.0,2489421100000.0,2190977700000.0,2511547000000.0,2489117800000.0,2428298900000.0
2040.0,2531474300000.0,2496295300000.0,2252211500000.0,2281525500000.0,2341342000000.0,2354664000000.0,2465737500000.0,2151774600000.0,2472273200000.0,2467208400000.0,2404696700000.0
2041.0,2506391300000.0,2479240000000.0,2217868500000.0,2262992200000.0,2317734600000.0,2325969400000.0,2418314600000.0,2123627000000.0,2451543400000.0,2452887700000.0,2381935500000.0
2042.0,2475130400000.0,2452450200000.0,2193769900000.0,2220070000000.0,2282846700000.0,2313808500000.0,2378860000000.0,2093404800000.0,2436958300000.0,2435157300000.0,2342344000000.0
2043.0,2439371600000.0,2424437700000.0,2179818700000.0,2205537000000.0,2253861700000.0,2290762000000.0,2353291000000.0,2050378300000.0,2419910000000.0,2410925000000.0,2319129800000.0
2044.0,2409544500000.0,2409545900000.0,2130005200000.0,2186789500000.0,2241597000000.0,2286510100000.0,2350842600000.0,2016270600000.0,2389211600000.0,2391615700000.0,2285590800000.0
2045.0,2387092400000.0,2401696500000.0,2097788100000.0,2141802600000.0,2211529400000.0,2269242500000.0,2318912500000.0,1997833100000.0,2367005700000.0,2369631600000.0,2261495800000.0
2046.0,2351220400000.0,2385750300000.0,2064081200000.0,2095470000000.0,2199901700000.0,2247058000000.0,2276397400000.0,1961394600000.0,2336699400000.0,2355852200000.0,2227825500000.0
2047.0,2334585300000.0,2345663000000.0,2016577700000.0,2079256000000.0,2161983600000.0,2226919600000.0,2243668500000.0,1912411000000.0,2307365500000.0,2336908600000.0,2191237600000.0
2048.0,2334654000000.0,2322012300000.0,1996492000000.0,2049114900000.0,2119406300000.0,2207638000000.0,2219215400000.0,1860367800000.0,2295203400000.0,2321309000000.0,2163281900000.0
2049.0,2299444300000.0,2305425400000.0,1970688100000.0,2009328600000.0,2099755600000.0,2168863900000.0,2190041300000.0,1814154700000.0,2273931000000.0,2271469600000.0,2136024200000.0
2050.0,2263350800000.0,2279038800000.0,1940582600000.0,1979141600000.0,2053889000000.0,2151178800000.0,2160934000000.0,1771920800000.0,2256174800000.0,2243481800000.0,2110882800000.0
2051.0,2251462300000.0,2253361000000.0,1911534000000.0,1933993400000.0,2022823600000.0,2119725400000.0,2124656500000.0,1746202400000.0,2234424800000.0,2206906200000.0,2088072600000.0
2052.0,2236835400000.0,2234047500000.0,1873683200000.0,1918528400000.0,1989636300000.0,2094832800000.0,2102164000000.0,1699783000000.0,2201040700000.0,2168521500000.0,2076488400000.0
2053.0,2217245100000.0,2229762300000.0,1847377700000.0,1867910600000.0,1960686400000.0,2072989100000.0,2080326200000.0,1657327300000.0,2175296200000.0,2146029900000.0,2045876100000.0
2054.0,2189735600000.0,2225132000000.0,1818201000000.0,1849164800000.0,1946277000000.0,2055447400000.0,2045620000000.0,1614070800000.0,2162093500000.0,2119420200000.0,2029940600000.0
2055.0,2168615700000.0,2220287600000.0,1788425900000.0,1797744800000.0,1920363900000.0,2022493300000.0,2025886600000.0,1560661200000.0,2157395700000.0,2099800600000.0,2010668500000.0
2056.0,2160836900000.0,2196136900000.0,1755191700000.0,1754815100000.0,1899449700000.0,2001363100000.0,1997830600000.0,1516893800000.0,2147673800000.0,2074862700000.0,1968400200000.0
2057.0,2131174100000.0,2171706000000.0,1720917700000.0,1727028700000.0,1878276700000.0,1980139200000.0,1967156000000.0,1474927500000.0,2125612700000.0,2055692400000.0,1925695700000.0
2058.0,2106458500000.0,2154569100000.0,1684770800000.0,1699643000000.0,1856715400000.0,1968730800000.0,1930569300000.0,1439763800000.0,2097809500000.0,2025968000000.0,1894560200000.0
2059.0,2082238500000.0,2134767600000.0,1670936500000.0,1662066100000.0,1837505600000.0,1935940500000.0,1912062300000.0,1392257300000.0,2094934100000.0,2006644200000.0,1859763600000.0
2060.0,2049528700000.0,2113495000000.0,1635586300000.0,1650485900000.0,1822078900000.0,1898951300000.0,1873868000000.0,1340929100000.0,2056845400000.0,1990872900000.0,1836481200000.0
2061.0,2035094100000.0,2089110700000.0,1598810500000.0,1631458400000.0,1811367600000.0,1865078500000.0,1847892200000.0,1301540600000.0,2032235200000.0,1956730000000.0,1829188700000.0
2062.0,2013300900000.0,2074360200000.0,1570230500000.0,1594633700000.0,1798825800000.0,1846874600000.0,1825606100000.0,1253208500000.0,2028842300000.0,1919900000000.0,1790414800000.0
2063.0,1962001400000.0,2046761400000.0,1551724000000.0,1556705700000.0,1775343200000.0,1838047600000.0,1803873700000.0,1213878400000.0,2007531800000.0,1902034700000.0,1754951800000.0
2064.0,1931396800000.0,2027910700000.0,1525473000000.0,1515666500000.0,1755928500000.0,1818884000000.0,1783214100000.0,1168287500000.0,1974263000000.0,1881335500000.0,1731211800000.0
2065.0,1910111100000.0,2007961300000.0,1487581900000.0,1487678500000.0,1723614600000.0,1818386100000.0,1766960700000.0,1125103300000.0,1964956300000.0,1861767400000.0,1703809300000.0
2066.0,1894339200000.0,1983365400000.0,1456437700000.0,1454418300000.0,1696614700000.0,1813366300000.0,1738232200000.0,1080731960000.0,1947279300000.0,1832968500000.0,1672133700000.0
2067.0,1875083700000.0,1956225200000.0,1427409900000.0,1431215500000.0,1681536200000.0,1778613900000.0,1723233300000.0,1032162250000.0,1938068500000.0,1814663800000.0,1653934300000.0
2068.0,1861969100000.0,1944634500000.0,1403266100000.0,1403751800000.0,1660197300000.0,1767049800000.0,1692502000000.0,989933540000.0,1942192800000.0,1793826400000.0,1619309800000.0
2069.0,1846839500000.0,1935973000000.0,1375585300000.0,1372454800000.0,1622751400000.0,1740404600000.0,1672389000000.0,948639560000.0,1919442600000.0,1775438800000.0,1597186000000.0
2070.0,1823326200000.0,1911766600000.0,1362839900000.0,1348711500000.0,1603804100000.0,1714398200000.0,1668339900000.0,914955100000.0,1908228800000.0,1755357000000.0,1571403600000.0
2071.0,1808627800000.0,1899486100000.0,1345623000000.0,1324243600000.0,1586698000000.0,1703910400000.0,1652135400000.0,883030800000.0,1905565600000.0,1744165500000.0,1564295000000.0
2072.0,1793127500000.0,1892988000000.0,1316855200000.0,1302749800000.0,1574148100000.0,1693762000000.0,1617865700000.0,847419100000.0,1896948200000.0,1720635100000.0,1529163200000.0
