time,MPI-ESM-LR,IPSL-CM5A-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,CANESM2
2000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0
2001.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0
2002.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0
2003.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0
2004.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0
2005.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0
2006.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0
2007.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0
2008.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0
2009.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0
2010.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0
