time,GFDL-CM3,GFDL-ESM2G,MPI-ESM-LR,IPSL-CM5A-LR,NORESM1-M,CCSM4,CSIRO-MK3-6-0,GISS-E2-R,CANESM2,CNRM-CM5
2000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0
2001.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0
2002.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0
2003.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0
2004.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0
2005.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0
2006.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0
2007.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0
2008.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0
2009.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0
2010.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0
2011.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0
2012.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0
2013.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0
2014.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0
2015.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0
2016.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0
2017.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0
2018.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0
2019.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0
2020.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0
2021.0,722082600000.0,723554700000.0,722835200000.0,716608440000.0,729091800000.0,720529400000.0,717910700000.0,724096500000.0,710746640000.0,720444600000.0
2022.0,711682100000.0,707869000000.0,707878300000.0,703664100000.0,712906600000.0,703012300000.0,710120960000.0,701856350000.0,701275200000.0,708010250000.0
2023.0,692225400000.0,696347400000.0,688568900000.0,691622250000.0,697056760000.0,684977000000.0,699493450000.0,685709460000.0,696391960000.0,697917300000.0
2024.0,663650600000.0,676908040000.0,668778300000.0,666667300000.0,684996200000.0,664590400000.0,694661740000.0,688930950000.0,679778200000.0,692358550000.0
2025.0,644318360000.0,667075740000.0,650819600000.0,661065900000.0,668139650000.0,649286700000.0,684264260000.0,678792400000.0,661400100000.0,688688900000.0
2026.0,617131740000.0,649841400000.0,633915000000.0,650552800000.0,659840240000.0,635764740000.0,669138800000.0,673646440000.0,649967570000.0,669970400000.0
2027.0,601029740000.0,639781100000.0,618473700000.0,640910560000.0,642215500000.0,627967200000.0,661321000000.0,663442550000.0,625801040000.0,654055900000.0
2028.0,585089300000.0,627203900000.0,603959800000.0,628331600000.0,628879300000.0,614535000000.0,660423640000.0,639187800000.0,618986730000.0,646956300000.0
2029.0,562912000000.0,621361800000.0,585821300000.0,608802600000.0,611702400000.0,597994770000.0,643981640000.0,620871200000.0,608140800000.0,632446300000.0
2030.0,535850320000.0,611765800000.0,578757260000.0,594335100000.0,596072000000.0,585780760000.0,630781200000.0,609231960000.0,610347300000.0,616142100000.0
2031.0,513816100000.0,596644900000.0,582052740000.0,588526700000.0,581656640000.0,570986600000.0,641138700000.0,605106730000.0,582096060000.0,600024700000.0
2032.0,489889630000.0,600365000000.0,582043300000.0,569182900000.0,569128650000.0,552643000000.0,624235800000.0,592292500000.0,569943460000.0,580980440000.0
2033.0,461578960000.0,583453840000.0,574945300000.0,561180840000.0,551872200000.0,539765540000.0,609895100000.0,576031300000.0,554087000000.0,567594650000.0
2034.0,434409140000.0,572257900000.0,556810040000.0,546308500000.0,540308770000.0,524738600000.0,600337100000.0,562753630000.0,535144460000.0,560362800000.0
2035.0,410747370000.0,549391800000.0,544482330000.0,520386020000.0,527766520000.0,514349270000.0,580365200000.0,543382000000.0,516027420000.0,549075520000.0
2036.0,387127540000.0,539105200000.0,528548800000.0,502246700000.0,514592100000.0,502789900000.0,580114600000.0,526842430000.0,507355730000.0,540347900000.0
2037.0,370814680000.0,526479650000.0,517851500000.0,473438800000.0,501113000000.0,483148070000.0,572205900000.0,510541330000.0,505775720000.0,531838000000.0
2038.0,354426030000.0,514251460000.0,508018980000.0,457332160000.0,491830500000.0,465891500000.0,563677800000.0,490838130000.0,490022340000.0,518148300000.0
2039.0,333818500000.0,496370780000.0,493872970000.0,436026340000.0,475829100000.0,450619700000.0,542334350000.0,472497460000.0,469553740000.0,505569400000.0
2040.0,318891300000.0,491716200000.0,471920500000.0,412382130000.0,460498440000.0,440078300000.0,533894170000.0,463000140000.0,461176370000.0,485016200000.0
2041.0,300133420000.0,474613200000.0,456494200000.0,391610560000.0,449141600000.0,427319560000.0,517761270000.0,454474240000.0,454962900000.0,473050800000.0
2042.0,284463040000.0,462363400000.0,439770840000.0,374377900000.0,429337150000.0,415557000000.0,500398360000.0,437139100000.0,441292520000.0,457995030000.0
2043.0,269399130000.0,445997120000.0,426755900000.0,359882950000.0,415944700000.0,406033800000.0,476624160000.0,416548620000.0,431682880000.0,440715440000.0
2044.0,250088390000.0,432700800000.0,413431500000.0,349739550000.0,400418400000.0,388863950000.0,465290040000.0,403584200000.0,415952730000.0,421792100000.0
2045.0,232398050000.0,419538040000.0,403898070000.0,326050200000.0,387581700000.0,376776500000.0,464635430000.0,388967920000.0,398927860000.0,400427200000.0
2046.0,214740400000.0,410133950000.0,389111740000.0,311797300000.0,373113520000.0,363990580000.0,448672400000.0,372715850000.0,391427300000.0,391730720000.0
2047.0,199883980000.0,397808660000.0,375490380000.0,292939630000.0,356604100000.0,357249740000.0,438022140000.0,359809450000.0,382302060000.0,372968820000.0
2048.0,186187990000.0,386758050000.0,361733060000.0,279745950000.0,343260560000.0,348162000000.0,428644660000.0,346835450000.0,366207630000.0,358043220000.0
2049.0,172844800000.0,370209500000.0,347538620000.0,262299060000.0,328477100000.0,341779250000.0,415421600000.0,335866920000.0,346913050000.0,344091000000.0
2050.0,159169900000.0,351814420000.0,336103770000.0,246643700000.0,321395750000.0,332482640000.0,405781700000.0,321304460000.0,331999400000.0,333868100000.0
2051.0,153911200000.0,346766970000.0,322869850000.0,234552410000.0,306239080000.0,325416350000.0,430649570000.0,314358040000.0,317466570000.0,328931740000.0
