time,GFDL-CM3,NORESM1-M,CCSM4,CESM1-CAM5,IPSL-CM5A-LR,GISS-E2-R,GFDL-ESM2G,CSIRO-MK3-6-0
2000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,71006780000.0,72913630000.0,73650140000.0,69026490000.0,72221910000.0,73134120000.0,73703465000.0,73155674000.0
2022.0,68387353000.0,71378900000.0,70903210000.0,67779006000.0,71030620000.0,72432740000.0,72776810000.0,70971030000.0
2023.0,65103127000.0,68662600000.0,69896170000.0,68321505000.0,67447520000.0,70595920000.0,71233470000.0,67489743000.0
2024.0,63333315000.0,64868717000.0,69933770000.0,67342450000.0,64877990000.0,70250620000.0,69467775000.0,64982454000.0
2025.0,59200475000.0,61677294000.0,71067540000.0,65416370000.0,62962967000.0,68254634000.0,71415590000.0,61833250000.0
2026.0,54435086000.0,61180695000.0,69934710000.0,66251088000.0,60771240000.0,66662523000.0,72176710000.0,60567912000.0
2027.0,52464770000.0,58790146000.0,68189696000.0,63613860000.0,59899810000.0,66433970000.0,74452525000.0,58576744000.0
2028.0,49354790000.0,57524474000.0,68534362000.0,58928644000.0,57607496000.0,64978063000.0,72237890000.0,56190325000.0
2029.0,46693278000.0,57006907000.0,67603560000.0,57055597000.0,56565977000.0,64484614000.0,69267040000.0,54990440000.0
2030.0,43031390000.0,54420610000.0,67294410000.0,56668740000.0,54883574000.0,63792230000.0,70205160000.0,54443850000.0
2031.0,41744650000.0,53318197000.0,64515457000.0,54800490000.0,53058367000.0,61273092000.0,70282950000.0,54728868000.0
2032.0,38729474000.0,51891708000.0,62763598000.0,52483834000.0,52383375000.0,60564664000.0,67918184000.0,52009402000.0
2033.0,37083136000.0,52968686000.0,60678270000.0,49455640000.0,47900740000.0,60395010000.0,67716465000.0,51558162000.0
2034.0,35194896000.0,53547897000.0,60792746000.0,49832727000.0,46209640000.0,59005866000.0,66905723000.0,54367613000.0
2035.0,33507377000.0,52810154000.0,59876155000.0,50963665000.0,45166480000.0,57346060000.0,66217247000.0,54927254000.0
2036.0,31409290000.0,51746943000.0,57915130000.0,50252714000.0,44324684000.0,56094925000.0,63534480000.0,55245510000.0
2037.0,31757027000.0,53000413000.0,54510080000.0,49295270000.0,44619547000.0,53701080000.0,61775405000.0,50649485000.0
2038.0,30189658000.0,52421160000.0,54406558000.0,49389863000.0,42691170000.0,51093766000.0,59306040000.0,47478530000.0
2039.0,29039798000.0,51928097000.0,53233955000.0,47572267000.0,40138883000.0,49579418000.0,59057345000.0,44093407000.0
2040.0,26834670000.0,52793168000.0,49664053000.0,43714110000.0,40166728000.0,48932123000.0,57125433000.0,43435140000.0
2041.0,26976817000.0,53071100000.0,48657760000.0,41100680000.0,40454066000.0,48413168000.0,55677596000.0,44581327000.0
2042.0,25587413000.0,52767100000.0,48109890000.0,41414570000.0,38780800000.0,46982865000.0,55693226000.0,45041676000.0
2043.0,23644264000.0,51808220000.0,47571137000.0,40645080000.0,39031673000.0,46776844000.0,54013456000.0,43715666000.0
2044.0,23818183000.0,52189780000.0,46616166000.0,39123160000.0,37253173000.0,46285160000.0,52766237000.0,39924146000.0
2045.0,23384273000.0,51345240000.0,46592504000.0,37643313000.0,35648864000.0,45222250000.0,51934240000.0,38013157000.0
2046.0,22918818000.0,50487910000.0,45525594000.0,36340580000.0,33832462000.0,43526038000.0,51067695000.0,36706185000.0
2047.0,21912630000.0,49320180000.0,43352908000.0,36631044000.0,30187380000.0,42711925000.0,46208225000.0,33685127000.0
2048.0,21009609000.0,45349370000.0,42370390000.0,36017990000.0,27006690000.0,42405720000.0,44563320000.0,31559717000.0
2049.0,20211345000.0,41716370000.0,41592290000.0,34038317000.0,26567174000.0,40476300000.0,44771176000.0,29506000000.0
2050.0,19338040000.0,40508862000.0,40998180000.0,32031857000.0,25774189000.0,38275050000.0,44458287000.0,27356970000.0
2051.0,17898064000.0,40471794000.0,38185760000.0,30283727000.0,24746070000.0,37113844000.0,42749776000.0,24151886000.0
2052.0,17828469000.0,40303673000.0,35669130000.0,29848146000.0,23240760000.0,37692674000.0,39446487000.0,23235283000.0
2053.0,16758964000.0,38246072000.0,35456260000.0,30143113000.0,22613322000.0,36971070000.0,40688000000.0,22547150000.0
2054.0,15599508000.0,36911440000.0,34797620000.0,30065142000.0,21755552000.0,36640514000.0,40990260000.0,21879265000.0
2055.0,14745227000.0,36597070000.0,33131921000.0,28537004000.0,21429715000.0,35550605000.0,40959607000.0,20601053000.0
2056.0,13439502000.0,36516336000.0,32208796000.0,25778192000.0,22050839000.0,35731014000.0,40672387000.0,19821228000.0
2057.0,12995036000.0,35082895000.0,32077564000.0,25939421000.0,21982337000.0,34891014000.0,39186645000.0,18776699000.0
2058.0,12708379000.0,35090854000.0,32024175000.0,26457630000.0,22177534000.0,33820572000.0,39855080000.0,18481107000.0
2059.0,11973489000.0,34675864000.0,32008348000.0,24880155000.0,20921657000.0,33460050000.0,38440950000.0,18674067000.0
2060.0,11755792000.0,35259445000.0,31624452000.0,22353738000.0,20241537000.0,32340340000.0,37816360000.0,18732945000.0
2061.0,11467129000.0,32407353000.0,31158483000.0,22408528000.0,19989230000.0,32599378000.0,37201682000.0,17203048000.0
2062.0,11317326000.0,30339863000.0,31428070000.0,22191436000.0,19512728000.0,31526623000.0,36282098000.0,16593782000.0
2063.0,10634784000.0,30317760000.0,30636653000.0,21748201000.0,17879714000.0,30480402000.0,34532290000.0,16808258000.0
2064.0,10242570000.0,30749813000.0,29993167000.0,20892520000.0,16573797000.0,29680873000.0,34147254000.0,17274825000.0
2065.0,10084714000.0,29780433000.0,29923463000.0,19534803000.0,15495269000.0,29625110000.0,33889198000.0,17067831000.0
2066.0,10137217000.0,28721324000.0,30173340000.0,17770690000.0,15274781000.0,28956246000.0,32267010000.0,16358008000.0
2067.0,9423761000.0,28176790000.0,30086353000.0,17503205000.0,15229834000.0,27849208000.0,31038145000.0,15449127000.0
2068.0,9362285000.0,26252935000.0,28747330000.0,17391921000.0,15160900000.0,26657968000.0,29038125000.0,15526694000.0
2069.0,9275580000.0,25034328000.0,28094771000.0,16835126000.0,14063559000.0,25458356000.0,28315130000.0,14746757000.0
2070.0,8873270000.0,24040729000.0,27858104000.0,16009319000.0,14129134000.0,25026935000.0,27745716000.0,13379958000.0
2071.0,8905992000.0,23455360000.0,27750881000.0,16010939000.0,13279281000.0,24178323000.0,27512674000.0,13238825000.0
2072.0,8518904000.0,22799766000.0,27317731000.0,14971009000.0,12311358000.0,23058029000.0,26800187000.0,13446260000.0
2073.0,7781973000.0,22280000000.0,26872576000.0,13377600000.0,12355775000.0,22629212000.0,26404997000.0,12634210000.0
2074.0,7571560400.0,20992854000.0,25212520000.0,13697840000.0,12057034000.0,23010748000.0,25486230000.0,11520763000.0
2075.0,7197331500.0,20748028000.0,23512893000.0,13930556000.0,11942834000.0,22406370000.0,25020133000.0,10927780000.0
2076.0,6820322000.0,20828213000.0,23231408000.0,13548602000.0,12602722000.0,21430616000.0,24373422000.0,10522363000.0
2077.0,6584639000.0,19897790000.0,22983113000.0,12846007000.0,12491594000.0,21003424000.0,24553791000.0,10105002000.0
2078.0,6217199000.0,19427332000.0,22341728000.0,12226892000.0,12219562000.0,20177844000.0,23913554000.0,9013076000.0
2079.0,6030748000.0,20358638000.0,21391964000.0,11722150000.0,11879467000.0,19502477000.0,23698405000.0,8300017700.0
2080.0,5916799500.0,20555727000.0,20578144000.0,11841069000.0,10919318000.0,18880815000.0,22320798000.0,7807399000.0
2081.0,5784271400.0,20683082000.0,20275735000.0,11781133000.0,10056974000.0,18500923000.0,21917923000.0,7697364000.0
2082.0,5583645700.0,20811100000.0,19610638000.0,10935629000.0,9527368000.0,18421530000.0,21174465000.0,7413417000.0
2083.0,4923779000.0,20787245000.0,19596010000.0,9516113000.0,8645399000.0,18265043000.0,20641255000.0,6648205300.0
2084.0,4600739300.0,19804568000.0,19773536000.0,9694352000.0,8347623000.0,17498384000.0,20157387000.0,6289132000.0
2085.0,4464237000.0,17728885000.0,19263676000.0,9784538000.0,7982466600.0,16816512000.0,19217530000.0,5920863000.0
2086.0,4174619000.0,17017893000.0,18261540000.0,9535878000.0,8136388000.0,16395607000.0,18343174000.0,5405364700.0
2087.0,4166836200.0,17652595000.0,18383120000.0,9090486000.0,8075817500.0,15891226000.0,18052667000.0,5266083300.0
2088.0,4019832300.0,17393523000.0,17855146000.0,8641346000.0,7721510000.0,15472114000.0,17534454000.0,5730192400.0
2089.0,3760418000.0,16792983000.0,16924154000.0,8161613300.0,7499821000.0,15086958000.0,17161322000.0,5667488300.0
2090.0,3704154400.0,16000029000.0,16180846000.0,7750395000.0,7095309300.0,14456146000.0,16814719000.0,5415182300.0
2091.0,3590757400.0,15691972000.0,15906904000.0,6943598600.0,6753426400.0,14438506000.0,16457765000.0,5279146000.0
2092.0,3416713700.0,15448862000.0,15477371000.0,6798621700.0,5959220700.0,13826739000.0,15407010000.0,5200023000.0
2093.0,3328629800.0,14727422000.0,15657560000.0,7029752000.0,5848342500.0,13692144000.0,15048354000.0,5166609400.0
2094.0,3245802000.0,14113342000.0,15798621000.0,6895282700.0,6054595600.0,13932744000.0,14984455000.0,5034664000.0
2095.0,3173362400.0,13431299000.0,15344151000.0,6235821600.0,6330339000.0,13902642000.0,14575688000.0,4861095000.0
2096.0,3018045000.0,13598679000.0,15171443000.0,6237260000.0,6225498000.0,13545443000.0,13230850000.0,4692145700.0
2097.0,2937551400.0,13724363000.0,14860161000.0,6230157300.0,6239152600.0,13093984000.0,12264992000.0,4465016300.0
2098.0,2859964400.0,13923769000.0,14588880000.0,6294835700.0,6108134000.0,12568014000.0,12460173000.0,4658664400.0
2099.0,2820888000.0,13707127000.0,14462477000.0,6047145500.0,5541101600.0,11969409000.0,12251476000.0,4412866600.0
2100.0,2759320300.0,12904218000.0,14053354000.0,5726141400.0,5219251000.0,12195421000.0,12198940000.0,4212842500.0
