time,CSIRO-MK3-6-0,CNRM-CM5,CESM1-CAM5,GISS-E2-R,CANESM2,IPSL-CM5A-LR,GFDL-CM3,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CCSM4
2000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0
2001.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0
2002.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0
2003.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0
2004.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0
2005.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0
2006.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0
2007.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0
2008.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0
2009.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0
2010.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0
2011.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0
2012.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0
2013.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0
2014.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0
2015.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0
2016.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0
2017.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0
2018.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0
2019.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0
2020.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0
2021.0,4636025600000.0,4637148000000.0,4656035500000.0,4686937600000.0,4642322000000.0,4657844000000.0,4649205000000.0,4688006600000.0,4646468300000.0,4634098300000.0,4669556000000.0
2022.0,4617740000000.0,4629759300000.0,4628978000000.0,4674634000000.0,4625944500000.0,4610965000000.0,4627278300000.0,4668872000000.0,4623762500000.0,4599071600000.0,4640180500000.0
2023.0,4589158000000.0,4588118700000.0,4602257000000.0,4641960500000.0,4592712500000.0,4557260700000.0,4603810000000.0,4650491000000.0,4603595700000.0,4566513000000.0,4617579000000.0
2024.0,4545579600000.0,4589031000000.0,4590489600000.0,4621784000000.0,4542400300000.0,4525431700000.0,4580306000000.0,4630487000000.0,4598117400000.0,4540756000000.0,4599463000000.0
2025.0,4516826000000.0,4542282000000.0,4556312000000.0,4585738500000.0,4508020000000.0,4488887300000.0,4579894000000.0,4608404500000.0,4586704000000.0,4511214000000.0,4561225400000.0
2026.0,4475868700000.0,4504803600000.0,4486607700000.0,4571402000000.0,4476167500000.0,4438848000000.0,4554745000000.0,4571589500000.0,4570460700000.0,4488514500000.0,4545353600000.0
2027.0,4428971600000.0,4477650000000.0,4455828000000.0,4563416000000.0,4459926000000.0,4420336600000.0,4511931300000.0,4556252000000.0,4556026500000.0,4482974400000.0,4539758000000.0
2028.0,4404649400000.0,4452510600000.0,4426017300000.0,4553419000000.0,4459821300000.0,4383989300000.0,4476796000000.0,4521263000000.0,4535391600000.0,4462760000000.0,4525479000000.0
2029.0,4367011300000.0,4395435600000.0,4380925400000.0,4547050000000.0,4430566500000.0,4362993100000.0,4460456700000.0,4504571300000.0,4496784000000.0,4429894400000.0,4500797500000.0
2030.0,4328819000000.0,4377062700000.0,4321417600000.0,4533110400000.0,4389269100000.0,4346290600000.0,4448249700000.0,4492737600000.0,4458348500000.0,4418087000000.0,4440550500000.0
2031.0,4306795000000.0,4329203600000.0,4283316800000.0,4523417000000.0,4353747800000.0,4330972800000.0,4434231000000.0,4474167400000.0,4431204600000.0,4412610700000.0,4383275000000.0
2032.0,4266089800000.0,4275664600000.0,4247057600000.0,4494333000000.0,4328007400000.0,4315159700000.0,4431437000000.0,4438899600000.0,4397299700000.0,4388239000000.0,4365557000000.0
2033.0,4256894300000.0,4251862700000.0,4217620400000.0,4468947000000.0,4300321000000.0,4277491200000.0,4421192000000.0,4406904000000.0,4348408200000.0,4352854200000.0,4358762000000.0
2034.0,4221837000000.0,4232029100000.0,4181737900000.0,4454805000000.0,4270546000000.0,4244938200000.0,4398200700000.0,4406789500000.0,4327084700000.0,4339038700000.0,4335744000000.0
2035.0,4185871000000.0,4199476600000.0,4156405000000.0,4447198000000.0,4226626000000.0,4207646900000.0,4390646400000.0,4396651400000.0,4309922300000.0,4328830000000.0,4321465600000.0
2036.0,4160904200000.0,4171501000000.0,4138724500000.0,4407201000000.0,4173854700000.0,4195113500000.0,4359470200000.0,4365274800000.0,4286675200000.0,4298866700000.0,4307211300000.0
2037.0,4151971400000.0,4122299300000.0,4111371900000.0,4375295300000.0,4153985000000.0,4192739300000.0,4333898300000.0,4353870500000.0,4283929000000.0,4272410600000.0,4244399500000.0
2038.0,4118272300000.0,4108508000000.0,4081366000000.0,4360419700000.0,4109837000000.0,4176673200000.0,4320327400000.0,4333370000000.0,4283263000000.0,4251825000000.0,4211427200000.0
2039.0,4080348200000.0,4101881500000.0,4056210000000.0,4320988500000.0,4065670000000.0,4154550400000.0,4310797400000.0,4319656300000.0,4280126800000.0,4235547000000.0,4188556800000.0
2040.0,4040380000000.0,4074401000000.0,4026536800000.0,4284754200000.0,4049904000000.0,4104103700000.0,4304511200000.0,4299113000000.0,4260707000000.0,4214842000000.0,4160417400000.0
2041.0,4002866300000.0,4049266300000.0,4013729000000.0,4256918000000.0,4012602600000.0,4103641500000.0,4294238300000.0,4286611500000.0,4219575000000.0,4192526700000.0,4120096300000.0
2042.0,3969846300000.0,4029690700000.0,3986874200000.0,4231565700000.0,3976467300000.0,4095498000000.0,4260191000000.0,4294421000000.0,4171882300000.0,4177331200000.0,4122644600000.0
2043.0,3933049000000.0,4005520500000.0,3969536800000.0,4208953400000.0,3951799300000.0,4082695700000.0,4224121600000.0,4300585000000.0,4133938800000.0,4161341800000.0,4100318600000.0
2044.0,3907424000000.0,3985347200000.0,3963680000000.0,4185861700000.0,3889628000000.0,4075798100000.0,4195846200000.0,4290311600000.0,4101575000000.0,4130608800000.0,4063472600000.0
2045.0,3876980000000.0,3968193800000.0,3966163700000.0,4165012600000.0,3872085000000.0,4072543000000.0,4181109200000.0,4287715600000.0,4078895600000.0,4093390400000.0,4023025700000.0
2046.0,3857016700000.0,3955557700000.0,3942400700000.0,4157440000000.0,3833102300000.0,4059569300000.0,4167370500000.0,4278100700000.0,4053522400000.0,4057084200000.0,3998749600000.0
2047.0,3833836900000.0,3933915300000.0,3926978700000.0,4143504700000.0,3808088600000.0,4038267000000.0,4171817800000.0,4252170500000.0,4024647300000.0,4029575900000.0,3982957000000.0
2048.0,3809900500000.0,3889969800000.0,3902450400000.0,4107183600000.0,3745984000000.0,4016599200000.0,4141123400000.0,4239392800000.0,3995488200000.0,3991917000000.0,3973028200000.0
2049.0,3782012600000.0,3855143000000.0,3862985700000.0,4064091800000.0,3725289300000.0,3998386500000.0,4113823700000.0,4231085400000.0,3969230300000.0,3969974800000.0,3957328200000.0
2050.0,3749835000000.0,3825201000000.0,3835910400000.0,4065366000000.0,3683216300000.0,3976590800000.0,4099082300000.0,4231281200000.0,3954246400000.0,3946163700000.0,3945615900000.0
2051.0,3704975000000.0,3784916000000.0,3822267700000.0,4063700200000.0,3638502600000.0,3933492000000.0,4094419000000.0,4205372800000.0,3939648100000.0,3941227600000.0,3908625000000.0
2052.0,3684314000000.0,3760792000000.0,3788834600000.0,4060110400000.0,3602337000000.0,3915107300000.0,4082063000000.0,4193287000000.0,3925257500000.0,3927926600000.0,3891973000000.0
2053.0,3667666000000.0,3736666600000.0,3752339700000.0,4060869600000.0,3590501200000.0,3897466000000.0,4071265000000.0,4184905600000.0,3894979300000.0,3907209000000.0,3874971500000.0
2054.0,3628577800000.0,3697811400000.0,3748818000000.0,4040829400000.0,3554161700000.0,3882824000000.0,4073392400000.0,4189662500000.0,3869087000000.0,3890286400000.0,3865092600000.0
2055.0,3617858800000.0,3682236400000.0,3743554700000.0,4031710000000.0,3514066300000.0,3867920800000.0,4061583400000.0,4178632800000.0,3835902600000.0,3882108000000.0,3848785000000.0
2056.0,3592149800000.0,3667414200000.0,3717272200000.0,4006005000000.0,3495790400000.0,3837510300000.0,4050419400000.0,4164706000000.0,3829091800000.0,3868100700000.0,3841642000000.0
2057.0,3570654200000.0,3638073200000.0,3684221000000.0,3980477000000.0,3458995800000.0,3824047600000.0,4042097700000.0,4157364800000.0,3829168600000.0,3860054000000.0,3808422000000.0
2058.0,3559744300000.0,3610390600000.0,3666501400000.0,3959502400000.0,3431126800000.0,3818449300000.0,4020593000000.0,4149768400000.0,3831996400000.0,3852166500000.0,3786611000000.0
2059.0,3524663200000.0,3587381000000.0,3631941200000.0,3929090000000.0,3392430100000.0,3801111300000.0,4002124000000.0,4140871700000.0,3813580700000.0,3846482400000.0,3785867400000.0
2060.0,3513574800000.0,3556886400000.0,3593372200000.0,3906473800000.0,3380554200000.0,3785923800000.0,3998484500000.0,4132423300000.0,3785501200000.0,3840887500000.0,3776440200000.0
2061.0,3493945400000.0,3540358500000.0,3560388200000.0,3896648100000.0,3349093000000.0,3784571400000.0,3970747900000.0,4102293000000.0,3769104000000.0,3813088200000.0,3761183700000.0
2062.0,3483075000000.0,3501053000000.0,3535112800000.0,3867002300000.0,3318277500000.0,3779735000000.0,3965310500000.0,4088566400000.0,3773044400000.0,3792149700000.0,3730303600000.0
2063.0,3478508300000.0,3489861000000.0,3508785600000.0,3848657400000.0,3294370000000.0,3773194300000.0,3963730300000.0,4078814400000.0,3777284300000.0,3770000900000.0,3705586300000.0
2064.0,3464629800000.0,3468091700000.0,3492851200000.0,3818713800000.0,3282877300000.0,3756647500000.0,3940507500000.0,4068079800000.0,3757670700000.0,3743163000000.0,3714384400000.0
2065.0,3439342400000.0,3448661900000.0,3480404600000.0,3819419500000.0,3258538500000.0,3745713500000.0,3931170700000.0,4059817800000.0,3743414700000.0,3724619800000.0,3705295600000.0
2066.0,3419335000000.0,3427988000000.0,3447648700000.0,3811712200000.0,3239976400000.0,3735101600000.0,3912521000000.0,4057914400000.0,3722702500000.0,3701948000000.0,3685191000000.0
2067.0,3401793400000.0,3397039200000.0,3431221000000.0,3775481000000.0,3209133800000.0,3724270400000.0,3894860600000.0,4069468700000.0,3721436900000.0,3669448000000.0,3673279400000.0
2068.0,3383524900000.0,3384969000000.0,3418090400000.0,3753113300000.0,3166214300000.0,3714147200000.0,3890045800000.0,4053638600000.0,3721641900000.0,3638674000000.0,3684261400000.0
2069.0,3364141000000.0,3353891000000.0,3385448000000.0,3720641800000.0,3151185600000.0,3701930000000.0,3864083600000.0,4056058400000.0,3700495200000.0,3618463800000.0,3697367300000.0
2070.0,3356514800000.0,3331304200000.0,3363551000000.0,3712579000000.0,3129604000000.0,3692729700000.0,3854743000000.0,4056101200000.0,3674536000000.0,3598761300000.0,3689166700000.0
2071.0,3325031000000.0,3314679800000.0,3346563000000.0,3710299000000.0,3119804800000.0,3673933200000.0,3836392800000.0,4049036400000.0,3640996100000.0,3582294800000.0,3675475700000.0
2072.0,3312556200000.0,3304267200000.0,3329137600000.0,3680905500000.0,3108041000000.0,3654232300000.0,3821641000000.0,4071657000000.0,3631291800000.0,3571833000000.0,3651221600000.0
2073.0,3288489800000.0,3296101000000.0,3324323600000.0,3683903900000.0,3080800700000.0,3647087300000.0,3797997600000.0,4082957800000.0,3619336700000.0,3562396700000.0,3636221700000.0
2074.0,3275567400000.0,3278951400000.0,3298112600000.0,3680163000000.0,3053350000000.0,3633695000000.0,3788869700000.0,4076338400000.0,3613751000000.0,3554078400000.0,3639012200000.0
2075.0,3237739800000.0,3254278000000.0,3271737700000.0,3669822000000.0,3051387000000.0,3628617000000.0,3764373000000.0,4060323800000.0,3590375900000.0,3539770300000.0,3636881500000.0
