time,GISS-E2-R,CANESM2,CESM1-CAM5,CNRM-CM5,CSIRO-MK3-6-0,NORESM1-M,GFDL-ESM2G,GFDL-CM3,CCSM4,MPI-ESM-LR,IPSL-CM5A-LR
2000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0
2001.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0
2002.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0
2003.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0
2004.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0
2005.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0
2006.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0
2007.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0
2008.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0
2009.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0
2010.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0
2011.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0
2012.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0
2013.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0
2014.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0
2015.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0
2016.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0
2017.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0
2018.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0
2019.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0
2020.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0
2021.0,4659839000000.0,4666281000000.0,4682814600000.0,4650000400000.0,4646252000000.0,4658479000000.0,4659897000000.0,4657683400000.0,4662523000000.0,4664250600000.0,4661074500000.0
2022.0,4632802000000.0,4637518000000.0,4674940300000.0,4578062400000.0,4629987000000.0,4646365600000.0,4624474400000.0,4623698000000.0,4646670700000.0,4634994300000.0,4650596000000.0
2023.0,4606404000000.0,4586673000000.0,4652093400000.0,4547796300000.0,4582051000000.0,4628028600000.0,4593219000000.0,4619309000000.0,4613039000000.0,4596036500000.0,4614016500000.0
2024.0,4578775400000.0,4531265500000.0,4647717700000.0,4525502500000.0,4544209000000.0,4605736400000.0,4577637700000.0,4594834300000.0,4564805000000.0,4563951700000.0,4597870000000.0
2025.0,4566182500000.0,4494857000000.0,4622675600000.0,4496072600000.0,4507043000000.0,4575737000000.0,4535794300000.0,4566672000000.0,4546505500000.0,4553167000000.0,4563439500000.0
2026.0,4530620000000.0,4460567300000.0,4586408000000.0,4463905000000.0,4454885600000.0,4537459400000.0,4516025500000.0,4532863500000.0,4521254700000.0,4528029000000.0,4528574000000.0
2027.0,4486364400000.0,4421252500000.0,4564353300000.0,4418399000000.0,4429279400000.0,4522003000000.0,4482201600000.0,4500125000000.0,4505780000000.0,4506258000000.0,4504696700000.0
2028.0,4457647600000.0,4391382000000.0,4549303000000.0,4398019800000.0,4389225000000.0,4503313000000.0,4467219000000.0,4479884700000.0,4477815400000.0,4487231600000.0,4454574000000.0
2029.0,4410526700000.0,4342430800000.0,4504230600000.0,4385898500000.0,4372884400000.0,4468996000000.0,4430326400000.0,4471619000000.0,4454753000000.0,4464481700000.0,4424458600000.0
2030.0,4402179500000.0,4313220000000.0,4482542300000.0,4351361300000.0,4363052000000.0,4450701300000.0,4418916000000.0,4457260000000.0,4431864000000.0,4444240500000.0,4378766900000.0
2031.0,4382524700000.0,4296261200000.0,4414155000000.0,4309683800000.0,4343420400000.0,4422012000000.0,4414310400000.0,4417638600000.0,4396946600000.0,4424228000000.0,4346911400000.0
2032.0,4356268400000.0,4255778000000.0,4378071100000.0,4255379000000.0,4336398600000.0,4404803000000.0,4395508000000.0,4398640500000.0,4356105000000.0,4395860200000.0,4315457000000.0
2033.0,4334060000000.0,4228057100000.0,4363788000000.0,4213301000000.0,4298036500000.0,4391879800000.0,4355289800000.0,4377335800000.0,4317209700000.0,4358147400000.0,4287164300000.0
2034.0,4291291800000.0,4206177800000.0,4348829800000.0,4181395200000.0,4271999500000.0,4364258200000.0,4337286800000.0,4356535500000.0,4269595700000.0,4318905200000.0,4275880000000.0
2035.0,4263656300000.0,4164298200000.0,4329450200000.0,4157065700000.0,4234240600000.0,4326465700000.0,4328156000000.0,4321772600000.0,4236873300000.0,4290989500000.0,4279614600000.0
2036.0,4227848500000.0,4136615800000.0,4293281000000.0,4086978000000.0,4209324600000.0,4323715600000.0,4313186300000.0,4299787600000.0,4180978200000.0,4267432200000.0,4265499400000.0
2037.0,4204457400000.0,4098488800000.0,4253920000000.0,4039917000000.0,4143048300000.0,4290793700000.0,4286585200000.0,4291281600000.0,4158181000000.0,4233635800000.0,4217958300000.0
2038.0,4183662000000.0,4058371000000.0,4215932200000.0,4019756500000.0,4112901500000.0,4251004400000.0,4278162000000.0,4269245500000.0,4111624000000.0,4201874700000.0,4192023300000.0
2039.0,4142645600000.0,4002307000000.0,4180006400000.0,4003320600000.0,4084360800000.0,4201434800000.0,4268650000000.0,4250066000000.0,4084894000000.0,4149401000000.0,4153167000000.0
2040.0,4119899400000.0,3952668800000.0,4167072700000.0,3974672200000.0,4057711800000.0,4190639200000.0,4261032000000.0,4227878600000.0,4045297400000.0,4112270000000.0,4134180200000.0
2041.0,4096197000000.0,3923451000000.0,4157771600000.0,3946097400000.0,4029240000000.0,4141895400000.0,4264355700000.0,4202166700000.0,4006028000000.0,4098766000000.0,4114575800000.0
2042.0,4081030500000.0,3899879600000.0,4137752500000.0,3923355400000.0,4006500600000.0,4118065200000.0,4244405700000.0,4188076800000.0,3964724000000.0,4091564800000.0,4103062700000.0
2043.0,4061807800000.0,3881917500000.0,4114296600000.0,3894482300000.0,3976352800000.0,4102648500000.0,4231306700000.0,4152862700000.0,3930694600000.0,4070636300000.0,4067105700000.0
2044.0,4029884000000.0,3832278400000.0,4087726700000.0,3858814000000.0,3917181000000.0,4075932400000.0,4225528000000.0,4108733600000.0,3906301900000.0,4038446800000.0,4036862400000.0
2045.0,3998045700000.0,3811573200000.0,4055735000000.0,3811858000000.0,3899113000000.0,4035066700000.0,4210976600000.0,4074252800000.0,3874582400000.0,4004629000000.0,4002491400000.0
2046.0,3954916000000.0,3773422000000.0,4018369000000.0,3786766500000.0,3879000000000.0,3988464600000.0,4203260400000.0,4032376600000.0,3853545600000.0,3987366000000.0,3969714000000.0
2047.0,3923725000000.0,3748167700000.0,4001639400000.0,3767749800000.0,3859030000000.0,3981983400000.0,4182542600000.0,3983329700000.0,3820316300000.0,3974148000000.0,3953400700000.0
2048.0,3913780000000.0,3694730100000.0,3930220100000.0,3734020300000.0,3835523500000.0,3972464600000.0,4181848800000.0,3953122600000.0,3809841300000.0,3945057000000.0,3931831000000.0
2049.0,3880432400000.0,3667255600000.0,3900276700000.0,3716281300000.0,3822376200000.0,3963760700000.0,4152770200000.0,3912834000000.0,3800433400000.0,3932997800000.0,3905537400000.0
2050.0,3862223400000.0,3632006200000.0,3896630000000.0,3665788000000.0,3786351800000.0,3922749300000.0,4126645400000.0,3886826400000.0,3778206500000.0,3909065000000.0,3882680800000.0
2051.0,3817863400000.0,3604647200000.0,3869571300000.0,3636694400000.0,3758690100000.0,3894154000000.0,4106899000000.0,3865976500000.0,3763772000000.0,3889839700000.0,3849679800000.0
2052.0,3775277800000.0,3583013800000.0,3815024600000.0,3615214000000.0,3749932400000.0,3875085700000.0,4085756000000.0,3845055600000.0,3751203600000.0,3862049800000.0,3825815000000.0
2053.0,3755979800000.0,3545200900000.0,3790841600000.0,3597956500000.0,3714296000000.0,3836219000000.0,4085973500000.0,3821106000000.0,3715930800000.0,3842664800000.0,3802107500000.0
2054.0,3731814000000.0,3515226000000.0,3766411600000.0,3569481000000.0,3691665200000.0,3822906200000.0,4071710300000.0,3788092000000.0,3672200000000.0,3819650700000.0,3788280700000.0
2055.0,3701723000000.0,3481613000000.0,3752536000000.0,3548926700000.0,3651259600000.0,3811475200000.0,4055230000000.0,3741084300000.0,3647061000000.0,3804584200000.0,3776646200000.0
2056.0,3663232000000.0,3449065000000.0,3705954600000.0,3526905300000.0,3606780800000.0,3782329000000.0,4059363000000.0,3722322400000.0,3640465600000.0,3788046000000.0,3749663200000.0
2057.0,3648596700000.0,3421431400000.0,3684094000000.0,3499964200000.0,3563222500000.0,3763326200000.0,4038632700000.0,3700451000000.0,3625437400000.0,3767305000000.0,3729600300000.0
2058.0,3617213600000.0,3384191200000.0,3661645700000.0,3479440000000.0,3525976500000.0,3758783500000.0,4010639400000.0,3645421600000.0,3628096800000.0,3722787400000.0,3698908000000.0
2059.0,3592395000000.0,3348435800000.0,3648219800000.0,3443062200000.0,3478854000000.0,3739351500000.0,3998172800000.0,3632739600000.0,3615657000000.0,3691770300000.0,3663776400000.0
2060.0,3574064000000.0,3322344000000.0,3629762000000.0,3411505300000.0,3442434600000.0,3728493000000.0,3966978200000.0,3622956200000.0,3595911300000.0,3664129000000.0,3650169600000.0
2061.0,3549792300000.0,3287070000000.0,3578089400000.0,3386170000000.0,3383690300000.0,3700764200000.0,3948031800000.0,3624339200000.0,3572125100000.0,3653182400000.0,3632634000000.0
2062.0,3540134000000.0,3255824800000.0,3549270600000.0,3372682300000.0,3357506800000.0,3701560600000.0,3934366500000.0,3603969300000.0,3541448300000.0,3631840200000.0,3614557600000.0
2063.0,3511911700000.0,3222933300000.0,3523768500000.0,3361777400000.0,3334544300000.0,3692846600000.0,3932332200000.0,3569688500000.0,3503358700000.0,3625469000000.0,3585974700000.0
2064.0,3492310700000.0,3196999400000.0,3504432200000.0,3316051000000.0,3326561500000.0,3651205300000.0,3907887800000.0,3550480200000.0,3473306800000.0,3608227000000.0,3543562000000.0
2065.0,3470007700000.0,3171644600000.0,3479666000000.0,3275672300000.0,3324211600000.0,3624332400000.0,3897461300000.0,3537131500000.0,3444997000000.0,3582828700000.0,3531951800000.0
2066.0,3471443500000.0,3149817400000.0,3459236200000.0,3246096400000.0,3293077800000.0,3588500800000.0,3884887300000.0,3511639600000.0,3431411500000.0,3564998500000.0,3510235000000.0
2067.0,3457074600000.0,3121211800000.0,3429919400000.0,3236615200000.0,3254796400000.0,3573788700000.0,3892965000000.0,3501732400000.0,3401686200000.0,3546087700000.0,3509021000000.0
2068.0,3439506800000.0,3098924800000.0,3385465000000.0,3201956000000.0,3227687800000.0,3558242800000.0,3869320700000.0,3494912500000.0,3379623400000.0,3538313800000.0,3502502000000.0
2069.0,3404045500000.0,3076175000000.0,3341256200000.0,3172982000000.0,3202625000000.0,3547299600000.0,3839102300000.0,3478610800000.0,3339820200000.0,3510935000000.0,3486701000000.0
2070.0,3402550700000.0,3048514300000.0,3301630300000.0,3161219700000.0,3172923900000.0,3522868300000.0,3825706700000.0,3457074900000.0,3313287600000.0,3458404700000.0,3476754000000.0
2071.0,3385825000000.0,3024860200000.0,3257725600000.0,3149194000000.0,3133404600000.0,3508928200000.0,3811094600000.0,3418758800000.0,3285600700000.0,3433382000000.0,3444166600000.0
2072.0,3365340000000.0,3013660400000.0,3242206000000.0,3122052000000.0,3106735700000.0,3488516700000.0,3791707000000.0,3395612300000.0,3257429700000.0,3425874500000.0,3418667400000.0
2073.0,3351983700000.0,3000669600000.0,3220081000000.0,3097944700000.0,3079436500000.0,3472621000000.0,3772690000000.0,3386414000000.0,3237332600000.0,3404492200000.0,3413783300000.0
2074.0,3335994000000.0,2979977500000.0,3190863400000.0,3063448000000.0,3064458400000.0,3471219400000.0,3745111300000.0,3374609000000.0,3209172600000.0,3393779100000.0,3406751600000.0
2075.0,3323561500000.0,2966965700000.0,3167707200000.0,3038181000000.0,3044282200000.0,3466387800000.0,3704966000000.0,3337332500000.0,3177087800000.0,3372754100000.0,3384238400000.0
