time,GISS-E2-R,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,CANESM2,CSIRO-MK3-6-0,NORESM1-M,GFDL-ESM2G,MPI-ESM-LR,CCSM4,CNRM-CM5
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,54842690000.0,53559902000.0,52557242000.0,52799082000.0,55228480000.0,54155702000.0,54293750000.0,54515440000.0,57041523000.0,54597790000.0,55841985000.0
2022.0,55050125000.0,51753660000.0,50069107000.0,51782697000.0,54975967000.0,53073700000.0,52695167000.0,53150274000.0,58438107000.0,54612496000.0,54793347000.0
2023.0,54941897000.0,50175394000.0,49989247000.0,50548930000.0,53708720000.0,54422938000.0,51485487000.0,51058660000.0,58366220000.0,52950286000.0,54025126000.0
2024.0,54879965000.0,50459940000.0,50377585000.0,50646778000.0,53150343000.0,53850636000.0,50839466000.0,49006862000.0,58508575000.0,52341555000.0,54263226000.0
2025.0,54550176000.0,50941817000.0,50583730000.0,49882857000.0,51334670000.0,52253164000.0,50869870000.0,50153222000.0,57332847000.0,50823840000.0,53098037000.0
2026.0,53610140000.0,50317470000.0,50740380000.0,50230936000.0,49426340000.0,51195232000.0,50570440000.0,51043197000.0,57485340000.0,50951770000.0,52552593000.0
2027.0,53216270000.0,48954160000.0,50882930000.0,49459634000.0,47889514000.0,51444320000.0,51076010000.0,51137446000.0,56083250000.0,50027225000.0,53048240000.0
2028.0,52291840000.0,48466297000.0,52932444000.0,49819435000.0,46573572000.0,50255280000.0,51274007000.0,50897154000.0,54421676000.0,47944016000.0,52010512000.0
2029.0,51653760000.0,49053196000.0,53085417000.0,49645363000.0,47754633000.0,49253523000.0,50661278000.0,50445734000.0,55108944000.0,47544177000.0,52166267000.0
2030.0,49652204000.0,48807838000.0,53581350000.0,50938122000.0,47146530000.0,47346850000.0,49364160000.0,50270820000.0,55849357000.0,47165010000.0,51514446000.0
2031.0,47843533000.0,47937307000.0,52284050000.0,50808467000.0,44741976000.0,46122220000.0,48819200000.0,51608125000.0,56095190000.0,46679474000.0,50866143000.0
2032.0,47402324000.0,47361155000.0,51656480000.0,50344067000.0,43603505000.0,45811134000.0,48063760000.0,51922290000.0,57636630000.0,47356250000.0,50453430000.0
2033.0,46149230000.0,46117460000.0,51517944000.0,51770466000.0,43092906000.0,45577765000.0,47658578000.0,51376640000.0,57727975000.0,48486340000.0,50337100000.0
2034.0,47720026000.0,44572254000.0,51894450000.0,52607975000.0,41233410000.0,46033050000.0,47530033000.0,51050594000.0,56629928000.0,49107980000.0,51730370000.0
2035.0,47629955000.0,44588890000.0,50864316000.0,51575000000.0,40234280000.0,44876624000.0,47158673000.0,51519214000.0,55846970000.0,49093005000.0,52320985000.0
2036.0,46236030000.0,43801915000.0,49737650000.0,51699530000.0,38912877000.0,43502570000.0,46071940000.0,50629878000.0,56663990000.0,49617007000.0,52428825000.0
2037.0,45225923000.0,42946978000.0,48848150000.0,54085943000.0,37276733000.0,42312413000.0,46070665000.0,50417020000.0,57028612000.0,47775620000.0,51527373000.0
2038.0,44923730000.0,41769470000.0,47046586000.0,53412990000.0,35603927000.0,42890494000.0,46035960000.0,51449950000.0,56422380000.0,46671086000.0,50647454000.0
2039.0,44720050000.0,41936680000.0,46032237000.0,52584230000.0,34407076000.0,43178308000.0,45573448000.0,51039210000.0,56502206000.0,45435515000.0,49276350000.0
2040.0,44669833000.0,41493365000.0,46607730000.0,51575783000.0,32630190000.0,42355850000.0,45567890000.0,50494235000.0,57211330000.0,45529645000.0,48885613000.0
2041.0,44689730000.0,40663126000.0,45446087000.0,51766250000.0,31347636000.0,42595740000.0,45277200000.0,50103710000.0,55240327000.0,45672090000.0,47678304000.0
2042.0,44038300000.0,40397877000.0,45240443000.0,52434797000.0,30066029000.0,42230645000.0,44395440000.0,50042280000.0,55111012000.0,44671450000.0,46262420000.0
2043.0,43819938000.0,40309040000.0,43727770000.0,51666694000.0,29243644000.0,41913250000.0,44744030000.0,50250110000.0,55416156000.0,44833858000.0,44216490000.0
2044.0,44135540000.0,40147630000.0,40949436000.0,51657840000.0,29595296000.0,42483847000.0,43573735000.0,50361807000.0,55274488000.0,44643197000.0,44685510000.0
2045.0,44804040000.0,39500660000.0,40484500000.0,51316433000.0,29063311000.0,42878513000.0,44401263000.0,50198720000.0,56345604000.0,43714134000.0,43323470000.0
2046.0,44372810000.0,38642962000.0,39908630000.0,51935523000.0,28460378000.0,43023110000.0,43637613000.0,50239373000.0,56213150000.0,44088398000.0,42719502000.0
2047.0,44001866000.0,37286752000.0,39542170000.0,51546943000.0,27827333000.0,42301186000.0,42635940000.0,50254578000.0,55200326000.0,43894706000.0,42234460000.0
2048.0,43893158000.0,36805050000.0,38948954000.0,49800233000.0,27413070000.0,41819810000.0,43597308000.0,50191530000.0,55527637000.0,42751873000.0,42310496000.0
2049.0,43609657000.0,36463300000.0,38687700000.0,50044498000.0,27039373000.0,41880320000.0,44061282000.0,49909610000.0,54336696000.0,41364476000.0,42933280000.0
2050.0,45129196000.0,35667423000.0,38799690000.0,50001756000.0,26324580000.0,42183655000.0,44630372000.0,48861348000.0,53540650000.0,41491070000.0,43650360000.0
