time,CSIRO-MK3-6-0,IPSL-CM5A-LR,CANESM2,GFDL-CM3,GISS-E2-R,CESM1-CAM5,CCSM4,CNRM-CM5,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,54897476000.0,55005213000.0,55222680000.0,54522986000.0,55142232000.0,54947230000.0,55250825000.0,55418650000.0,55405090000.0,55790658000.0,55998450000.0
2022.0,55115866000.0,54994960000.0,53468580000.0,54162973000.0,56432020000.0,54141395000.0,54815270000.0,54330520000.0,54822412000.0,55468920000.0,57110520000.0
2023.0,53881192000.0,54786080000.0,52100506000.0,55340280000.0,55994810000.0,53020540000.0,53492800000.0,51350282000.0,55530533000.0,54447640000.0,56907616000.0
2024.0,53675180000.0,53826593000.0,49638350000.0,55734407000.0,54907396000.0,51882670000.0,51515343000.0,49835733000.0,56823472000.0,52283930000.0,56863965000.0
2025.0,54466376000.0,53766400000.0,49188330000.0,56824963000.0,54827700000.0,52731527000.0,51129217000.0,48263553000.0,58475250000.0,50308860000.0,56722035000.0
2026.0,53738877000.0,53876777000.0,49385775000.0,57039570000.0,54458827000.0,51624767000.0,51235350000.0,46629917000.0,58776950000.0,49410470000.0,55760410000.0
2027.0,52171063000.0,54276710000.0,49095774000.0,56562594000.0,55218635000.0,50666512000.0,50161635000.0,45020090000.0,58960056000.0,49800385000.0,54522800000.0
2028.0,50907280000.0,53560050000.0,48434750000.0,57726284000.0,53804020000.0,49060233000.0,48761930000.0,44669256000.0,58663890000.0,49096573000.0,53015364000.0
2029.0,48960100000.0,52677470000.0,46693196000.0,56900383000.0,53081653000.0,47762997000.0,46961136000.0,43406148000.0,58697404000.0,47416283000.0,51227173000.0
2030.0,47755727000.0,52419210000.0,45850610000.0,56336544000.0,52376383000.0,47459475000.0,45605740000.0,43056603000.0,59215100000.0,45810110000.0,49889448000.0
2031.0,46703346000.0,51105694000.0,46196195000.0,55677026000.0,51365573000.0,47374010000.0,44747860000.0,42189824000.0,60205232000.0,44894850000.0,49591603000.0
2032.0,44986294000.0,51439407000.0,45949970000.0,55493180000.0,50751144000.0,46606647000.0,43900710000.0,41500172000.0,60705415000.0,44151136000.0,49039700000.0
2033.0,43215983000.0,51333145000.0,44562674000.0,55286420000.0,50124480000.0,45788127000.0,42423480000.0,42323948000.0,59916845000.0,44173558000.0,48245748000.0
2034.0,41662042000.0,50183810000.0,44190216000.0,55269590000.0,49581320000.0,45608514000.0,41306900000.0,42644767000.0,59411083000.0,44931666000.0,47901323000.0
2035.0,40454713000.0,49698255000.0,43206373000.0,56967500000.0,49290023000.0,45083976000.0,40259846000.0,43032113000.0,59782803000.0,44494080000.0,46852970000.0
2036.0,40027406000.0,47111516000.0,42147566000.0,55899914000.0,49167393000.0,44507062000.0,39704020000.0,42739590000.0,60317147000.0,42702787000.0,46707480000.0
2037.0,39521830000.0,45920735000.0,40960987000.0,56227963000.0,49007415000.0,43688860000.0,38987334000.0,41614410000.0,61070170000.0,42764150000.0,46380760000.0
2038.0,38762910000.0,44829934000.0,40218340000.0,56772145000.0,48216744000.0,44530510000.0,38531560000.0,41497160000.0,62048068000.0,43397267000.0,46923820000.0
2039.0,38544920000.0,44653044000.0,39147872000.0,55580220000.0,47175295000.0,43959624000.0,38406630000.0,42555585000.0,61895197000.0,44471497000.0,47100355000.0
2040.0,39009070000.0,44057305000.0,37305745000.0,54091248000.0,47479857000.0,43891430000.0,38501167000.0,43070566000.0,59581125000.0,42663633000.0,47650610000.0
2041.0,38578170000.0,42722656000.0,37186454000.0,54002080000.0,48081790000.0,43567575000.0,37060383000.0,42773140000.0,59916870000.0,42544824000.0,46336246000.0
2042.0,38794280000.0,39580697000.0,37416534000.0,52622910000.0,48356086000.0,43538366000.0,35710206000.0,42964808000.0,59865330000.0,41766390000.0,46514373000.0
2043.0,38352860000.0,38053007000.0,36414970000.0,52416057000.0,47632010000.0,42741290000.0,34908670000.0,42749817000.0,60113293000.0,39856038000.0,47261503000.0
2044.0,38620463000.0,37881990000.0,34723033000.0,50597550000.0,48185184000.0,42630558000.0,35354030000.0,41791410000.0,59949847000.0,39566373000.0,47917270000.0
2045.0,39274440000.0,38098813000.0,33729325000.0,48771633000.0,48003645000.0,42365880000.0,35441594000.0,41330434000.0,58737290000.0,39330968000.0,47175176000.0
2046.0,39464903000.0,37335044000.0,34105754000.0,48019220000.0,48340734000.0,41174970000.0,35239145000.0,41299603000.0,59057000000.0,38881194000.0,47557448000.0
2047.0,38285492000.0,35815170000.0,35089293000.0,48386626000.0,48402950000.0,40660374000.0,34541250000.0,41702404000.0,59475186000.0,37667082000.0,47527215000.0
2048.0,36833595000.0,36037970000.0,35378070000.0,47764754000.0,49018360000.0,40566075000.0,34489246000.0,41397727000.0,59377260000.0,37360062000.0,46755060000.0
2049.0,36259324000.0,35429730000.0,34794217000.0,48164307000.0,48094736000.0,39685108000.0,35143643000.0,41084875000.0,59175830000.0,37622630000.0,45854810000.0
2050.0,35924480000.0,34988920000.0,34338050000.0,47452692000.0,47025283000.0,38939360000.0,34664317000.0,40812982000.0,59507663000.0,37678540000.0,44356250000.0
