time,CSIRO-MK3-6-0,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R,CCSM4,GFDL-ESM2G,CESM1-CAM5,NORESM1-M
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,55368890000.0,55265403000.0,54678180000.0,54109860000.0,55939860000.0,56085656000.0,54709944000.0,55125443000.0
2022.0,56655320000.0,54875120000.0,53672810000.0,54379147000.0,56228966000.0,56737575000.0,53062595000.0,55451378000.0
2023.0,56813340000.0,54605150000.0,53771817000.0,53884076000.0,55966065000.0,56418468000.0,52046950000.0,55783064000.0
2024.0,56460290000.0,52614570000.0,52964487000.0,54406128000.0,55177340000.0,56165810000.0,52018434000.0,55111885000.0
2025.0,56334524000.0,52976697000.0,52665147000.0,54383235000.0,54257430000.0,57597546000.0,51786070000.0,54020395000.0
2026.0,58063880000.0,53063807000.0,52693950000.0,53485380000.0,52988416000.0,57479730000.0,50596516000.0,53121106000.0
2027.0,57539140000.0,53024838000.0,51549635000.0,52094304000.0,51956440000.0,57011600000.0,51350647000.0,51955300000.0
2028.0,55238463000.0,53244543000.0,49575612000.0,52140070000.0,51691510000.0,56542593000.0,51196560000.0,50592340000.0
2029.0,53371597000.0,52039650000.0,48372064000.0,50928100000.0,50646954000.0,57714192000.0,50429223000.0,50491638000.0
2030.0,51374230000.0,51829960000.0,48172397000.0,49665690000.0,49570095000.0,56993653000.0,50186146000.0,50625745000.0
2031.0,49771418000.0,51271225000.0,47059325000.0,48029410000.0,49419166000.0,57858860000.0,50359330000.0,50505515000.0
2032.0,50479477000.0,50649600000.0,45121480000.0,48691650000.0,47417463000.0,56865624000.0,50002490000.0,49946170000.0
2033.0,48651887000.0,51107656000.0,45271970000.0,48459125000.0,45857784000.0,55800320000.0,49546170000.0,48569856000.0
2034.0,47386644000.0,51651320000.0,45113570000.0,47269212000.0,44859204000.0,53405614000.0,48546190000.0,47526294000.0
