time,GFDL-CM3,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CESM1-CAM5,CCSM4,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R
2000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0
2001.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0
2002.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0
2003.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0
2004.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0
2005.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0
2006.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0
2007.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0
2008.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0
2009.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0
2010.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0
2011.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0
2012.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0
2013.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0
2014.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0
2015.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0
2016.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0
2017.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0
2018.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0
2019.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0
2020.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0
2021.0,44572554000000.0,44734194000000.0,44638124000000.0,44648047000000.0,44696743000000.0,44687272000000.0,44676020000000.0,44526144000000.0,44653286000000.0,44702950000000.0,44559057000000.0
2022.0,44534720000000.0,44673820000000.0,44576330000000.0,44601725000000.0,44673956000000.0,44604800000000.0,44542334000000.0,44429537000000.0,44615118000000.0,44726166000000.0,44533312000000.0
2023.0,44508452000000.0,44655337000000.0,44465960000000.0,44515050000000.0,44616204000000.0,44489850000000.0,44422322000000.0,44287983000000.0,44570630000000.0,44733393000000.0,44515184000000.0
2024.0,44645858000000.0,44628342000000.0,44444003000000.0,44363930000000.0,44408003000000.0,44519664000000.0,44247950000000.0,44134700000000.0,44465460000000.0,44683310000000.0,44522140000000.0
2025.0,44714485000000.0,44636370000000.0,44374474000000.0,44295277000000.0,44321850000000.0,44408297000000.0,43985444000000.0,44022555000000.0,44371600000000.0,44661503000000.0,44462300000000.0
2026.0,44757875000000.0,44712925000000.0,44327560000000.0,44205550000000.0,44130936000000.0,44233445000000.0,43884508000000.0,43938170000000.0,44290806000000.0,44681904000000.0,44436923000000.0
2027.0,44802720000000.0,44600560000000.0,44243633000000.0,44116147000000.0,43957490000000.0,44192844000000.0,43813380000000.0,43797585000000.0,44133850000000.0,44655070000000.0,44392203000000.0
2028.0,44855170000000.0,44482217000000.0,44122442000000.0,43984200000000.0,43859740000000.0,44115736000000.0,43704727000000.0,43670560000000.0,43978204000000.0,44663760000000.0,44356760000000.0
2029.0,44912423000000.0,44422754000000.0,44058408000000.0,43798510000000.0,43764830000000.0,44031400000000.0,43637950000000.0,43513178000000.0,43827310000000.0,44679677000000.0,44368174000000.0
