time,GISS-E2-R,GFDL-CM3,CESM1-CAM5,GFDL-ESM2G,CCSM4,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0
2000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0
2001.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0
2002.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0
2003.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0
2004.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0
2005.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0
2006.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0
2007.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0
2008.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0
2009.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0
2010.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0
2011.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0
2012.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0
2013.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0
2014.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0
2015.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0
2016.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0
2017.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0
2018.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0
2019.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0
2020.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0
2021.0,149442462037000.0,149234719256000.0,149031659514000.0,149459719037000.0,149339210240000.0,149102044965000.0,149261792148000.0,149376343303000.0
2022.0,149073179171000.0,148756700368000.0,148495547394000.0,149106656939000.0,149005575434000.0,148777456871000.0,148919734028000.0,149049166561000.0
2023.0,148615514560000.0,148173655325000.0,147989226329000.0,148740474084000.0,148576298093000.0,148220052207000.0,148308864249000.0,148696471233000.0
2024.0,148210199516000.0,147773036735000.0,147371117429000.0,148234872837000.0,148178853950000.0,147669404617000.0,147812871925000.0,148471551364000.0
2025.0,147638651349000.0,147237116695000.0,146806531090000.0,147744337611000.0,147767988265000.0,147143221424000.0,147372493302000.0,148118179289000.0
2026.0,147306139541000.0,146680884599000.0,146230268031000.0,147294682470000.0,147229792220000.0,146544626142000.0,146722372333000.0,147697202776000.0
2027.0,146874438209000.0,146142833458000.0,145609059221000.0,147002361975000.0,146933260438000.0,145938737653000.0,146170262650000.0,147307688409000.0
2028.0,146585763621000.0,145671073753000.0,144899237797000.0,146718620649000.0,146583694361000.0,145522505865000.0,145659644464000.0,146808550058000.0
2029.0,146223927741000.0,145076280290000.0,144064313574000.0,146440334435000.0,146109244914000.0,145033723366000.0,145000483190000.0,146522261342000.0
2030.0,145905162897000.0,144446768310000.0,143291856519000.0,146126963252000.0,145519899675000.0,144498133409000.0,144266833285000.0,146296076064000.0
2031.0,145356848007000.0,143945097400000.0,142641573765000.0,145759768377000.0,145177323290000.0,144207562454000.0,143882969016000.0,145859740946000.0
2032.0,144985831314000.0,143202929690000.0,142004039886000.0,145276971899000.0,144810047890000.0,143723638323000.0,143480486491000.0,145449096659000.0
2033.0,144577114986000.0,142716938958000.0,141242714940000.0,144918190655000.0,144342053096000.0,143142614568000.0,143068450327000.0,144996064702000.0
2034.0,144177843621000.0,142107949016000.0,140580509112000.0,144455524437000.0,143824620482000.0,142553320936000.0,142538289626000.0,144712278515000.0
2035.0,143877688789000.0,141507459776000.0,139894446227000.0,144231323262000.0,143351205334000.0,141891314555000.0,141951124040000.0,144366442002000.0
2036.0,143402032521000.0,140686146943000.0,139276121096000.0,143715118511000.0,143019960700000.0,141214585318000.0,141469913079000.0,144146774297000.0
2037.0,143007890955000.0,140197113791000.0,138408484313000.0,143453749886000.0,142430445303000.0,140621262288000.0,140868706028000.0,143844151355000.0
2038.0,142623551605000.0,139637297163000.0,137586876680000.0,143073566191000.0,142128794921000.0,140030563290000.0,140196002173000.0,143248738239000.0
2039.0,142265465893000.0,138993423330000.0,136836326503000.0,142659173943000.0,141476906675000.0,139295022368000.0,139710753634000.0,142738461333000.0
2040.0,141769711608000.0,138310477985000.0,136022768165000.0,142334980389000.0,140920100410000.0,138753148895000.0,139191214326000.0,142127340680000.0
2041.0,141326177743000.0,137648049494000.0,135242060426000.0,142067292587000.0,140431959677000.0,138428481983000.0,138614782054000.0,141573371684000.0
2042.0,140840844994000.0,136961239333000.0,134383273056000.0,141479948604000.0,139712670551000.0,137990016147000.0,137992043269000.0,141119270074000.0
2043.0,140526966301000.0,136216029718000.0,133566527485000.0,140915367729000.0,139223170444000.0,137464904907000.0,137438488944000.0,140762084568000.0
2044.0,140116219859000.0,135557208665000.0,132924876361000.0,140436895024000.0,138638771283000.0,137007158954000.0,136925443265000.0,140112444387000.0
2045.0,139755401872000.0,134814567499000.0,132098097477000.0,140042141153000.0,138113385871000.0,136336464419000.0,136478585109000.0,139641531001000.0
2046.0,139420781245000.0,134203509415000.0,131306464455000.0,139759231861000.0,137525536966000.0,135595839910000.0,135818489075000.0,139104274686000.0
2047.0,138956318741000.0,133523662450000.0,130266228819000.0,139462454512000.0,136941354259000.0,134773665197000.0,135307129690000.0,138525070263000.0
2048.0,138454310724000.0,132855189608000.0,129441164919000.0,139001976925000.0,136361011219000.0,134070206564000.0,134534003077000.0,138013348756000.0
2049.0,137846087654000.0,131994040287000.0,128772601549000.0,138655849216000.0,135593737987000.0,133439026387000.0,133960523511000.0,137513915035000.0
2050.0,137328505002000.0,131389821539000.0,127693035379000.0,138212097043000.0,134936081837000.0,132659058828000.0,133324710266000.0,137063970916000.0
2051.0,136852849562000.0,130710570880000.0,126598330911000.0,137894806570000.0,134322453369000.0,131969945154000.0,132627439256000.0,136554825390000.0
2052.0,136516364335000.0,130088988969000.0,125600415722000.0,137546028465000.0,133666988022000.0,131221758380000.0,132029336220000.0,135889007417000.0
2053.0,135945291276000.0,129179267332000.0,124525776419000.0,137087570639000.0,133107164289000.0,130454163650000.0,131270161555000.0,135276607336000.0
2054.0,135327496750000.0,128336084621000.0,123799242351000.0,136689456268000.0,132342357239000.0,129724279455000.0,130718152964000.0,134680260605000.0
2055.0,134913706161000.0,127506455030000.0,122920263202000.0,136354992065000.0,131638380324000.0,129014519871000.0,129886440793000.0,134063905589000.0
2056.0,134579678037000.0,126571924876000.0,121976304857000.0,135885664081000.0,130947563452000.0,128178947693000.0,129076559803000.0,133529654137000.0
2057.0,134048474372000.0,125839718034000.0,120970620406000.0,135483443975000.0,130274996545000.0,127507248523000.0,128129359209000.0,133004331519000.0
2058.0,133450642181000.0,125148744085000.0,120130985969000.0,134961709435000.0,129650933698000.0,126876695517000.0,127483628377000.0,132386005778000.0
2059.0,133004329077000.0,124255146853000.0,118978011883000.0,134459772089000.0,128930476132000.0,126045246799000.0,126802366932000.0,131870941745000.0
2060.0,132634624506000.0,123565148216000.0,117529635077000.0,134022557627000.0,128367009224000.0,124953228748000.0,126140827060000.0,131304301470000.0
2061.0,132194272332000.0,122856853502000.0,116489161522000.0,133665375448000.0,127628906146000.0,124150729119000.0,125336993462000.0,130537560454000.0
2062.0,131559817942000.0,122218447408000.0,115436151834000.0,133150691791000.0,126782517432000.0,123552425933000.0,124593018792000.0,129974740974000.0
2063.0,130864260615000.0,121366468738000.0,114446472030000.0,132575613606000.0,126007225023000.0,122563775591000.0,123841326829000.0,129422245618000.0
2064.0,130493270254000.0,120660753785000.0,113269175211000.0,132197531842000.0,125268248084000.0,121655815655000.0,123062459398000.0,128793111309000.0
2065.0,129955311750000.0,119784274232000.0,112025610527000.0,131773658428000.0,124529882098000.0,120942502132000.0,122363178160000.0,128255459684000.0
2066.0,129600621155000.0,119265320809000.0,110636530547000.0,131185111127000.0,123891123161000.0,120204545016000.0,121522441237000.0,127534625442000.0
2067.0,129104633972000.0,118495151546000.0,109367415599000.0,130825667425000.0,123280971025000.0,119275110328000.0,120663153687000.0,126879565981000.0
2068.0,128661471266000.0,117781264773700.0,108229430266000.0,130303316054000.0,122519719365000.0,118608900373000.0,119873311091000.0,126305142597000.0
2069.0,128105304366000.0,117096057632000.0,106997469806000.0,129694403969000.0,121731168484000.0,117840411270000.0,119130700058000.0,125735576874000.0
