time,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,CANESM2,MPI-ESM-LR,CCSM4,GFDL-ESM2G,NORESM1-M,CNRM-CM5,CSIRO-MK3-6-0
2000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0
2001.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0
2002.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0
2003.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0
2004.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0
2005.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0
2006.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0
2007.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0
2008.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0
2009.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0
2010.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0
2011.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0
2012.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0
2013.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0
2014.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0
2015.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0
2016.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0
