time,CSIRO-MK3-6-0,NORESM1-M,CESM1-CAM5,MPI-ESM-LR
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18058096000000.0,18014674000000.0,18133822000000.0,18101148000000.0
2022.0,17869216000000.0,17936908000000.0,18101939000000.0,17964273000000.0
2023.0,17732328000000.0,17853965000000.0,18016622000000.0,17841360000000.0
2024.0,17563685000000.0,17706740000000.0,17924075000000.0,17765675000000.0
2025.0,17471143000000.0,17579517000000.0,17783380000000.0,17666207000000.0
2026.0,17408952000000.0,17475333000000.0,17640255000000.0,17447146000000.0
2027.0,17391072000000.0,17449242000000.0,17618577000000.0,17355629000000.0
2028.0,17264308000000.0,17421219000000.0,17518775000000.0,17266412000000.0
2029.0,17121536000000.0,17245891000000.0,17424690000000.0,17115449000000.0
2030.0,17103371000000.0,17080674000000.0,17276439000000.0,16934120000000.0
2031.0,17021237000000.0,16928939000000.0,17151822000000.0,16813046000000.0
2032.0,16919356000000.0,16873802000000.0,16992937000000.0,16737115000000.0
2033.0,16859581000000.0,16730459000000.0,16907221000000.0,16580490000000.0
2034.0,16711649000000.0,16653402000000.0,16709094000000.0,16437276000000.0
2035.0,16635588000000.0,16478995000000.0,16521920000000.0,16298629000000.0
2036.0,16505051000000.0,16377483000000.0,16385204000000.0,16214889000000.0
2037.0,16315139000000.0,16142077000000.0,16284632000000.0,16148580000000.0
2038.0,16172666000000.0,15952090000000.0,16087908000000.0,16018479000000.0
2039.0,16051990000000.0,15732261000000.0,15971876000000.0,15892108000000.0
2040.0,15889262000000.0,15608446000000.0,15857355000000.0,15752217000000.0
2041.0,15781828000000.0,15403375000000.0,15704045000000.0,15659274000000.0
2042.0,15588227000000.0,15257444000000.0,15596479000000.0,15626133000000.0
2043.0,15438981000000.0,14995250000000.0,15570571000000.0,15490232000000.0
2044.0,15348224000000.0,14822987000000.0,15482529000000.0,15368777000000.0
2045.0,15179463000000.0,14605121000000.0,15327914000000.0,15228749000000.0
2046.0,14973410000000.0,14419876000000.0,15198957000000.0,15082265000000.0
2047.0,14852116000000.0,14339330000000.0,15023195000000.0,14935387000000.0
2048.0,14751005000000.0,14182854000000.0,14926453000000.0,14866034000000.0
2049.0,14603527000000.0,13971593000000.0,14804272000000.0,14745397000000.0
2050.0,14428552000000.0,13744972000000.0,14677424000000.0,14714754000000.0
2051.0,14266859000000.0,13594648000000.0,14508105000000.0,14660149000000.0
2052.0,14032351000000.0,13395707000000.0,14307823000000.0,14548482000000.0
2053.0,13847483000000.0,13204145000000.0,14186984000000.0,14325513000000.0
2054.0,13660579000000.0,13020662000000.0,14082390000000.0,14108284000000.0
2055.0,13410313000000.0,12878542000000.0,13833934000000.0,14042101000000.0
2056.0,13284965000000.0,12724044000000.0,13616344000000.0,13971577000000.0
2057.0,13182106000000.0,12543537000000.0,13412308000000.0,13797890000000.0
2058.0,12955299000000.0,12342670000000.0,13212066000000.0,13737546000000.0
2059.0,12753306000000.0,12177573000000.0,13023257000000.0,13636902000000.0
2060.0,12510126000000.0,12069367000000.0,12804994000000.0,13472529000000.0
2061.0,12347938000000.0,11901336000000.0,12630322000000.0,13332535000000.0
2062.0,12200489000000.0,11715472000000.0,12501561000000.0,13196023000000.0
2063.0,11999721000000.0,11574784000000.0,12419735000000.0,13131247000000.0
2064.0,11793170000000.0,11470869000000.0,12272863000000.0,12940899000000.0
2065.0,11680802000000.0,11293523000000.0,12047126000000.0,12827346000000.0
2066.0,11554426000000.0,11131840000000.0,11908970000000.0,12725929000000.0
2067.0,11390966000000.0,10991946000000.0,11674980000000.0,12639504000000.0
2068.0,11306701000000.0,10885064000000.0,11347138000000.0,12557749000000.0
2069.0,11162552000000.0,10789755000000.0,11172944000000.0,12465881000000.0
2070.0,11035644000000.0,10645827000000.0,10994354000000.0,12294938000000.0
2071.0,10907347000000.0,10546332000000.0,10761716000000.0,12126435000000.0
2072.0,10758199000000.0,10460016000000.0,10633318000000.0,12074387000000.0
2073.0,10587076000000.0,10353578000000.0,10438024000000.0,11966627000000.0
2074.0,10431058000000.0,10244606000000.0,10254432000000.0,11884436000000.0
2075.0,10290124000000.0,10114107000000.0,10155949000000.0,11765217000000.0
2076.0,10151578000000.0,10053281000000.0,10042081000000.0,11664390000000.0
2077.0,10018564000000.0,9974363000000.0,9883720000000.0,11633391000000.0
2078.0,9894601000000.0,9817468000000.0,9741830000000.0,11514836000000.0
2079.0,9758033000000.0,9704910000000.0,9639459000000.0,11407604000000.0
2080.0,9593104000000.0,9595916000000.0,9519305000000.0,11338909000000.0
2081.0,9502635000000.0,9405849000000.0,9429159000000.0,11246390000000.0
2082.0,9355725000000.0,9263421000000.0,9239220000000.0,11091301000000.0
2083.0,9251926000000.0,9128726000000.0,9030372000000.0,11007222000000.0
2084.0,9163877000000.0,9019218000000.0,8898880000000.0,10923869000000.0
2085.0,9089236000000.0,8857757000000.0,8813495000000.0,10898769000000.0
2086.0,9009140000000.0,8732281400000.0,8648869300000.0,10831362000000.0
2087.0,8918249000000.0,8684954000000.0,8499776000000.0,10747495000000.0
2088.0,8844799000000.0,8679250700000.0,8375951000000.0,10685560000000.0
2089.0,8757076600000.0,8656599000000.0,8184173400000.0,10639197000000.0
2090.0,8657282000000.0,8476820000000.0,7995716000000.0,10573755000000.0
2091.0,8581412000000.0,8332271700000.0,7833296000000.0,10532571000000.0
2092.0,8433967300000.0,8217644500000.0,7697716000000.0,10434660000000.0
2093.0,8320275000000.0,8175742400000.0,7590928400000.0,10377750000000.0
2094.0,8212506500000.0,8099482600000.0,7431831000000.0,10305538000000.0
2095.0,8144653600000.0,7950871000000.0,7348432000000.0,10257182000000.0
2096.0,8051314700000.0,7820871700000.0,7225521700000.0,10124974000000.0
2097.0,7980111000000.0,7709457400000.0,7080891600000.0,10072629000000.0
2098.0,7910830000000.0,7575727000000.0,6938612500000.0,10042196000000.0
2099.0,7814737000000.0,7417845000000.0,6824816300000.0,9968984000000.0
2100.0,7711242600000.0,7336731600000.0,6714515500000.0,9986856000000.0
2101.0,7589219000000.0,7241849600000.0,6581393600000.0,9881608000000.0
2102.0,7501067600000.0,7098487000000.0,6478973000000.0,9772987000000.0
2103.0,7412283000000.0,7051909500000.0,6336117500000.0,9705625000000.0
2104.0,7316705400000.0,6962323000000.0,6249177400000.0,9578999000000.0
2105.0,7252068000000.0,6831551000000.0,6176761700000.0,9503078000000.0
2106.0,7163908000000.0,6781532000000.0,6065834000000.0,9390387000000.0
2107.0,7086664000000.0,6652292000000.0,5991070400000.0,9350099000000.0
2108.0,6995106000000.0,6615101000000.0,5833060000000.0,9308857000000.0
2109.0,6891224700000.0,6540004000000.0,5723999700000.0,9253867000000.0
2110.0,6813287700000.0,6463689300000.0,5647982700000.0,9160105000000.0
2111.0,6729249600000.0,6361839000000.0,5559957000000.0,9139701000000.0
2112.0,6633449000000.0,6254533500000.0,5470374000000.0,9081598000000.0
2113.0,6533737000000.0,6179396000000.0,5389503000000.0,9038707000000.0
2114.0,6472959000000.0,6102489500000.0,5269166000000.0,8984815000000.0
2115.0,6452947000000.0,5982459000000.0,5182441700000.0,8908422000000.0
2116.0,6400107300000.0,5832544000000.0,5103975700000.0,8848313000000.0
2117.0,6359133000000.0,5752249400000.0,5061082600000.0,8816484000000.0
2118.0,6288189000000.0,5717109000000.0,5033028000000.0,8733262300000.0
2119.0,6198230000000.0,5666170000000.0,4956436300000.0,8680302000000.0
2120.0,6165588600000.0,5563008000000.0,4897048600000.0,8573135400000.0
2121.0,6142545600000.0,5444617600000.0,4854771000000.0,8521140700000.0
2122.0,6072273700000.0,5421309400000.0,4788870700000.0,8414978600000.0
2123.0,6024556000000.0,5355545300000.0,4707162000000.0,8364914000000.0
2124.0,5997932000000.0,5296647000000.0,4637598000000.0,8340312000000.0
2125.0,5944639500000.0,5254162700000.0,4559392500000.0,8164855000000.0
2126.0,5876374600000.0,5155497400000.0,4477558500000.0,8144309000000.0
2127.0,5841375700000.0,5034624000000.0,4417834700000.0,8063721000000.0
2128.0,5775650500000.0,4973004000000.0,4342433700000.0,7973074000000.0
2129.0,5716781300000.0,4928089600000.0,4236353200000.0,7928595000000.0
2130.0,5685811000000.0,4882207600000.0,4199811000000.0,7809470000000.0
2131.0,5629252000000.0,4842948400000.0,4171167000000.0,7755504000000.0
2132.0,5560696000000.0,4800653000000.0,4110757000000.0,7736075000000.0
2133.0,5508108000000.0,4779493000000.0,4049430400000.0,7634959700000.0
2134.0,5465276700000.0,4751179600000.0,3990859000000.0,7577508000000.0
2135.0,5381266300000.0,4726175000000.0,3924006300000.0,7515620000000.0
2136.0,5291082500000.0,4680751500000.0,3825236400000.0,7494444000000.0
2137.0,5225374500000.0,4631741600000.0,3787844700000.0,7429397400000.0
2138.0,5189259000000.0,4626741500000.0,3766730000000.0,7423851000000.0
2139.0,5138646000000.0,4606364500000.0,3709511400000.0,7371670700000.0
2140.0,5066440300000.0,4588988000000.0,3692728400000.0,7321919000000.0
2141.0,5015534000000.0,4532001600000.0,3682693000000.0,7265776000000.0
2142.0,4992062700000.0,4504439000000.0,3655365000000.0,7241352600000.0
2143.0,4935427000000.0,4476320600000.0,3646976400000.0,7212597500000.0
2144.0,4884820700000.0,4460824000000.0,3618536000000.0,7192133500000.0
2145.0,4853321000000.0,4409467000000.0,3597723500000.0,7164931000000.0
2146.0,4840055000000.0,4385236000000.0,3585807200000.0,7140981000000.0
2147.0,4825632000000.0,4423912000000.0,3561869500000.0,7077413000000.0
2148.0,4808021000000.0,4403471000000.0,3526447000000.0,7052715400000.0
2149.0,4779625400000.0,4407702000000.0,3520995300000.0,7026142000000.0
2150.0,4755194600000.0,4414439000000.0,3493956400000.0,7018457000000.0
2151.0,4742462000000.0,4416411000000.0,3484249200000.0,6974626000000.0
2152.0,4729143000000.0,4385119400000.0,3452728800000.0,6968138300000.0
2153.0,4714982000000.0,4367609800000.0,3417428000000.0,6963192000000.0
2154.0,4668619500000.0,4321194300000.0,3395818000000.0,6938675000000.0
2155.0,4632516500000.0,4285541600000.0,3385806300000.0,6889725000000.0
2156.0,4627389500000.0,4310724000000.0,3372780400000.0,6859227400000.0
2157.0,4609945400000.0,4305736200000.0,3341267500000.0,6837592700000.0
2158.0,4591063000000.0,4305684000000.0,3326787500000.0,6797997000000.0
2159.0,4578530600000.0,4288181400000.0,3307944500000.0,6745156500000.0
2160.0,4556295500000.0,4241144000000.0,3256541000000.0,6736023400000.0
2161.0,4560056000000.0,4238829700000.0,3221596400000.0,6669537000000.0
2162.0,4539416000000.0,4228427000000.0,3220424000000.0,6634844000000.0
2163.0,4532778000000.0,4208615200000.0,3218180100000.0,6595004600000.0
2164.0,4523879300000.0,4195242700000.0,3216441600000.0,6584760500000.0
2165.0,4519857500000.0,4169974200000.0,3198400300000.0,6551239700000.0
2166.0,4487701300000.0,4158976200000.0,3180168500000.0,6554112000000.0
2167.0,4451219300000.0,4163975500000.0,3199289800000.0,6567220500000.0
2168.0,4424319600000.0,4141697200000.0,3196490400000.0,6521588000000.0
2169.0,4400309300000.0,4131525200000.0,3195685600000.0,6500098500000.0
2170.0,4392170600000.0,4112706400000.0,3189666500000.0,6473711600000.0
2171.0,4378747700000.0,4090040000000.0,3170451300000.0,6458038000000.0
2172.0,4377131000000.0,4041173600000.0,3137348800000.0,6443532000000.0
2173.0,4349103000000.0,4046047000000.0,3106892700000.0,6427136000000.0
2174.0,4313748900000.0,4042668600000.0,3091796900000.0,6440028700000.0
2175.0,4280943600000.0,4057263800000.0,3096544800000.0,6421254500000.0
2176.0,4271688600000.0,4070601000000.0,3094959600000.0,6417292000000.0
2177.0,4256179700000.0,4068633700000.0,3083868300000.0,6374301400000.0
2178.0,4231764600000.0,4061551700000.0,3055931400000.0,6363875000000.0
2179.0,4220421000000.0,4051969200000.0,3025906400000.0,6335765000000.0
2180.0,4198305600000.0,4038641000000.0,3004996800000.0,6364354000000.0
2181.0,4177649500000.0,3989461300000.0,2998014600000.0,6324673000000.0
2182.0,4166984700000.0,3966458000000.0,2974090000000.0,6300568600000.0
2183.0,4140107000000.0,3971359000000.0,2951262000000.0,6280695500000.0
2184.0,4136696500000.0,3972779500000.0,2948635000000.0,6251079500000.0
2185.0,4148289000000.0,3946602600000.0,2928773700000.0,6201164000000.0
2186.0,4149530300000.0,3933616500000.0,2905380000000.0,6181502300000.0
2187.0,4164119700000.0,3910629900000.0,2873913000000.0,6155303600000.0
2188.0,4161813000000.0,3900290000000.0,2854891800000.0,6164302000000.0
2189.0,4157514200000.0,3870369000000.0,2830838000000.0,6125652000000.0
2190.0,4148351700000.0,3862707000000.0,2803625600000.0,6082841000000.0
2191.0,4146315400000.0,3865383000000.0,2795318500000.0,6068358000000.0
2192.0,4134112900000.0,3869140600000.0,2781599800000.0,6039281300000.0
2193.0,4116626500000.0,3859062200000.0,2751881000000.0,6018716000000.0
2194.0,4084398300000.0,3839813200000.0,2735189300000.0,5994516000000.0
2195.0,4050554700000.0,3836319600000.0,2727677800000.0,5992354400000.0
2196.0,4007541300000.0,3830667000000.0,2706837000000.0,6013474300000.0
2197.0,3995965600000.0,3809615800000.0,2680211000000.0,5986249600000.0
2198.0,3978489500000.0,3788098500000.0,2677310800000.0,5981100000000.0
2199.0,3951439600000.0,3776025500000.0,2670823000000.0,6001270500000.0
2200.0,3932178000000.0,3748907000000.0,2666657500000.0,6017959600000.0
2201.0,3901541000000.0,3734819600000.0,2657319400000.0,6014097700000.0
2202.0,3877470000000.0,3688060400000.0,2643610000000.0,6003288000000.0
2203.0,3861668000000.0,3662479400000.0,2636543700000.0,5986956000000.0
2204.0,3855016800000.0,3654885000000.0,2637846000000.0,5974035300000.0
2205.0,3828946300000.0,3632563000000.0,2631146100000.0,5983146000000.0
2206.0,3801865000000.0,3596993200000.0,2613268200000.0,5975090000000.0
2207.0,3799278000000.0,3595849700000.0,2621028000000.0,5979032000000.0
2208.0,3795223800000.0,3586071000000.0,2609355200000.0,5989003000000.0
2209.0,3756743700000.0,3597810800000.0,2588604000000.0,5971367700000.0
2210.0,3734111000000.0,3568670300000.0,2600866200000.0,5967879600000.0
2211.0,3710376700000.0,3520936500000.0,2591641800000.0,5977161000000.0
2212.0,3701801200000.0,3498323700000.0,2566315000000.0,5978844600000.0
2213.0,3660473700000.0,3479571300000.0,2542716000000.0,5936586400000.0
2214.0,3619433700000.0,3482809800000.0,2526855000000.0,5955726000000.0
2215.0,3587633800000.0,3476004300000.0,2536340700000.0,5915575600000.0
2216.0,3561562800000.0,3483322300000.0,2539139000000.0,5931372000000.0
2217.0,3519609600000.0,3486894000000.0,2519238400000.0,5939783500000.0
2218.0,3503816700000.0,3472473200000.0,2493845000000.0,5923368000000.0
2219.0,3472980200000.0,3465649800000.0,2486145000000.0,5923122700000.0
2220.0,3453669600000.0,3471712500000.0,2468942700000.0,5882540700000.0
2221.0,3439378000000.0,3450482200000.0,2464434600000.0,5893734300000.0
2222.0,3423930200000.0,3434279000000.0,2473988000000.0,5890868500000.0
2223.0,3407616000000.0,3439994600000.0,2456061700000.0,5906645400000.0
2224.0,3383285300000.0,3438269400000.0,2433097400000.0,5872179000000.0
