time,NORESM1-M,CESM1-CAM5,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,1023126000000.0,1023126000000.0,1023126000000.0,1023126000000.0
2001.0,1016465300000.0,1016465300000.0,1016465300000.0,1016465300000.0
2002.0,1014436900000.0,1014436900000.0,1014436900000.0,1014436900000.0
2003.0,1006492000000.0,1006492000000.0,1006492000000.0,1006492000000.0
2004.0,999308300000.0,999308300000.0,999308300000.0,999308300000.0
2005.0,986141300000.0,986141300000.0,986141300000.0,986141300000.0
2006.0,982813900000.0,982813900000.0,982813900000.0,982813900000.0
2007.0,972127540000.0,972127540000.0,972127540000.0,972127540000.0
2008.0,975897000000.0,975897000000.0,975897000000.0,975897000000.0
2009.0,970234600000.0,970234600000.0,970234600000.0,970234600000.0
2010.0,956573940000.0,956573940000.0,956573940000.0,956573940000.0
2011.0,951373400000.0,951373400000.0,951373400000.0,951373400000.0
2012.0,953487500000.0,953487500000.0,953487500000.0,953487500000.0
2013.0,949656940000.0,949656940000.0,949656940000.0,949656940000.0
2014.0,928923700000.0,928923700000.0,928923700000.0,928923700000.0
2015.0,915110360000.0,915110360000.0,915110360000.0,915110360000.0
2016.0,897954350000.0,897954350000.0,897954350000.0,897954350000.0
2017.0,886827100000.0,886827100000.0,886827100000.0,886827100000.0
2018.0,876229400000.0,876229400000.0,876229400000.0,876229400000.0
2019.0,868895300000.0,868895300000.0,868895300000.0,868895300000.0
2020.0,853284000000.0,853284000000.0,853284000000.0,853284000000.0
2021.0,854982300000.0,839652000000.0,846010250000.0,836056650000.0
2022.0,836419700000.0,832018500000.0,827431400000.0,820942900000.0
2023.0,823604740000.0,820047300000.0,819253100000.0,806568600000.0
2024.0,802159200000.0,815237560000.0,808298740000.0,805739000000.0
2025.0,791587650000.0,812407700000.0,793417740000.0,797586360000.0
2026.0,780445000000.0,795232000000.0,779910450000.0,793474200000.0
2027.0,782329000000.0,790401800000.0,768870840000.0,798226400000.0
2028.0,765531100000.0,786831050000.0,749621940000.0,790630240000.0
2029.0,750379700000.0,769408800000.0,741881800000.0,777790500000.0
2030.0,740578560000.0,751257650000.0,732632900000.0,762558400000.0
2031.0,714282100000.0,726090400000.0,722801600000.0,756926600000.0
2032.0,706359300000.0,709994800000.0,707801500000.0,753248600000.0
2033.0,685610240000.0,705162900000.0,692027500000.0,742110600000.0
2034.0,664269400000.0,679868760000.0,667454700000.0,733230100000.0
2035.0,648152600000.0,662467100000.0,655522400000.0,715229950000.0
2036.0,635097400000.0,647489200000.0,648174440000.0,695760800000.0
2037.0,624773230000.0,623173100000.0,635211500000.0,681571700000.0
2038.0,591873600000.0,600781360000.0,615414370000.0,658584440000.0
2039.0,573584900000.0,591201960000.0,609136300000.0,652357340000.0
2040.0,558233100000.0,578242740000.0,591173450000.0,635240800000.0
2041.0,543954470000.0,553526030000.0,581102900000.0,611810340000.0
2042.0,525132760000.0,544453800000.0,571990300000.0,593138200000.0
2043.0,506033830000.0,539255670000.0,564540800000.0,575288600000.0
2044.0,490442000000.0,522783030000.0,549262500000.0,554539550000.0
2045.0,471601580000.0,508555260000.0,538651430000.0,538506530000.0
2046.0,457990670000.0,496928260000.0,531838500000.0,522004370000.0
2047.0,452529200000.0,474371820000.0,520288400000.0,506382120000.0
2048.0,433164120000.0,457338160000.0,510732930000.0,488709520000.0
2049.0,419444330000.0,442715930000.0,508534950000.0,474686520000.0
2050.0,393692020000.0,426050500000.0,506642860000.0,455837750000.0
2051.0,376103800000.0,407097540000.0,494618180000.0,435328700000.0
2052.0,357376820000.0,384211030000.0,482851980000.0,411868730000.0
2053.0,342991770000.0,371566740000.0,473414600000.0,397308920000.0
2054.0,333874170000.0,354794540000.0,463746630000.0,380082030000.0
2055.0,320516200000.0,339598250000.0,455420150000.0,364756960000.0
2056.0,308118420000.0,326166680000.0,442879250000.0,353564160000.0
2057.0,291121860000.0,319203080000.0,432040480000.0,342758460000.0
2058.0,276176340000.0,307637060000.0,422505600000.0,330710650000.0
2059.0,266190900000.0,290831530000.0,403022000000.0,317939780000.0
2060.0,256819640000.0,276182960000.0,390967900000.0,299671160000.0
2061.0,249966020000.0,267424450000.0,377357530000.0,291464150000.0
2062.0,241235660000.0,255317340000.0,370012420000.0,276019480000.0
2063.0,233021260000.0,248563300000.0,359931200000.0,259685630000.0
2064.0,226772350000.0,242534450000.0,348807330000.0,248996130000.0
2065.0,217065010000.0,230450140000.0,335421540000.0,241833850000.0
2066.0,210706190000.0,218239010000.0,330009770000.0,232730460000.0
2067.0,203958450000.0,207610430000.0,323555460000.0,219659030000.0
2068.0,199212630000.0,198271680000.0,321311080000.0,206980280000.0
2069.0,195733620000.0,189356830000.0,310225800000.0,196988910000.0
2070.0,187844970000.0,179526630000.0,298470470000.0,189029730000.0
2071.0,182039180000.0,169711670000.0,291006940000.0,183035050000.0
2072.0,176349360000.0,166433360000.0,281439930000.0,171054470000.0
2073.0,171860440000.0,157689220000.0,282681280000.0,161427080000.0
2074.0,167751530000.0,148123830000.0,279944170000.0,151731340000.0
2075.0,162760570000.0,141297250000.0,276332870000.0,142499300000.0
2076.0,159858720000.0,136350170000.0,277533920000.0,137746240000.0
2077.0,154545950000.0,127781904000.0,274268000000.0,130188110000.0
2078.0,147702840000.0,120749580000.0,268653480000.0,123389890000.0
2079.0,141250450000.0,113816480000.0,265130250000.0,116952785000.0
2080.0,133149100000.0,109700650000.0,260125330000.0,111501160000.0
2081.0,125201460000.0,104242390000.0,254497950000.0,108310130000.0
2082.0,121350595000.0,95627970000.0,251580350000.0,102971360000.0
2083.0,118172470000.0,87694850000.0,248383130000.0,98881020000.0
2084.0,111279915000.0,83167945000.0,242172670000.0,93036020000.0
2085.0,105950814000.0,79473345000.0,235550850000.0,89528660000.0
2086.0,101314590000.0,74029130000.0,230753090000.0,84764860000.0
2087.0,97745750000.0,69030230000.0,226205600000.0,80560520000.0
2088.0,94406060000.0,64137363000.0,221636770000.0,75951020000.0
2089.0,91583504000.0,59416440000.0,219830270000.0,73047335000.0
2090.0,86969490000.0,54282140000.0,215711660000.0,69916000000.0
2091.0,82189380000.0,51052188000.0,211382030000.0,66583480000.0
2092.0,79783960000.0,49273760000.0,212095250000.0,62031524000.0
2093.0,77819410000.0,47899742000.0,207125300000.0,58765713000.0
2094.0,76286240000.0,46441110000.0,204859900000.0,58380540000.0
2095.0,72034030000.0,44423807000.0,204951570000.0,55261780000.0
2096.0,70048150000.0,42523406000.0,205051760000.0,53332312000.0
2097.0,66930127000.0,39129543000.0,202014310000.0,50278154000.0
2098.0,63665373000.0,36825490000.0,199480400000.0,47434818000.0
2099.0,61293310000.0,35663487000.0,199234700000.0,46277427000.0
2100.0,58952840000.0,33737654000.0,193625260000.0,45268760000.0
2101.0,56736560000.0,32100555000.0,188544860000.0,42842374000.0
2102.0,52748354000.0,29619067000.0,187576550000.0,42118180000.0
2103.0,52297814000.0,28721148000.0,183010570000.0,39456494000.0
2104.0,51721216000.0,28055320000.0,179426660000.0,38124440000.0
2105.0,48976620000.0,26855100000.0,178977230000.0,36632080000.0
2106.0,48330613000.0,24361392000.0,177853610000.0,34716200000.0
2107.0,45680267000.0,23319525000.0,175456730000.0,32885608000.0
2108.0,45482357000.0,20987531000.0,171206080000.0,32192866000.0
2109.0,43430167000.0,19786054000.0,172984630000.0,31108794000.0
2110.0,41951506000.0,19219268000.0,171653530000.0,29675776000.0
2111.0,40615182000.0,18196832000.0,167206850000.0,28798450000.0
2112.0,39830077000.0,18162348000.0,165829310000.0,26983911000.0
2113.0,39199540000.0,17925007000.0,160202340000.0,25305625000.0
2114.0,39150006000.0,17909762000.0,159939790000.0,24268382000.0
2115.0,37869126000.0,17574343000.0,156214120000.0,23090684000.0
2116.0,36332753000.0,17069382000.0,155473480000.0,22673807000.0
2117.0,35027845000.0,16621516000.0,152777420000.0,22407117000.0
2118.0,34907810000.0,16420090000.0,148179140000.0,21178384000.0
2119.0,33770100000.0,16150647000.0,144423830000.0,19843439000.0
2120.0,32420272000.0,16900256000.0,143193520000.0,19802618000.0
2121.0,30832296000.0,17472774000.0,143151840000.0,19235787000.0
