time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14532913000000.0,14477369000000.0,14557720000000.0
2022.0,14474868000000.0,14351333000000.0,14488576000000.0
2023.0,14432734000000.0,14305375000000.0,14418813000000.0
2024.0,14382938000000.0,14264035000000.0,14410133000000.0
2025.0,14321746000000.0,14164062000000.0,14369647000000.0
2026.0,14271709000000.0,14052832000000.0,14315297000000.0
2027.0,14238600000000.0,13947001000000.0,14238229000000.0
2028.0,14143820000000.0,13860982000000.0,14182723000000.0
2029.0,14049201000000.0,13770975000000.0,14093538000000.0
2030.0,13968298000000.0,13657502000000.0,13982516000000.0
2031.0,13896730000000.0,13542627000000.0,13921080000000.0
2032.0,13808729000000.0,13439972000000.0,13877637000000.0
2033.0,13713800000000.0,13313624000000.0,13812930000000.0
2034.0,13648391000000.0,13214980000000.0,13705772000000.0
2035.0,13520844000000.0,13085004000000.0,13637290000000.0
2036.0,13438157000000.0,12974886000000.0,13539114000000.0
2037.0,13393588000000.0,12882257000000.0,13457042000000.0
2038.0,13307615000000.0,12769837000000.0,13365063000000.0
2039.0,13216867000000.0,12683374000000.0,13272441000000.0
2040.0,13125135000000.0,12548596000000.0,13205973000000.0
2041.0,13062315000000.0,12456541000000.0,13147715000000.0
2042.0,12989154000000.0,12322160000000.0,13102485000000.0
2043.0,12908229000000.0,12175208000000.0,13020200000000.0
2044.0,12833998000000.0,12109398000000.0,12956873000000.0
2045.0,12732543000000.0,12038966000000.0,12866577000000.0
2046.0,12653234000000.0,11952994000000.0,12796307000000.0
2047.0,12541608000000.0,11878717000000.0,12732094000000.0
2048.0,12468447000000.0,11788729000000.0,12658101000000.0
2049.0,12388864000000.0,11689633000000.0,12591387000000.0
2050.0,12314529000000.0,11592386000000.0,12513824000000.0
2051.0,12274439000000.0,11513336000000.0,12408177000000.0
