time,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4
2000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14498949000000.0,14524582000000.0,14566938000000.0
2022.0,14485023000000.0,14429549000000.0,14532637000000.0
2023.0,14414270000000.0,14381960000000.0,14522778000000.0
2024.0,14356724000000.0,14369606000000.0,14470504000000.0
2025.0,14313078000000.0,14289917000000.0,14422755000000.0
2026.0,14275724000000.0,14234262000000.0,14398464000000.0
2027.0,14196461000000.0,14174428000000.0,14372521000000.0
2028.0,14129943000000.0,14098983000000.0,14327578000000.0
2029.0,14070360000000.0,14036953000000.0,14301702000000.0
2030.0,14021989000000.0,13982152000000.0,14247889000000.0
2031.0,13924957000000.0,13925150000000.0,14220745000000.0
2032.0,13847406000000.0,13913132000000.0,14191629000000.0
2033.0,13769152000000.0,13918659000000.0,14128876000000.0
2034.0,13670377000000.0,13841818000000.0,14151007000000.0
2035.0,13607764000000.0,13786476000000.0,14111984000000.0
2036.0,13536935000000.0,13735831000000.0,14076834000000.0
2037.0,13463962000000.0,13707660000000.0,14014409000000.0
2038.0,13333321000000.0,13626001000000.0,13969525000000.0
2039.0,13262959000000.0,13556450000000.0,13927862000000.0
2040.0,13174846000000.0,13452292000000.0,13891782000000.0
2041.0,13068595000000.0,13401658000000.0,13867230000000.0
2042.0,12954668000000.0,13345248000000.0,13859190000000.0
2043.0,12875290000000.0,13274469000000.0,13791335000000.0
2044.0,12700278000000.0,13219321000000.0,13718050000000.0
2045.0,12583071000000.0,13083582000000.0,13618635000000.0
2046.0,12476384000000.0,13009828000000.0,13555816000000.0
2047.0,12347106000000.0,12972200000000.0,13473774000000.0
2048.0,12223834000000.0,12871256000000.0,13338006000000.0
2049.0,12129220000000.0,12804181000000.0,13242907000000.0
2050.0,12041729000000.0,12748498000000.0,13194791000000.0
2051.0,11888788000000.0,12680338000000.0,13164830000000.0
