time,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,CESM1-CAM5
2000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3444726300000.0,3452540000000.0,3451186300000.0,3444119400000.0
2022.0,3423102000000.0,3443352000000.0,3435553600000.0,3416112200000.0
2023.0,3413691600000.0,3426988600000.0,3419372000000.0,3389708300000.0
2024.0,3397354500000.0,3425643500000.0,3406052500000.0,3370567000000.0
2025.0,3385487500000.0,3415328000000.0,3394917000000.0,3347371800000.0
2026.0,3375664700000.0,3408142000000.0,3385626500000.0,3329638500000.0
2027.0,3360931000000.0,3395893600000.0,3385741800000.0,3294930400000.0
2028.0,3346218400000.0,3372358000000.0,3376922800000.0,3275832700000.0
2029.0,3320724000000.0,3362820500000.0,3373497800000.0,3254340600000.0
2030.0,3304439000000.0,3338798600000.0,3376312500000.0,3228441000000.0
2031.0,3295514200000.0,3315368200000.0,3377074000000.0,3205276600000.0
2032.0,3279402800000.0,3294120600000.0,3371966100000.0,3166902700000.0
2033.0,3254969200000.0,3270194800000.0,3355510300000.0,3138701000000.0
2034.0,3230418900000.0,3247651700000.0,3346883400000.0,3104764900000.0
2035.0,3222792800000.0,3222252800000.0,3331151000000.0,3080244000000.0
2036.0,3207195000000.0,3202960600000.0,3315550000000.0,3059122400000.0
2037.0,3187258200000.0,3176665400000.0,3305139900000.0,3038224600000.0
2038.0,3173129700000.0,3152535600000.0,3296902500000.0,3017735000000.0
2039.0,3151550700000.0,3123020800000.0,3281557700000.0,2984269000000.0
2040.0,3135292000000.0,3096097800000.0,3263265800000.0,2963758400000.0
2041.0,3116630000000.0,3068588200000.0,3262210000000.0,2942920800000.0
2042.0,3096169000000.0,3047054000000.0,3247885500000.0,2917613400000.0
2043.0,3078721400000.0,3007851800000.0,3248719100000.0,2888592500000.0
2044.0,3064703700000.0,2977866400000.0,3223332000000.0,2860889000000.0
2045.0,3048520000000.0,2949238000000.0,3201332200000.0,2814782000000.0
2046.0,3024997600000.0,2913693900000.0,3189194400000.0,2783335400000.0
2047.0,2999112200000.0,2895218700000.0,3178700000000.0,2761928700000.0
2048.0,2982760000000.0,2877199200000.0,3162978400000.0,2722790400000.0
2049.0,2968889600000.0,2851706000000.0,3156157700000.0,2695867000000.0
2050.0,2949665800000.0,2819799400000.0,3163243400000.0,2679178300000.0
2051.0,2935019300000.0,2794001300000.0,3171350200000.0,2646778600000.0
2052.0,2909268300000.0,2763384000000.0,3164520800000.0,2610188000000.0
2053.0,2884321100000.0,2734701700000.0,3159058800000.0,2573985600000.0
