time,CESM1-CAM5,CANESM2,MPI-ESM-LR
2000.0,7517283000000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7247422000000.0,7262886700000.0,7265995000000.0
2022.0,7227287000000.0,7243767500000.0,7244238300000.0
2023.0,7207632500000.0,7211911000000.0,7226932000000.0
2024.0,7188984600000.0,7174816000000.0,7201077000000.0
2025.0,7177838000000.0,7159422600000.0,7179418500000.0
2026.0,7158400300000.0,7143922000000.0,7150309500000.0
2027.0,7130596000000.0,7130525500000.0,7106220000000.0
2028.0,7101142300000.0,7117671500000.0,7063515700000.0
2029.0,7077617000000.0,7091715600000.0,7037594000000.0
2030.0,7041183000000.0,7069763000000.0,7000761600000.0
2031.0,6996390000000.0,7074839300000.0,6969500400000.0
2032.0,6967262700000.0,7064080400000.0,6945175000000.0
2033.0,6930379600000.0,7042294600000.0,6939042400000.0
2034.0,6883775000000.0,7027035000000.0,6900461000000.0
2035.0,6839872000000.0,7015182600000.0,6880262000000.0
2036.0,6805695500000.0,7004386000000.0,6862518400000.0
2037.0,6753161300000.0,6970941600000.0,6848562300000.0
2038.0,6702231000000.0,6955014300000.0,6801764000000.0
2039.0,6663710400000.0,6932857400000.0,6761546000000.0
2040.0,6611321000000.0,6919364000000.0,6739307000000.0
2041.0,6559188400000.0,6886564000000.0,6707940400000.0
2042.0,6496014000000.0,6862728000000.0,6674763000000.0
2043.0,6443417700000.0,6816948000000.0,6654339300000.0
2044.0,6375498000000.0,6800963000000.0,6609832500000.0
2045.0,6310901300000.0,6783778700000.0,6577136000000.0
2046.0,6233697000000.0,6769961600000.0,6534651700000.0
2047.0,6181580000000.0,6757793400000.0,6497700000000.0
2048.0,6129876000000.0,6736811000000.0,6466071000000.0
2049.0,6074705400000.0,6706376000000.0,6436602000000.0
2050.0,5996184000000.0,6677274300000.0,6408217600000.0
2051.0,5969370700000.0,6653555500000.0,6368428000000.0
2052.0,5913386700000.0,6618377400000.0,6337140400000.0
2053.0,5859779000000.0,6596058400000.0,6312056300000.0
2054.0,5786979000000.0,6553269700000.0,6281053600000.0
2055.0,5692670300000.0,6536039500000.0,6238404000000.0
2056.0,5623882000000.0,6484344700000.0,6201070000000.0
2057.0,5579645000000.0,6451559400000.0,6173324000000.0
2058.0,5538950700000.0,6424073600000.0,6162455000000.0
2059.0,5489977000000.0,6398904600000.0,6138310000000.0
2060.0,5431154400000.0,6358731000000.0,6105056000000.0
2061.0,5369991500000.0,6345076500000.0,6070042000000.0
2062.0,5310581300000.0,6328669400000.0,6057153000000.0
2063.0,5254433700000.0,6319019000000.0,6035221000000.0
2064.0,5219664000000.0,6262085000000.0,6009784000000.0
2065.0,5177195000000.0,6252935000000.0,5985712000000.0
2066.0,5120616000000.0,6215385000000.0,5955709000000.0
2067.0,5069177000000.0,6188774000000.0,5929338700000.0
2068.0,5015816600000.0,6166344600000.0,5912824000000.0
2069.0,4979299500000.0,6137587000000.0,5894182000000.0
2070.0,4929654000000.0,6114419700000.0,5872481000000.0
2071.0,4858008600000.0,6091813400000.0,5837269500000.0
2072.0,4817060600000.0,6053779500000.0,5802201000000.0
2073.0,4770280000000.0,6006098000000.0,5788954000000.0
2074.0,4724396000000.0,5983624500000.0,5763587600000.0
2075.0,4676296000000.0,5956582000000.0,5730333000000.0
2076.0,4630818300000.0,5935743400000.0,5696838400000.0
2077.0,4593723000000.0,5907731000000.0,5666951400000.0
2078.0,4562427000000.0,5854106500000.0,5645605000000.0
2079.0,4517470400000.0,5820535300000.0,5627282700000.0
2080.0,4474080000000.0,5790496700000.0,5604419000000.0
2081.0,4432805000000.0,5742575000000.0,5581145400000.0
2082.0,4386820000000.0,5702976000000.0,5543166000000.0
2083.0,4350662100000.0,5680406700000.0,5529887000000.0
2084.0,4302121700000.0,5660358500000.0,5494499000000.0
2085.0,4260664000000.0,5630195700000.0,5474082600000.0
2086.0,4213866500000.0,5593766600000.0,5459944000000.0
2087.0,4184299500000.0,5559668400000.0,5433981000000.0
2088.0,4138229300000.0,5514408000000.0,5410428300000.0
2089.0,4101026000000.0,5468399000000.0,5410721000000.0
2090.0,4079760400000.0,5441459000000.0,5395469000000.0
2091.0,4039234300000.0,5409932000000.0,5368436500000.0
2092.0,4005316800000.0,5399589000000.0,5347236000000.0
2093.0,3961781500000.0,5381417000000.0,5331833300000.0
2094.0,3932835500000.0,5369544300000.0,5306904500000.0
2095.0,3890082200000.0,5350086400000.0,5285784000000.0
2096.0,3851822000000.0,5328551300000.0,5260206000000.0
2097.0,3814928700000.0,5305396600000.0,5229954000000.0
2098.0,3762017500000.0,5279407700000.0,5200912300000.0
2099.0,3735616500000.0,5256671000000.0,5181152000000.0
2100.0,3696611600000.0,5248175000000.0,5157122000000.0
2101.0,3668636300000.0,5239629000000.0,5139992700000.0
2102.0,3625500500000.0,5217193000000.0,5126229600000.0
2103.0,3581312200000.0,5195776000000.0,5113241400000.0
2104.0,3539251000000.0,5186824000000.0,5102363000000.0
2105.0,3497663000000.0,5157024700000.0,5086531600000.0
2106.0,3455440000000.0,5108642000000.0,5072627400000.0
2107.0,3422257000000.0,5085934000000.0,5042923000000.0
2108.0,3389399800000.0,5068836300000.0,5013553000000.0
2109.0,3356682600000.0,5050934500000.0,4985182000000.0
2110.0,3327767300000.0,5037568300000.0,4962953700000.0
2111.0,3283601300000.0,5026120000000.0,4926022000000.0
2112.0,3245664600000.0,5013821000000.0,4900414600000.0
2113.0,3199030500000.0,4982290000000.0,4889577500000.0
2114.0,3164143000000.0,4951971000000.0,4860633700000.0
2115.0,3123693200000.0,4944535500000.0,4851209600000.0
2116.0,3077233200000.0,4905497000000.0,4822911700000.0
2117.0,3051152000000.0,4888889000000.0,4803167500000.0
2118.0,3014945100000.0,4872370000000.0,4779315000000.0
2119.0,2987154000000.0,4863371000000.0,4758079000000.0
