time,CESM1-CAM5,CCSM4
2000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0
2021.0,7262816000000.0,7263176600000.0
2022.0,7236931300000.0,7249701000000.0
2023.0,7223601000000.0,7240906400000.0
2024.0,7195076300000.0,7232945000000.0
2025.0,7184779300000.0,7204901500000.0
2026.0,7167424300000.0,7186693000000.0
2027.0,7166874000000.0,7176616000000.0
2028.0,7158958700000.0,7165661700000.0
2029.0,7144143300000.0,7157268300000.0
2030.0,7116205000000.0,7129404000000.0
2031.0,7108162000000.0,7087774000000.0
2032.0,7099591400000.0,7064846000000.0
2033.0,7070867000000.0,7040693000000.0
2034.0,7058169500000.0,7018690600000.0
2035.0,7028006700000.0,6981455700000.0
2036.0,6990676000000.0,6959741000000.0
2037.0,6964431600000.0,6942907000000.0
2038.0,6943683400000.0,6907120600000.0
2039.0,6922566600000.0,6885568700000.0
2040.0,6887722500000.0,6852832000000.0
2041.0,6869941000000.0,6822079000000.0
2042.0,6834923000000.0,6805629000000.0
2043.0,6804599700000.0,6786797500000.0
2044.0,6759066000000.0,6741369600000.0
2045.0,6706468000000.0,6703042500000.0
2046.0,6650847000000.0,6680600000000.0
2047.0,6612955000000.0,6627466400000.0
2048.0,6604927300000.0,6611382300000.0
2049.0,6575805000000.0,6592719000000.0
2050.0,6532393600000.0,6561174400000.0
2051.0,6499703700000.0,6531702000000.0
2052.0,6465750300000.0,6505888000000.0
2053.0,6432001400000.0,6460839300000.0
2054.0,6381266500000.0,6402914400000.0
2055.0,6352182000000.0,6378553300000.0
2056.0,6327840500000.0,6352726000000.0
2057.0,6290970000000.0,6289020700000.0
2058.0,6243304300000.0,6269190000000.0
2059.0,6216080700000.0,6248346000000.0
2060.0,6162053300000.0,6227015000000.0
2061.0,6118984600000.0,6172595000000.0
2062.0,6066981600000.0,6122811000000.0
2063.0,6018184000000.0,6084753400000.0
2064.0,5965320600000.0,6040877300000.0
2065.0,5900649600000.0,6009017000000.0
