time,MPI-ESM-LR,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0
2000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0
2001.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0
2002.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0
2003.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0
2004.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0
2005.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0
2006.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0
2007.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0
2008.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0
2009.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0
2010.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0
2011.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0
2012.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0
2013.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0
2014.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0
2015.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0
2016.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0
2017.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0
2018.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0
2019.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0
2020.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0
2021.0,259048570000.0,259803610000.0,256519360000.0,261195200000.0
2022.0,253557770000.0,258472230000.0,251285490000.0,260427220000.0
2023.0,251468740000.0,253783720000.0,247197240000.0,259584570000.0
2024.0,250595970000.0,252004480000.0,244876500000.0,257900100000.0
2025.0,248179310000.0,250597930000.0,242151690000.0,257233000000.0
2026.0,248209110000.0,249161860000.0,239230340000.0,252850800000.0
2027.0,243954550000.0,248157570000.0,232490630000.0,250622620000.0
2028.0,242462380000.0,244687750000.0,233212670000.0,247582980000.0
2029.0,238679500000.0,242442170000.0,228538220000.0,244399490000.0
2030.0,236857520000.0,238872460000.0,224564740000.0,241105630000.0
2031.0,235318440000.0,236214160000.0,220254010000.0,238796690000.0
2032.0,233004220000.0,233562750000.0,215365170000.0,236778950000.0
2033.0,229809260000.0,229740090000.0,213657370000.0,232515520000.0
2034.0,227088760000.0,228380620000.0,207562340000.0,230073380000.0
2035.0,223736550000.0,223981620000.0,203208560000.0,226573660000.0
2036.0,219510100000.0,220664450000.0,198770030000.0,223226500000.0
