time,CANESM2,CESM1-CAM5,MPI-ESM-LR
2000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0
2021.0,103924200000.0,103804764000.0,102635930000.0
2022.0,101440930000.0,100250590000.0,99738090000.0
2023.0,99749500000.0,100211930000.0,97539570000.0
2024.0,97636565000.0,97038434000.0,96062430000.0
2025.0,94954920000.0,95880940000.0,94186800000.0
2026.0,91900740000.0,93448946000.0,92658510000.0
2027.0,89529230000.0,90702200000.0,90223330000.0
2028.0,87290130000.0,90132600000.0,88121810000.0
2029.0,84769240000.0,88138250000.0,84608850000.0
2030.0,82321334000.0,86218400000.0,82237510000.0
2031.0,79114320000.0,83295260000.0,80341010000.0
2032.0,76846690000.0,81261170000.0,78851870000.0
2033.0,75343670000.0,78660690000.0,76685350000.0
2034.0,73264860000.0,77123460000.0,74469425000.0
2035.0,71936310000.0,74829070000.0,71982400000.0
2036.0,69361960000.0,71755900000.0,70190190000.0
2037.0,66827137000.0,70451510000.0,69235530000.0
2038.0,64777593000.0,69191655000.0,67247776000.0
2039.0,62598947000.0,68251992000.0,65647310000.0
2040.0,60499240000.0,66024370000.0,64178400000.0
2041.0,58666170000.0,65366962000.0,62139785000.0
2042.0,56813707000.0,63726300000.0,61077733000.0
2043.0,55500317000.0,62564196000.0,59588375000.0
2044.0,54454740000.0,61587358000.0,57890763000.0
2045.0,52175983000.0,59191980000.0,56487576000.0
2046.0,51011437000.0,57088786000.0,54777940000.0
2047.0,49055480000.0,55578380000.0,53161476000.0
2048.0,47202290000.0,54395314000.0,51672486000.0
