time,CESM1-CAM5,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0
2021.0,104712100000.0,103964540000.0,102318120000.0,104681330000.0
2022.0,102733460000.0,102443300000.0,100210430000.0,102086525000.0
2023.0,100404910000.0,100289630000.0,97830920000.0,99437306000.0
2024.0,97685400000.0,99267570000.0,95198870000.0,96544350000.0
2025.0,95497540000.0,96930330000.0,92769130000.0,94502260000.0
2026.0,93477730000.0,94833150000.0,91013145000.0,93217770000.0
2027.0,91800590000.0,92481500000.0,87919020000.0,90862354000.0
2028.0,89644410000.0,90466850000.0,86004850000.0,89674470000.0
2029.0,87367960000.0,88574886000.0,84262360000.0,88726970000.0
2030.0,86972514000.0,85127500000.0,82213280000.0,86974480000.0
2031.0,84961810000.0,83273380000.0,80455550000.0,84852980000.0
2032.0,82536280000.0,82380350000.0,78029365000.0,83293650000.0
2033.0,79021770000.0,80901825000.0,76882200000.0,82013676000.0
2034.0,77567975000.0,78313350000.0,75110410000.0,80081960000.0
2035.0,75595590000.0,75884085000.0,73535810000.0,77894754000.0
2036.0,73312650000.0,74355876000.0,72071730000.0,76113690000.0
2037.0,71473095000.0,71439245000.0,71066400000.0,73908660000.0
2038.0,68936280000.0,68659430000.0,69582710000.0,71597105000.0
2039.0,66658900000.0,67249955000.0,66909220000.0,69031390000.0
2040.0,64261430000.0,66155758000.0,64534802000.0,67428917000.0
2041.0,61576376000.0,64967344000.0,62813850000.0,66013360000.0
2042.0,59219096000.0,63648690000.0,60269450000.0,63547090000.0
2043.0,57266516000.0,62302167000.0,59242770000.0,61334176000.0
2044.0,55915688000.0,60468924000.0,57621475000.0,59421905000.0
2045.0,53887554000.0,58162780000.0,56319975000.0,57593180000.0
2046.0,52014166000.0,56997868000.0,54630273000.0,56026510000.0
2047.0,49795850000.0,55868290000.0,52066685000.0,54224716000.0
2048.0,47838364000.0,53960890000.0,50650833000.0,52616210000.0
2049.0,46040973000.0,53325550000.0,49125780000.0,50575753000.0
2050.0,44726514000.0,51867520000.0,47721857000.0,48387125000.0
