time,CCSM4,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0
2021.0,103998456000.0,103898520000.0,103942750000.0
2022.0,102285710000.0,102682150000.0,102206330000.0
2023.0,100066450000.0,100769210000.0,101157730000.0
2024.0,98118150000.0,100280220000.0,100972090000.0
2025.0,96205090000.0,100008890000.0,99463790000.0
2026.0,94052655000.0,99150586000.0,96635716000.0
2027.0,92739970000.0,97077570000.0,93757830000.0
2028.0,90661330000.0,95452955000.0,92525910000.0
2029.0,87372910000.0,92940214000.0,90837840000.0
2030.0,85348870000.0,92441790000.0,89456920000.0
2031.0,81856910000.0,91825180000.0,88292884000.0
2032.0,79723856000.0,89562956000.0,87565720000.0
2033.0,77404815000.0,88310870000.0,85135680000.0
2034.0,74833300000.0,86182990000.0,82394500000.0
2035.0,73286520000.0,85270300000.0,80755190000.0
2036.0,70744390000.0,83208544000.0,79987170000.0
2037.0,68730270000.0,81439530000.0,76521320000.0
2038.0,66163180000.0,79733916000.0,75126460000.0
2039.0,65206020000.0,76895320000.0,73796430000.0
2040.0,62086713000.0,75710540000.0,71698860000.0
2041.0,59604947000.0,72682760000.0,69482880000.0
2042.0,56800900000.0,71723890000.0,67984250000.0
2043.0,54792910000.0,70306365000.0,65558240000.0
2044.0,53430956000.0,68073580000.0,63690430000.0
2045.0,50709856000.0,67020480000.0,62607868000.0
2046.0,48519234000.0,65072330000.0,61270966000.0
2047.0,46272840000.0,63123562000.0,58561688000.0
2048.0,44183933000.0,60768784000.0,56592757000.0
