time,CSIRO-MK3-6-0,MPI-ESM-LR,NORESM1-M,CESM1-CAM5
2000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0
2001.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0
2002.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0
2003.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0
2004.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0
2005.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0
2006.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0
2007.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0
2008.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0
2009.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0
2010.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0
2011.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0
2012.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0
2013.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0
2014.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0
2015.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0
2016.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0
2017.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0
2018.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0
2019.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0
2020.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0
2021.0,87590210000.0,88314830000.0,89324880000.0,88671200000.0
2022.0,85165190000.0,88808380000.0,88196460000.0,83746130000.0
2023.0,81924650000.0,85295250000.0,85244440000.0,82413140000.0
2024.0,80548440000.0,85376030000.0,82664100000.0,80733170000.0
2025.0,78051870000.0,85829470000.0,78887805000.0,77278716000.0
2026.0,75718890000.0,86436635000.0,75135920000.0,73970385000.0
2027.0,69703590000.0,89079595000.0,71534020000.0,73410010000.0
2028.0,66627265000.0,88522785000.0,72242310000.0,67655930000.0
2029.0,68317420000.0,85859830000.0,69429250000.0,64220733000.0
2030.0,63715650000.0,83292640000.0,67143885000.0,63813243000.0
2031.0,61687017000.0,81468600000.0,64471530000.0,61422248000.0
2032.0,60995936000.0,77182580000.0,61740155000.0,58643292000.0
2033.0,58520306000.0,75802820000.0,59859374000.0,54284505000.0
2034.0,56739144000.0,73365960000.0,57338315000.0,52525100000.0
2035.0,52425190000.0,70276170000.0,55461175000.0,50561778000.0
2036.0,51570024000.0,69991210000.0,54882284000.0,48418374000.0
2037.0,51691557000.0,69227600000.0,53665575000.0,48660770000.0
2038.0,49876726000.0,66873230000.0,51233740000.0,45923713000.0
2039.0,48163720000.0,64692480000.0,49353507000.0,44515885000.0
2040.0,47083364000.0,61160420000.0,47742198000.0,43755033000.0
2041.0,46371670000.0,61005885000.0,44297910000.0,42485140000.0
2042.0,44525530000.0,60695704000.0,41863012000.0,41918804000.0
2043.0,40636264000.0,57153880000.0,40873894000.0,41455276000.0
2044.0,37891613000.0,54341330000.0,40369090000.0,39950954000.0
2045.0,37360247000.0,53026700000.0,37677584000.0,38136770000.0
2046.0,37421830000.0,52374170000.0,36399180000.0,38101717000.0
2047.0,36788930000.0,51039760000.0,34721554000.0,34977006000.0
2048.0,35228877000.0,50403746000.0,33199480000.0,33836726000.0
