time,CSIRO-MK3-6-0,CESM1-CAM5,NORESM1-M,MPI-ESM-LR
2000.0,61370253000.0,61370253000.0,61370253000.0,61257167000.0
2001.0,60266156000.0,60266156000.0,60266156000.0,60153344000.0
2002.0,60257972000.0,60257972000.0,60257972000.0,60145156000.0
2003.0,60362590000.0,60362590000.0,60362590000.0,60249498000.0
2004.0,60688806000.0,60688806000.0,60688806000.0,60575064000.0
2005.0,61459644000.0,61459644000.0,61459644000.0,61342052000.0
2006.0,62255137000.0,62255137000.0,62255137000.0,62137946000.0
2007.0,61750284000.0,61750284000.0,61750284000.0,61631660000.0
2008.0,60903133000.0,60903133000.0,60903133000.0,60782710000.0
2009.0,60406890000.0,60406890000.0,60406890000.0,60289425000.0
2010.0,61033560000.0,61033560000.0,61033560000.0,60915630000.0
2011.0,59106517000.0,59106517000.0,59106517000.0,58991460000.0
2012.0,58344874000.0,58344874000.0,58344874000.0,58230137000.0
2013.0,56778576000.0,56778576000.0,56778576000.0,56665096000.0
2014.0,56274514000.0,56274514000.0,56274514000.0,56163127000.0
2015.0,54758440000.0,54758440000.0,54758440000.0,54650600000.0
2016.0,53108044000.0,53108044000.0,53108044000.0,53001870000.0
2017.0,52618396000.0,52618396000.0,52618396000.0,52513040000.0
2018.0,51351860000.0,51351860000.0,51351860000.0,51252146000.0
2019.0,49759986000.0,49759986000.0,49759986000.0,49662230000.0
2020.0,48214462000.0,48214462000.0,48214462000.0,48115680000.0
2021.0,47284666000.0,48132630000.0,46612940000.0,47094366000.0
2022.0,46335676000.0,47497880000.0,46136398000.0,48276280000.0
2023.0,45581066000.0,48150495000.0,45351870000.0,48496060000.0
2024.0,44845360000.0,46871810000.0,45379826000.0,47194943000.0
2025.0,43315330000.0,44995727000.0,43938406000.0,46604505000.0
2026.0,42013850000.0,44395110000.0,43006157000.0,47623844000.0
2027.0,41694430000.0,44125356000.0,41397310000.0,46254590000.0
2028.0,41417720000.0,42877880000.0,40299620000.0,45152584000.0
2029.0,40558350000.0,41726517000.0,39272636000.0,43839140000.0
2030.0,40251634000.0,39688320000.0,38907420000.0,41880800000.0
2031.0,38568760000.0,38962690000.0,39102790000.0,39507632000.0
2032.0,37945370000.0,39090754000.0,38707917000.0,38465237000.0
2033.0,36416370000.0,37488628000.0,37518533000.0,38031376000.0
2034.0,35403650000.0,36212820000.0,37042660000.0,37339650000.0
2035.0,33508670000.0,35779700000.0,35330195000.0,36680303000.0
2036.0,32306872000.0,36128535000.0,34781487000.0,36642402000.0
2037.0,30995782000.0,35086580000.0,33592672000.0,37023480000.0
2038.0,29678453000.0,34339805000.0,32359846000.0,36349310000.0
2039.0,28423805000.0,33747853000.0,31440260000.0,34458735000.0
2040.0,27860337000.0,32611332000.0,30523353000.0,33895766000.0
2041.0,26261537000.0,32346098000.0,30227984000.0,33736833000.0
2042.0,24708725000.0,31198188000.0,29351016000.0,32799527000.0
2043.0,24791222000.0,29931977000.0,27839615000.0,32770850000.0
2044.0,23967690000.0,28855347000.0,26512042000.0,32222160000.0
2045.0,22881083000.0,28063896000.0,25331806000.0,31751062000.0
2046.0,21515895000.0,26960454000.0,24255574000.0,31886029000.0
2047.0,20557097000.0,25947228000.0,23760000000.0,31050203000.0
2048.0,18864206000.0,25228999000.0,23349891000.0,30455024000.0
2049.0,17868050000.0,24352573000.0,21903286000.0,29220624000.0
2050.0,17828917000.0,23541189000.0,21699561000.0,29721434000.0
2051.0,17459370000.0,22924990000.0,21377671000.0,28682244000.0
2052.0,17242570000.0,23289823000.0,20810850000.0,27987075000.0
