time,CSIRO-MK3-6-0,CCSM4,MPI-ESM-LR
2000.0,61370253000.0,61370253000.0,61092260000.0
2001.0,60266156000.0,60266156000.0,59993027000.0
2002.0,60257972000.0,60257972000.0,59984660000.0
2003.0,60362590000.0,60362590000.0,60086997000.0
2004.0,60688806000.0,60688806000.0,60410933000.0
2005.0,61459644000.0,61459644000.0,61170078000.0
2006.0,62255137000.0,62255137000.0,61962252000.0
2007.0,61750284000.0,61750284000.0,61449576000.0
2008.0,60903133000.0,60903133000.0,60599610000.0
2009.0,60406890000.0,60406890000.0,60115110000.0
2010.0,61033560000.0,61033560000.0,60739805000.0
2011.0,59106517000.0,59106517000.0,58820923000.0
2012.0,58344874000.0,58344874000.0,58058924000.0
2013.0,56778576000.0,56778576000.0,56494514000.0
2014.0,56274514000.0,56274514000.0,55994053000.0
2015.0,54758440000.0,54758440000.0,54483284000.0
2016.0,53108044000.0,53108044000.0,52834430000.0
2017.0,52618396000.0,52618396000.0,52347904000.0
2018.0,51351860000.0,51351860000.0,51093524000.0
2019.0,49759986000.0,49759986000.0,49509060000.0
2020.0,48214462000.0,48214462000.0,47960570000.0
2021.0,47279575000.0,47048490000.0,48136507000.0
2022.0,46434830000.0,45640544000.0,48336572000.0
2023.0,45407515000.0,45813980000.0,47961928000.0
2024.0,47186710000.0,44181246000.0,46052750000.0
2025.0,46651793000.0,42644260000.0,44823370000.0
2026.0,45322064000.0,42090870000.0,44280357000.0
2027.0,44004397000.0,41312866000.0,42610065000.0
2028.0,44938430000.0,39973577000.0,42490780000.0
2029.0,43739060000.0,39440757000.0,42545070000.0
2030.0,43149414000.0,38261735000.0,42064896000.0
2031.0,42408750000.0,36616590000.0,42112385000.0
2032.0,39746793000.0,35302960000.0,40461124000.0
2033.0,39205770000.0,35154790000.0,38895387000.0
2034.0,36819018000.0,33865742000.0,39090553000.0
2035.0,35480887000.0,33064659000.0,38955823000.0
2036.0,33259090000.0,31447636000.0,39395013000.0
