time,CANESM2,MPI-ESM-LR,CESM1-CAM5
2000.0,3304243600000.0,3291639000000.0,3304243600000.0
2001.0,3298406000000.0,3285852400000.0,3298406000000.0
2002.0,3286188200000.0,3273699600000.0,3286188200000.0
2003.0,3281301300000.0,3268592800000.0,3281301300000.0
2004.0,3292180300000.0,3279084600000.0,3292180300000.0
2005.0,3295315000000.0,3282083000000.0,3295315000000.0
2006.0,3288615400000.0,3275456800000.0,3288615400000.0
2007.0,3267074700000.0,3254010800000.0,3267074700000.0
2008.0,3246946500000.0,3234058700000.0,3246946500000.0
2009.0,3223646000000.0,3211169000000.0,3223646000000.0
2010.0,3209073000000.0,3196515300000.0,3209073000000.0
2011.0,3206808600000.0,3194339200000.0,3206808600000.0
2012.0,3186851600000.0,3174570100000.0,3186851600000.0
2013.0,3162704200000.0,3150552200000.0,3162704200000.0
2014.0,3150483300000.0,3138319300000.0,3150483300000.0
2015.0,3140227200000.0,3128015500000.0,3140227200000.0
2016.0,3128400500000.0,3116133000000.0,3128400500000.0
2017.0,3119231300000.0,3106948300000.0,3119231300000.0
2018.0,3112506000000.0,3100260200000.0,3112506000000.0
2019.0,3099222600000.0,3087003800000.0,3099222600000.0
2020.0,3086835000000.0,3074530200000.0,3086835000000.0
2021.0,3072599800000.0,3058064000000.0,3061390800000.0
2022.0,3069798000000.0,3038053700000.0,3035375600000.0
2023.0,3034247300000.0,3002229600000.0,2998451600000.0
2024.0,3019120300000.0,2993712000000.0,2956445600000.0
2025.0,2979597400000.0,2965339600000.0,2939624400000.0
2026.0,2983752400000.0,2926774000000.0,2923937100000.0
2027.0,2945260700000.0,2900419400000.0,2888511500000.0
2028.0,2916314800000.0,2884719000000.0,2848347400000.0
2029.0,2862930000000.0,2844563600000.0,2813267300000.0
2030.0,2868597800000.0,2817420700000.0,2798237500000.0
2031.0,2823036000000.0,2795745300000.0,2766201200000.0
2032.0,2779412200000.0,2772166500000.0,2724194700000.0
2033.0,2729175400000.0,2725012300000.0,2702359000000.0
2034.0,2719340000000.0,2699549500000.0,2663625300000.0
2035.0,2689810800000.0,2694741800000.0,2627762400000.0
2036.0,2679382200000.0,2682000500000.0,2604446500000.0
2037.0,2639669800000.0,2684970300000.0,2571197200000.0
2038.0,2611445800000.0,2658951000000.0,2546362200000.0
2039.0,2576585000000.0,2638878900000.0,2525235500000.0
2040.0,2541613200000.0,2611888800000.0,2506768000000.0
2041.0,2498947700000.0,2582984000000.0,2477805300000.0
2042.0,2456870500000.0,2549922700000.0,2430794700000.0
2043.0,2408387700000.0,2546646600000.0,2372099400000.0
2044.0,2378856000000.0,2542393000000.0,2349490000000.0
2045.0,2358293000000.0,2525720700000.0,2324097100000.0
2046.0,2321811200000.0,2487488000000.0,2275979300000.0
2047.0,2310867500000.0,2477268100000.0,2243476300000.0
2048.0,2276252700000.0,2492641300000.0,2245888600000.0
2049.0,2243419700000.0,2439493700000.0,2245084300000.0
2050.0,2223607000000.0,2420238200000.0,2208766400000.0
2051.0,2225033000000.0,2399542000000.0,2191790400000.0
2052.0,2186926000000.0,2381013600000.0,2179982200000.0
2053.0,2147030500000.0,2345228600000.0,2159841000000.0
2054.0,2116623900000.0,2305253000000.0,2122531200000.0
2055.0,2089499900000.0,2278773800000.0,2080074500000.0
2056.0,2069580700000.0,2262868400000.0,2052798800000.0
2057.0,2044575600000.0,2249493800000.0,2043992900000.0
2058.0,2011433900000.0,2235814000000.0,2009447100000.0
2059.0,2004612000000.0,2208263300000.0,1980131300000.0
2060.0,1996033900000.0,2203925300000.0,1961859600000.0
2061.0,1963062600000.0,2179640300000.0,1935908400000.0
2062.0,1942578700000.0,2183626500000.0,1914576800000.0
2063.0,1896270100000.0,2187066500000.0,1898885500000.0
2064.0,1862269400000.0,2186080700000.0,1868959400000.0
2065.0,1848882400000.0,2182171300000.0,1848976200000.0
2066.0,1826846000000.0,2186297000000.0,1821513000000.0
2067.0,1811343000000.0,2187975600000.0,1811574700000.0
2068.0,1812333200000.0,2186619000000.0,1793143100000.0
2069.0,1789484000000.0,2188374800000.0,1774725200000.0
2070.0,1762420600000.0,2168528800000.0,1756545500000.0
2071.0,1746028200000.0,2159743500000.0,1729913200000.0
2072.0,1727251300000.0,2166146700000.0,1715601400000.0
2073.0,1713838000000.0,2177166500000.0,1692002800000.0
2074.0,1717388700000.0,2189459800000.0,1668144300000.0
2075.0,1692298500000.0,2202997000000.0,1655189700000.0
2076.0,1689874100000.0,2188521900000.0,1656816900000.0
2077.0,1681646600000.0,2187232800000.0,1646735400000.0
2078.0,1663398000000.0,2199265700000.0,1632890100000.0
2079.0,1655534900000.0,2193495600000.0,1629393100000.0
2080.0,1645334100000.0,2190590500000.0,1623329300000.0
2081.0,1643539700000.0,2195580500000.0,1607264600000.0
2082.0,1627831400000.0,2214087000000.0,1587178000000.0
2083.0,1616103200000.0,2205277200000.0,1575028500000.0
2084.0,1611071500000.0,2199021800000.0,1557508500000.0
2085.0,1612817600000.0,2188919000000.0,1530204100000.0
2086.0,1606323300000.0,2189787100000.0,1512286000000.0
2087.0,1581055500000.0,2200004000000.0,1509743700000.0
2088.0,1568826200000.0,2211022400000.0,1506666300000.0
2089.0,1572872900000.0,2237217400000.0,1497833800000.0
2090.0,1559048900000.0,2228820600000.0,1496360200000.0
2091.0,1564859700000.0,2218321200000.0,1501504100000.0
