time,CESM1-CAM5,MPI-ESM-LR,CANESM2
2000.0,2879639000000.0,2879241000000.0,2878510200000.0
2001.0,2863042400000.0,2862661000000.0,2861955300000.0
2002.0,2843442000000.0,2843073800000.0,2842376500000.0
2003.0,2831192200000.0,2830827800000.0,2830132300000.0
2004.0,2841328200000.0,2840944200000.0,2840248000000.0
2005.0,2837937000000.0,2837550700000.0,2836855000000.0
2006.0,2844656000000.0,2844264500000.0,2843567200000.0
2007.0,2843355400000.0,2842958800000.0,2842266700000.0
2008.0,2820618600000.0,2820231100000.0,2819542200000.0
2009.0,2818957600000.0,2818566800000.0,2817877300000.0
2010.0,2809623500000.0,2809234500000.0,2808550300000.0
2011.0,2823182000000.0,2822784400000.0,2822121700000.0
2012.0,2812761000000.0,2812367600000.0,2811711500000.0
2013.0,2795668800000.0,2795280300000.0,2794630700000.0
2014.0,2783367400000.0,2782985000000.0,2782336600000.0
2015.0,2784162000000.0,2783775800000.0,2783129000000.0
2016.0,2806699300000.0,2806277500000.0,2805633600000.0
2017.0,2784417300000.0,2784022200000.0,2783394700000.0
2018.0,2783591000000.0,2783196200000.0,2782573000000.0
2019.0,2770726300000.0,2770345100000.0,2769746100000.0
2020.0,2775568400000.0,2775172300000.0,2774574800000.0
2021.0,2770256500000.0,2775291000000.0,2791513000000.0
2022.0,2760450500000.0,2767952800000.0,2769004800000.0
2023.0,2741514000000.0,2737628500000.0,2749483700000.0
2024.0,2732382700000.0,2740203000000.0,2753595000000.0
2025.0,2725918000000.0,2723398500000.0,2733829800000.0
2026.0,2716827600000.0,2701492000000.0,2729798500000.0
2027.0,2674228200000.0,2687138500000.0,2712689400000.0
2028.0,2633238000000.0,2672309300000.0,2682559700000.0
2029.0,2628405400000.0,2651020300000.0,2645222800000.0
2030.0,2622563500000.0,2632131300000.0,2641644700000.0
2031.0,2589763000000.0,2618475000000.0,2616253700000.0
2032.0,2549747500000.0,2602168700000.0,2572085000000.0
2033.0,2533699000000.0,2576507000000.0,2537336600000.0
2034.0,2511864000000.0,2558145600000.0,2529188000000.0
2035.0,2497015000000.0,2546553300000.0,2497154000000.0
2036.0,2470016500000.0,2534282600000.0,2462792800000.0
2037.0,2425384300000.0,2519577400000.0,2446919000000.0
2038.0,2394292200000.0,2507885500000.0,2428112500000.0
2039.0,2388074400000.0,2492369700000.0,2398695700000.0
2040.0,2384778800000.0,2467792700000.0,2372042200000.0
2041.0,2353061700000.0,2444477600000.0,2345826800000.0
2042.0,2320593800000.0,2416654000000.0,2317223000000.0
2043.0,2279782000000.0,2428552000000.0,2293014700000.0
2044.0,2252499600000.0,2422892400000.0,2277595200000.0
2045.0,2226678400000.0,2407072800000.0,2277251200000.0
2046.0,2192672000000.0,2371256800000.0,2237696800000.0
2047.0,2160782500000.0,2357872800000.0,2213788000000.0
2048.0,2157465400000.0,2359510200000.0,2183180700000.0
2049.0,2151166000000.0,2325150400000.0,2156112900000.0
2050.0,2122168900000.0,2306482600000.0,2163002600000.0
2051.0,2098425500000.0,2285159300000.0,2166997100000.0
2052.0,2087767200000.0,2267859000000.0,2143893200000.0
2053.0,2081537500000.0,2245097200000.0,2114325400000.0
2054.0,2057968300000.0,2229733400000.0,2100175200000.0
2055.0,2019567900000.0,2202277500000.0,2080553000000.0
2056.0,2000852000000.0,2202058000000.0,2055789000000.0
2057.0,2008814600000.0,2189172900000.0,2042637700000.0
2058.0,1976081400000.0,2176823300000.0,2005011700000.0
2059.0,1959065800000.0,2153835900000.0,1992903500000.0
2060.0,1944863600000.0,2144597400000.0,1970528300000.0
2061.0,1926791800000.0,2127104600000.0,1933864700000.0
