time,CCSM4,CESM1-CAM5
2000.0,2879639000000.0,2879639000000.0
2001.0,2863042400000.0,2863042400000.0
2002.0,2843442000000.0,2843442000000.0
2003.0,2831192200000.0,2831192200000.0
2004.0,2841328200000.0,2841328200000.0
2005.0,2837937000000.0,2837937000000.0
2006.0,2844656000000.0,2844656000000.0
2007.0,2843355400000.0,2843355400000.0
2008.0,2820618600000.0,2820618600000.0
2009.0,2818957600000.0,2818957600000.0
2010.0,2809623500000.0,2809623500000.0
2011.0,2823182000000.0,2823182000000.0
2012.0,2812761000000.0,2812761000000.0
2013.0,2795668800000.0,2795668800000.0
2014.0,2783367400000.0,2783367400000.0
2015.0,2784162000000.0,2784162000000.0
2016.0,2806699300000.0,2806699300000.0
2017.0,2784417300000.0,2784417300000.0
2018.0,2783591000000.0,2783591000000.0
2019.0,2770726300000.0,2770726300000.0
2020.0,2775568400000.0,2775568400000.0
2021.0,2747435000000.0,2773341400000.0
2022.0,2736854400000.0,2739610800000.0
2023.0,2742571000000.0,2711618600000.0
2024.0,2719228400000.0,2694253000000.0
2025.0,2700812000000.0,2695232000000.0
2026.0,2693926000000.0,2684170300000.0
2027.0,2698347000000.0,2672907500000.0
2028.0,2682710400000.0,2664759800000.0
2029.0,2676391100000.0,2642563600000.0
2030.0,2675830400000.0,2623408000000.0
2031.0,2686900200000.0,2613448800000.0
2032.0,2687244200000.0,2602048000000.0
2033.0,2671378400000.0,2604597800000.0
2034.0,2651445000000.0,2582688800000.0
2035.0,2643570200000.0,2553269200000.0
2036.0,2632475000000.0,2540265000000.0
2037.0,2624383600000.0,2513267300000.0
2038.0,2595540400000.0,2506253700000.0
2039.0,2574341400000.0,2502293000000.0
2040.0,2561983400000.0,2501453800000.0
2041.0,2542223500000.0,2487332400000.0
2042.0,2528866700000.0,2456375500000.0
2043.0,2510808000000.0,2440139600000.0
2044.0,2513973800000.0,2413403800000.0
2045.0,2474282300000.0,2395650000000.0
2046.0,2452501300000.0,2389712600000.0
2047.0,2439045200000.0,2359301800000.0
2048.0,2429566300000.0,2343478800000.0
2049.0,2409871000000.0,2310426000000.0
2050.0,2375473200000.0,2285080200000.0
2051.0,2346560000000.0,2273152000000.0
2052.0,2332544500000.0,2262180600000.0
2053.0,2312486300000.0,2238093000000.0
2054.0,2284531700000.0,2214230800000.0
2055.0,2266720000000.0,2202677500000.0
2056.0,2260354700000.0,2217374000000.0
2057.0,2242851400000.0,2199131300000.0
