time,MPI-ESM-LR,CANESM2,CESM1-CAM5
2000.0,888727700000.0,888779300000.0,888781200000.0
2001.0,888242600000.0,888293500000.0,888295400000.0
2002.0,885664500000.0,885716700000.0,885718600000.0
2003.0,883478800000.0,883532000000.0,883533900000.0
2004.0,879247560000.0,879301400000.0,879303300000.0
2005.0,875435460000.0,875489070000.0,875491030000.0
2006.0,865677000000.0,865730360000.0,865732460000.0
2007.0,853324100000.0,853376000000.0,853378000000.0
2008.0,842977000000.0,843028300000.0,843030270000.0
2009.0,840740400000.0,840791000000.0,840793000000.0
2010.0,822611540000.0,822660370000.0,822662300000.0
2011.0,810126700000.0,810174400000.0,810176350000.0
2012.0,804602300000.0,804648300000.0,804650300000.0
2013.0,791581600000.0,791626600000.0,791628550000.0
2014.0,787315160000.0,787360060000.0,787362000000.0
2015.0,775620900000.0,775664400000.0,775666340000.0
2016.0,770227240000.0,770270950000.0,770273000000.0
2017.0,760492400000.0,760536040000.0,760538100000.0
2018.0,752445200000.0,752488100000.0,752490100000.0
2019.0,740688900000.0,740730860000.0,740732960000.0
2020.0,733163950000.0,733205360000.0,733207400000.0
2021.0,718335250000.0,724769500000.0,721240500000.0
2022.0,701856600000.0,716557060000.0,713002200000.0
2023.0,689185550000.0,697571500000.0,705888000000.0
2024.0,680944900000.0,690393650000.0,692654830000.0
2025.0,677295950000.0,690946970000.0,677360000000.0
2026.0,669381500000.0,683625800000.0,668383400000.0
2027.0,651763600000.0,678346600000.0,649701300000.0
2028.0,633240700000.0,665911200000.0,639771540000.0
2029.0,608483930000.0,647762540000.0,628297700000.0
2030.0,589623600000.0,628226500000.0,625066800000.0
2031.0,582573160000.0,627483000000.0,616155640000.0
2032.0,563785400000.0,620959560000.0,600223300000.0
2033.0,549172740000.0,607374930000.0,579916860000.0
2034.0,549961500000.0,595731550000.0,567281900000.0
2035.0,546775330000.0,576088970000.0,556895700000.0
2036.0,535966320000.0,554025000000.0,543913970000.0
2037.0,527846400000.0,547283630000.0,532156480000.0
2038.0,521349430000.0,532025340000.0,513732670000.0
2039.0,504397100000.0,520246950000.0,500996900000.0
2040.0,488909470000.0,525280870000.0,490460020000.0
2041.0,478544560000.0,518655740000.0,485877480000.0
2042.0,473230340000.0,503135860000.0,477254000000.0
2043.0,466690380000.0,490002680000.0,457851570000.0
2044.0,465001000000.0,475226440000.0,448143070000.0
2045.0,453947800000.0,468003100000.0,435034200000.0
2046.0,448894140000.0,460785520000.0,431848260000.0
2047.0,436181760000.0,446389160000.0,420812230000.0
2048.0,422786200000.0,439512530000.0,416690370000.0
2049.0,412221100000.0,430009750000.0,414798200000.0
2050.0,408822970000.0,423505530000.0,407328880000.0
2051.0,411507920000.0,418486800000.0,404585400000.0
2052.0,404750470000.0,411786700000.0,397287400000.0
2053.0,404991840000.0,405987800000.0,398738460000.0
2054.0,406088020000.0,398369550000.0,390276940000.0
2055.0,401099160000.0,397960120000.0,384087700000.0
2056.0,404050050000.0,385221850000.0,376414340000.0
2057.0,398848200000.0,381662600000.0,375631020000.0
2058.0,389419860000.0,387260320000.0,363468750000.0
2059.0,393543000000.0,379138800000.0,353493780000.0
2060.0,388941680000.0,366471480000.0,348585160000.0
2061.0,385301680000.0,354124860000.0,340095900000.0
2062.0,382389650000.0,343068280000.0,333586960000.0
2063.0,379916980000.0,333366720000.0,334068650000.0
2064.0,382256600000.0,329223930000.0,325849870000.0
2065.0,376641450000.0,323504900000.0,319329040000.0
2066.0,373692730000.0,316613170000.0,312991880000.0
2067.0,378092200000.0,307992400000.0,315320760000.0
2068.0,376301750000.0,301754740000.0,307537150000.0
2069.0,369587800000.0,298428600000.0,302601040000.0
2070.0,367661120000.0,290495760000.0,300359200000.0
2071.0,367569170000.0,288797070000.0,295935570000.0
2072.0,368684430000.0,286217860000.0,294928840000.0
2073.0,363535240000.0,283289320000.0,289243660000.0
2074.0,364165920000.0,278805150000.0,285764120000.0
2075.0,359801260000.0,283988660000.0,284557440000.0
2076.0,362841600000.0,279896300000.0,285571480000.0
2077.0,362132830000.0,283626340000.0,288516370000.0
2078.0,363893900000.0,285786080000.0,285980160000.0
2079.0,365668760000.0,281843730000.0,285969780000.0
2080.0,358322730000.0,278587700000.0,280927540000.0
2081.0,359699450000.0,282559770000.0,279554330000.0
2082.0,360012940000.0,287970260000.0,276801780000.0
2083.0,360530400000.0,285721560000.0,274864650000.0
2084.0,355022670000.0,289706640000.0,272578040000.0
2085.0,354402730000.0,302315830000.0,271213530000.0
2086.0,363462520000.0,304156300000.0,270535480000.0
2087.0,359692440000.0,304780600000.0,269420630000.0
2088.0,367672750000.0,313787000000.0,273299870000.0
2089.0,363511450000.0,313359240000.0,270974930000.0
2090.0,359090230000.0,309317830000.0,268133430000.0
2091.0,361126260000.0,313627870000.0,266931030000.0
2092.0,357587780000.0,320167120000.0,272058940000.0
2093.0,363004130000.0,328122960000.0,272018030000.0
2094.0,363348030000.0,325235300000.0,267182880000.0
2095.0,367780950000.0,327884280000.0,269797700000.0
2096.0,369662070000.0,325047120000.0,269696650000.0
2097.0,368698700000.0,327158530000.0,269200540000.0
2098.0,366739030000.0,324178180000.0,270232900000.0
2099.0,362512600000.0,320745100000.0,271174040000.0
2100.0,361507980000.0,316178600000.0,272382600000.0
2101.0,370074700000.0,316686930000.0,269742300000.0
2102.0,377316840000.0,321790150000.0,269560500000.0
2103.0,376967860000.0,329180870000.0,268280120000.0
2104.0,373968270000.0,329274900000.0,268399670000.0
2105.0,375768600000.0,331675760000.0,270853770000.0
2106.0,375915540000.0,327316180000.0,267908090000.0
2107.0,378196460000.0,322491500000.0,266744660000.0
2108.0,381764700000.0,326371340000.0,267318690000.0
2109.0,379627800000.0,327834470000.0,267701960000.0
2110.0,377423700000.0,323078060000.0,270652820000.0
2111.0,382726670000.0,325099260000.0,270557320000.0
2112.0,378577940000.0,324740300000.0,270066430000.0
2113.0,379633100000.0,319732020000.0,265780020000.0
2114.0,383067900000.0,314869870000.0,263783200000.0
2115.0,377589040000.0,320374900000.0,261574070000.0
2116.0,375665700000.0,315693920000.0,260910500000.0
2117.0,379113900000.0,314258030000.0,259355890000.0
2118.0,378192040000.0,314660450000.0,256052040000.0
2119.0,384711850000.0,320019000000.0,250480400000.0
2120.0,391423070000.0,325560600000.0,254224910000.0
2121.0,400598530000.0,320045840000.0,255638880000.0
2122.0,403633860000.0,316392140000.0,256718100000.0
2123.0,408944000000.0,320332660000.0,252274160000.0
2124.0,411981200000.0,333930600000.0,251994490000.0
2125.0,418325920000.0,340659440000.0,252077830000.0
2126.0,412613800000.0,333958870000.0,250089780000.0
2127.0,408562070000.0,329073980000.0,245795820000.0
2128.0,404816230000.0,325148640000.0,249163550000.0
2129.0,407610950000.0,323963850000.0,245539950000.0
2130.0,417504400000.0,313448730000.0,245328270000.0
2131.0,420020220000.0,313773460000.0,244427080000.0
2132.0,426652240000.0,315143420000.0,245958070000.0
2133.0,424728560000.0,317147400000.0,244348650000.0
2134.0,422367360000.0,318130160000.0,238018600000.0
2135.0,414261100000.0,320089300000.0,235038060000.0
2136.0,417271200000.0,315838460000.0,233328620000.0
2137.0,415384900000.0,307357120000.0,232470220000.0
2138.0,409834620000.0,309092680000.0,235400970000.0
2139.0,412771880000.0,323775860000.0,234607840000.0
2140.0,417191430000.0,319828530000.0,236081100000.0
2141.0,417478540000.0,320759100000.0,235276980000.0
2142.0,422032440000.0,317754930000.0,234250760000.0
2143.0,419560850000.0,322142670000.0,234920030000.0
2144.0,417745600000.0,324627330000.0,234294230000.0
2145.0,409319540000.0,327918780000.0,236299700000.0
2146.0,408679740000.0,330196450000.0,240636020000.0
2147.0,416570570000.0,332031000000.0,246174500000.0
2148.0,419110620000.0,344421500000.0,251266920000.0
2149.0,417539520000.0,341175370000.0,251863040000.0
2150.0,419320270000.0,334278160000.0,253958700000.0
2151.0,418473800000.0,325955400000.0,251523780000.0
2152.0,419037600000.0,330220540000.0,252204730000.0
2153.0,415409570000.0,325280730000.0,251948040000.0
2154.0,418114400000.0,321258060000.0,250641270000.0
2155.0,415392920000.0,320702900000.0,251020070000.0
2156.0,416446150000.0,320196640000.0,248194450000.0
2157.0,416015200000.0,314145800000.0,249722200000.0
2158.0,414456480000.0,311603500000.0,250890600000.0
2159.0,421278120000.0,310539320000.0,250029490000.0
2160.0,428445240000.0,313814880000.0,247077260000.0
2161.0,428120380000.0,309121400000.0,249626030000.0
2162.0,421374530000.0,309413150000.0,249673250000.0
2163.0,425511220000.0,301671220000.0,254202770000.0
2164.0,437637450000.0,302433240000.0,257162850000.0
2165.0,441451870000.0,301451970000.0,259652780000.0
2166.0,443418740000.0,310978250000.0,258490090000.0
2167.0,438147900000.0,313988300000.0,255822300000.0
2168.0,439038700000.0,312703750000.0,254277600000.0
2169.0,438164420000.0,311807080000.0,250830500000.0
2170.0,441623770000.0,310350540000.0,249181670000.0
2171.0,449770720000.0,310894230000.0,248798360000.0
2172.0,445813620000.0,310700500000.0,249830380000.0
2173.0,450861000000.0,317348600000.0,250695800000.0
2174.0,458003400000.0,312583600000.0,253779950000.0
2175.0,463098480000.0,315551650000.0,254658740000.0
2176.0,460523100000.0,312417940000.0,255177300000.0
2177.0,459707320000.0,321401100000.0,251068430000.0
2178.0,466675070000.0,314490320000.0,251115490000.0
2179.0,471158230000.0,309259960000.0,252971250000.0
2180.0,473410830000.0,311534200000.0,257735700000.0
2181.0,472146020000.0,307218120000.0,262606880000.0
2182.0,481317450000.0,311864900000.0,261249860000.0
2183.0,492273630000.0,312035800000.0,261280500000.0
2184.0,492640700000.0,313294650000.0,257098370000.0
2185.0,485212130000.0,311940250000.0,257715320000.0
2186.0,487008140000.0,321628470000.0,259655570000.0
2187.0,492680700000.0,327063760000.0,260266770000.0
2188.0,511355680000.0,325070100000.0,257334940000.0
2189.0,509569070000.0,329816180000.0,259605100000.0
2190.0,512561640000.0,326974900000.0,261583620000.0
2191.0,512696880000.0,332883800000.0,259925640000.0
2192.0,519111800000.0,330432480000.0,258703970000.0
2193.0,523191200000.0,323252780000.0,261095770000.0
2194.0,523445530000.0,328434250000.0,261619940000.0
2195.0,525078820000.0,337401900000.0,263689080000.0
2196.0,527673720000.0,337528600000.0,262233490000.0
2197.0,537901730000.0,341605550000.0,265266610000.0
2198.0,533970100000.0,342676080000.0,268044960000.0
2199.0,539426750000.0,342011200000.0,267801050000.0
2200.0,539351220000.0,338571070000.0,270156230000.0
2201.0,547005140000.0,339763900000.0,269765000000.0
2202.0,543671840000.0,339514230000.0,265879450000.0
2203.0,546393130000.0,341357300000.0,263321800000.0
2204.0,545900460000.0,353280460000.0,264578250000.0
2205.0,557846360000.0,356365340000.0,264142520000.0
2206.0,550131660000.0,358730920000.0,260085830000.0
2207.0,546601270000.0,362016670000.0,258341910000.0
2208.0,539932130000.0,359938560000.0,259126800000.0
2209.0,540073820000.0,353442270000.0,263032980000.0
2210.0,532393300000.0,354259900000.0,261717620000.0
2211.0,527543140000.0,353925430000.0,260117050000.0
2212.0,526063080000.0,357326160000.0,259654240000.0
2213.0,529499100000.0,363827660000.0,257120340000.0
2214.0,533590440000.0,362158400000.0,261069680000.0
2215.0,538180400000.0,356745350000.0,264443760000.0
2216.0,536953750000.0,355415920000.0,267409240000.0
2217.0,532127220000.0,358878180000.0,271945840000.0
2218.0,536831100000.0,353386230000.0,271428980000.0
2219.0,538708740000.0,358946200000.0,271975740000.0
2220.0,531370540000.0,361142350000.0,273950740000.0
2221.0,536502600000.0,358952900000.0,271979480000.0
2222.0,539418530000.0,354047300000.0,269176910000.0
2223.0,540015950000.0,346446820000.0,268789610000.0
2224.0,541099980000.0,346960270000.0,271648640000.0
2225.0,544204060000.0,350316300000.0,270295290000.0
2226.0,532207000000.0,345043500000.0,265789830000.0
2227.0,528392900000.0,344767040000.0,265880420000.0
2228.0,532996900000.0,341588800000.0,266759260000.0
2229.0,531686100000.0,339308000000.0,265302360000.0
2230.0,534480800000.0,338045170000.0,264188740000.0
2231.0,535599320000.0,335842100000.0,263766050000.0
2232.0,540897020000.0,339254100000.0,263974110000.0
2233.0,544831730000.0,339515970000.0,265328180000.0
2234.0,537637620000.0,340144300000.0,268174150000.0
2235.0,537640830000.0,345217400000.0,268051150000.0
2236.0,543942500000.0,344677650000.0,275292320000.0
2237.0,541357470000.0,349082320000.0,278626570000.0
2238.0,542148070000.0,348389570000.0,277622420000.0
2239.0,543122420000.0,346082770000.0,273409950000.0
2240.0,546996060000.0,355605020000.0,273843100000.0
2241.0,545949200000.0,355567800000.0,273322000000.0
2242.0,540475330000.0,355332800000.0,273169300000.0
2243.0,546073350000.0,353493200000.0,272862660000.0
2244.0,562698500000.0,357045760000.0,270913200000.0
2245.0,575314900000.0,355104400000.0,275428000000.0
2246.0,578418050000.0,347273950000.0,275115970000.0
2247.0,578090600000.0,344752800000.0,272697970000.0
2248.0,588081660000.0,341634650000.0,273165000000.0
2249.0,585674900000.0,354653140000.0,269633010000.0
2250.0,589270160000.0,353187300000.0,268109120000.0
2251.0,586966300000.0,352426300000.0,269714370000.0
2252.0,582292800000.0,357268060000.0,267569890000.0
2253.0,580683040000.0,353563050000.0,266077400000.0
2254.0,586423000000.0,365487460000.0,269904600000.0
2255.0,589027930000.0,365152800000.0,270074040000.0
2256.0,596726200000.0,372368380000.0,271707340000.0
2257.0,598018400000.0,371668100000.0,270949240000.0
2258.0,594272000000.0,378321370000.0,268354060000.0
2259.0,594511270000.0,383087280000.0,270149730000.0
2260.0,587666100000.0,379924700000.0,268459210000.0
2261.0,583980200000.0,370766280000.0,266521050000.0
2262.0,582785200000.0,368712840000.0,268882260000.0
2263.0,595609000000.0,375115400000.0,267593430000.0
2264.0,597288700000.0,397212160000.0,268838830000.0
2265.0,592054600000.0,410243730000.0,275592400000.0
2266.0,592157400000.0,406038280000.0,278387850000.0
2267.0,584234430000.0,402044850000.0,281630600000.0
2268.0,586018900000.0,405445500000.0,284568200000.0
2269.0,584620800000.0,412081060000.0,281195800000.0
2270.0,587358540000.0,412134150000.0,283057700000.0
2271.0,577519940000.0,405867330000.0,284405800000.0
2272.0,597534400000.0,407421780000.0,280724440000.0
2273.0,596877840000.0,397926270000.0,280228760000.0
2274.0,598313000000.0,398276000000.0,279476080000.0
2275.0,600399150000.0,388684800000.0,276909650000.0
2276.0,590133700000.0,386267380000.0,276815580000.0
2277.0,595776000000.0,391233630000.0,276967520000.0
2278.0,600027900000.0,388607740000.0,274141360000.0
2279.0,599369450000.0,384505540000.0,275891600000.0
2280.0,607115740000.0,385641580000.0,285754720000.0
2281.0,603010960000.0,395655500000.0,289436000000.0
2282.0,602065000000.0,393816280000.0,289620750000.0
2283.0,617264400000.0,401574600000.0,291834300000.0
2284.0,607169600000.0,397103630000.0,294368580000.0
2285.0,603706900000.0,396831300000.0,295751750000.0
2286.0,601773200000.0,391258770000.0,294108460000.0
2287.0,606920640000.0,386517760000.0,293039140000.0
2288.0,605079600000.0,384427620000.0,292941330000.0
2289.0,605218600000.0,391754380000.0,290230370000.0
2290.0,613944100000.0,388770100000.0,291196200000.0
2291.0,617954930000.0,379642540000.0,292040770000.0
2292.0,614276140000.0,382137240000.0,295965950000.0
2293.0,609661000000.0,385481380000.0,295427570000.0
2294.0,610757250000.0,387622200000.0,291307700000.0
2295.0,619695640000.0,386887900000.0,288017250000.0
2296.0,619889030000.0,381827870000.0,286214320000.0
2297.0,613079650000.0,380684730000.0,289155100000.0
2298.0,610784800000.0,383697260000.0,290774500000.0
2299.0,622395700000.0,387252200000.0,288615760000.0
2300.0,621868350000.0,384364970000.0,286425450000.0
