time,CESM1-CAM5,NORESM1-M,CSIRO-MK3-6-0,MPI-ESM-LR
2000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,72596370000.0,72294560000.0,72044490000.0,71328180000.0
2022.0,71820350000.0,69983085000.0,68580000000.0,69416485000.0
2023.0,71645910000.0,69343300000.0,66598867000.0,69852290000.0
2024.0,71810154000.0,66250540000.0,65217135000.0,71157600000.0
2025.0,67910332000.0,64187140000.0,62188294000.0,71111720000.0
2026.0,64160772000.0,64145027000.0,57666470000.0,69139070000.0
2027.0,63585337000.0,63746535000.0,57549574000.0,66820930000.0
2028.0,63659635000.0,62733350000.0,57172603000.0,66895745000.0
2029.0,64419643000.0,60572262000.0,57581965000.0,65033730000.0
2030.0,61526440000.0,59275210000.0,57178500000.0,63443915000.0
2031.0,55517524000.0,56580040000.0,57173980000.0,63040310000.0
2032.0,53356860000.0,55812776000.0,57225180000.0,61381960000.0
2033.0,53173580000.0,54767514000.0,56155267000.0,56350370000.0
2034.0,50813145000.0,52620902000.0,54488474000.0,48386340000.0
2035.0,47910797000.0,52143180000.0,54511784000.0,46331990000.0
2036.0,46856925000.0,51224494000.0,51221760000.0,45168734000.0
2037.0,45670236000.0,49514373000.0,47243047000.0,42500340000.0
2038.0,42213210000.0,47292887000.0,43631170000.0,40276394000.0
2039.0,41370673000.0,44514950000.0,40676790000.0,39403070000.0
2040.0,40926376000.0,43288120000.0,39746040000.0,37698757000.0
2041.0,40224104000.0,40829796000.0,37359948000.0,36255228000.0
2042.0,39280562000.0,41309650000.0,33562420000.0,37222527000.0
2043.0,38786957000.0,39687700000.0,30399943000.0,37620494000.0
2044.0,37595943000.0,37500584000.0,27412922000.0,35339940000.0
2045.0,34539557000.0,34759946000.0,25928454000.0,32230790000.0
2046.0,34050296000.0,32274825000.0,24487746000.0,31361593000.0
2047.0,32551506000.0,32981606000.0,24345143000.0,30564522000.0
2048.0,29224354000.0,33856952000.0,24971303000.0,30073369000.0
2049.0,28918673000.0,33966717000.0,23708365000.0,29482752000.0
2050.0,28759808000.0,34016440000.0,22210443000.0,28492005000.0
2051.0,27937681000.0,33610617000.0,20505827000.0,27376245000.0
2052.0,25820486000.0,32864733000.0,18935044000.0,25612196000.0
2053.0,25888130000.0,30760810000.0,17381860000.0,23161938000.0
2054.0,25497178000.0,30301714000.0,16010959000.0,22231070000.0
2055.0,25274135000.0,30375512000.0,14246731000.0,21544374000.0
2056.0,23631487000.0,29625180000.0,12052367000.0,21546344000.0
2057.0,23824155000.0,29041680000.0,11919904000.0,21879724000.0
2058.0,23413606000.0,28408463000.0,11072266000.0,22246052000.0
2059.0,23332024000.0,28095807000.0,10089082000.0,21229963000.0
2060.0,22342384000.0,28428999000.0,9482672000.0,20113183000.0
2061.0,21151183000.0,27515488000.0,8762740000.0,20257855000.0
2062.0,20799082000.0,26411684000.0,8470117400.0,20182215000.0
2063.0,21170530000.0,25583507000.0,8111301000.0,19362615000.0
2064.0,20975288000.0,24953524000.0,8097133600.0,17902645000.0
2065.0,20712440000.0,24613683000.0,8202499600.0,17198076000.0
2066.0,20319857000.0,24372280000.0,8351267300.0,17542930000.0
2067.0,19634403000.0,24155360000.0,8017860600.0,17747010000.0
2068.0,18441556000.0,23615328000.0,7871986700.0,18499248000.0
2069.0,17672086000.0,24445140000.0,7545387500.0,18591089000.0
