time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0
2021.0,68992336000.0,70538480000.0,74932080000.0
2022.0,66021618000.0,64451043000.0,76110980000.0
2023.0,66060493000.0,61098910000.0,73844640000.0
2024.0,66195677000.0,60728435000.0,68646826000.0
2025.0,63816570000.0,59343688000.0,67055227000.0
2026.0,61915530000.0,56629654000.0,64616796000.0
2027.0,59745880000.0,52034930000.0,59557454000.0
2028.0,55536067000.0,48926790000.0,57988090000.0
2029.0,51893748000.0,48308740000.0,58868965000.0
2030.0,49051193000.0,47078384000.0,56545650000.0
2031.0,47957270000.0,47156064000.0,53103858000.0
2032.0,46219543000.0,47738540000.0,52657123000.0
2033.0,45370204000.0,47745266000.0,50727500000.0
2034.0,42798910000.0,43773460000.0,47713034000.0
2035.0,41377400000.0,40412373000.0,45605080000.0
2036.0,40735040000.0,39960904000.0,46247363000.0
2037.0,36982702000.0,40364760000.0,44830183000.0
2038.0,34915578000.0,38899884000.0,41636750000.0
2039.0,33456191000.0,36896084000.0,40820310000.0
2040.0,29841383000.0,35525940000.0,40088138000.0
2041.0,27697551000.0,33590712000.0,39109513000.0
2042.0,24916625000.0,31710142000.0,37039420000.0
2043.0,22788145000.0,28654303000.0,34794360000.0
2044.0,22242607000.0,23394335000.0,33676851000.0
2045.0,20240079000.0,23290108000.0,31625177000.0
2046.0,18699764000.0,23918365000.0,30169586000.0
2047.0,16690765000.0,23415820000.0,28581743000.0
2048.0,14420919000.0,22213660000.0,28207634000.0
2049.0,13777517000.0,21538670000.0,27678767000.0
2050.0,13486671000.0,21085338000.0,25426127000.0
2051.0,13475741000.0,19822068000.0,24281369000.0
2052.0,12994747000.0,18758308000.0,23716506000.0
2053.0,11855767000.0,17539463000.0,22663397000.0
2054.0,10887390000.0,16342026000.0,22248798000.0
