time,CCSM4,CSIRO-MK3-6-0,MPI-ESM-LR
2000.0,5145098000000.0,5145098000000.0,5145098000000.0
2001.0,5145600000000.0,5145600000000.0,5145600000000.0
2002.0,5142958000000.0,5142958000000.0,5142958000000.0
2003.0,5150693000000.0,5150693000000.0,5150693000000.0
2004.0,5149819400000.0,5149819400000.0,5149819400000.0
2005.0,5104104000000.0,5104104000000.0,5104104000000.0
2006.0,5083803000000.0,5083803000000.0,5083803000000.0
2007.0,5064279700000.0,5064279700000.0,5064279700000.0
2008.0,5046829000000.0,5046829000000.0,5046829000000.0
2009.0,5001120300000.0,5001120300000.0,5001120300000.0
2010.0,4980125000000.0,4980125000000.0,4980125000000.0
2011.0,4967154300000.0,4967154300000.0,4967154300000.0
2012.0,4926467000000.0,4926467000000.0,4926467000000.0
2013.0,4901891000000.0,4901891000000.0,4901891000000.0
2014.0,4867358700000.0,4867358700000.0,4867358700000.0
2015.0,4865627000000.0,4865627000000.0,4865627000000.0
2016.0,4841246600000.0,4841246600000.0,4841246600000.0
2017.0,4787446000000.0,4787446000000.0,4787446000000.0
2018.0,4759668400000.0,4759668400000.0,4759668400000.0
2019.0,4717132000000.0,4717132000000.0,4717132000000.0
2020.0,4686995000000.0,4686995000000.0,4686995000000.0
2021.0,4681888000000.0,4643760000000.0,4667731300000.0
2022.0,4674763600000.0,4618343000000.0,4638143000000.0
2023.0,4642983000000.0,4600533400000.0,4588812000000.0
2024.0,4577556000000.0,4580642000000.0,4554805000000.0
2025.0,4536134000000.0,4545215700000.0,4545064700000.0
2026.0,4486717000000.0,4507716000000.0,4505722700000.0
2027.0,4445236000000.0,4472540000000.0,4454792000000.0
2028.0,4413305400000.0,4453917000000.0,4443347600000.0
2029.0,4384227600000.0,4433730000000.0,4399676000000.0
2030.0,4359606200000.0,4417677400000.0,4366673600000.0
2031.0,4349441900000.0,4394742000000.0,4353126300000.0
2032.0,4328952400000.0,4379660500000.0,4339121300000.0
2033.0,4286542200000.0,4340448000000.0,4299646300000.0
2034.0,4253065200000.0,4315208000000.0,4239311000000.0
2035.0,4218917500000.0,4302304400000.0,4214096100000.0
2036.0,4194375300000.0,4284779300000.0,4195220700000.0
2037.0,4158058700000.0,4221637500000.0,4181400700000.0
2038.0,4094831400000.0,4186863800000.0,4164083000000.0
2039.0,4062797000000.0,4149407400000.0,4139248000000.0
2040.0,4036173500000.0,4078547000000.0,4110890300000.0
2041.0,4007847300000.0,4048892200000.0,4089795600000.0
2042.0,3975719700000.0,3980917000000.0,4070696800000.0
2043.0,3932907000000.0,3947513000000.0,4052454500000.0
2044.0,3899571800000.0,3903510800000.0,4013415000000.0
2045.0,3884339400000.0,3845416000000.0,3994291000000.0
2046.0,3863748800000.0,3819269300000.0,3971562900000.0
2047.0,3840549300000.0,3787669000000.0,3940688000000.0
2048.0,3814967500000.0,3756203200000.0,3921342400000.0
2049.0,3793428700000.0,3744842400000.0,3908981000000.0
2050.0,3743813500000.0,3719081800000.0,3885477100000.0
2051.0,3698219500000.0,3709791400000.0,3863972000000.0
2052.0,3656147000000.0,3670267400000.0,3833133500000.0
2053.0,3626319700000.0,3634139000000.0,3804816200000.0
2054.0,3600312700000.0,3608072700000.0,3771515500000.0
2055.0,3581933300000.0,3578576200000.0,3734487700000.0
2056.0,3544892600000.0,3560255500000.0,3708233700000.0
2057.0,3514487500000.0,3510579800000.0,3678088200000.0
2058.0,3472301500000.0,3454037000000.0,3667320400000.0
2059.0,3446475800000.0,3421956500000.0,3654253000000.0
2060.0,3426459800000.0,3376902600000.0,3634760300000.0
2061.0,3400780500000.0,3362447200000.0,3596888000000.0
2062.0,3359528700000.0,3304287400000.0,3561841800000.0
2063.0,3330877000000.0,3277108300000.0,3533391800000.0
2064.0,3290365200000.0,3249933600000.0,3495721700000.0
2065.0,3258176200000.0,3210740200000.0,3472643900000.0
2066.0,3202133000000.0,3190941500000.0,3438811800000.0
2067.0,3171078600000.0,3151175000000.0,3411756400000.0
2068.0,3137702700000.0,3116066100000.0,3381886000000.0
2069.0,3091340500000.0,3091530800000.0,3344807500000.0
2070.0,3057240000000.0,3070794700000.0,3323098800000.0
2071.0,3021992000000.0,3032221200000.0,3289575800000.0
2072.0,2967373000000.0,3009521000000.0,3263068000000.0
2073.0,2935382300000.0,2990757600000.0,3230559600000.0
2074.0,2901790000000.0,2975751500000.0,3184496000000.0
2075.0,2867581200000.0,2937402200000.0,3161655000000.0
2076.0,2818133500000.0,2895782000000.0,3138730600000.0
2077.0,2785643000000.0,2861577800000.0,3111594500000.0
2078.0,2756786500000.0,2812198000000.0,3078254500000.0
2079.0,2714892800000.0,2783206400000.0,3047835000000.0
2080.0,2660933300000.0,2763408300000.0,3013593500000.0
2081.0,2628097400000.0,2720217000000.0,2994532000000.0
2082.0,2592838300000.0,2697247600000.0,2976940300000.0
2083.0,2560781500000.0,2682052400000.0,2919824000000.0
2084.0,2515149800000.0,2661262000000.0,2870932000000.0
2085.0,2479189000000.0,2629656400000.0,2831075800000.0
2086.0,2438501800000.0,2591784700000.0,2809511300000.0
2087.0,2399232000000.0,2555304500000.0,2783770000000.0
2088.0,2351588400000.0,2509275000000.0,2751266600000.0
2089.0,2319001600000.0,2491244300000.0,2702042500000.0
2090.0,2288012200000.0,2468237800000.0,2669155000000.0
2091.0,2250510000000.0,2437339400000.0,2642299800000.0
2092.0,2204958700000.0,2405879000000.0,2615350700000.0
2093.0,2152389500000.0,2376879600000.0,2594080300000.0
2094.0,2121357600000.0,2344172400000.0,2562628300000.0
2095.0,2095778800000.0,2307650200000.0,2531020500000.0
2096.0,2067627800000.0,2272159900000.0,2509925300000.0
2097.0,2033666600000.0,2239150700000.0,2475784700000.0
2098.0,2004769700000.0,2215246000000.0,2438664000000.0
2099.0,1969874000000.0,2182759000000.0,2392758400000.0
2100.0,1949453300000.0,2167960900000.0,2363859000000.0
2101.0,1911448400000.0,2137351900000.0,2343468000000.0
2102.0,1871452400000.0,2107115600000.0,2311284000000.0
2103.0,1847074100000.0,2084932300000.0,2275256600000.0
2104.0,1798974500000.0,2051312700000.0,2253497000000.0
2105.0,1743212200000.0,2020750500000.0,2217842000000.0
2106.0,1721627700000.0,1978155100000.0,2183492800000.0
2107.0,1698581000000.0,1942207900000.0,2145696500000.0
2108.0,1678912100000.0,1898581700000.0,2115930600000.0
2109.0,1646691900000.0,1859495800000.0,2085225800000.0
2110.0,1621061400000.0,1831328400000.0,2065809900000.0
2111.0,1588351000000.0,1812011400000.0,2038243700000.0
2112.0,1558378600000.0,1787637100000.0,2004926500000.0
2113.0,1528769700000.0,1765175600000.0,1966569200000.0
2114.0,1497072300000.0,1732382200000.0,1922755900000.0
2115.0,1466704600000.0,1698978700000.0,1887433100000.0
2116.0,1442509800000.0,1679557500000.0,1843441400000.0
2117.0,1421941000000.0,1649302200000.0,1814653600000.0
2118.0,1393428500000.0,1633253900000.0,1794082500000.0
2119.0,1370936800000.0,1607623500000.0,1763317300000.0
2120.0,1353029100000.0,1583052800000.0,1734182600000.0
2121.0,1321365700000.0,1551245200000.0,1703385100000.0
2122.0,1292892200000.0,1512815200000.0,1685422200000.0
2123.0,1276507300000.0,1486296000000.0,1651749000000.0
2124.0,1262818000000.0,1455236600000.0,1627079300000.0
2125.0,1236875300000.0,1438195100000.0,1593107300000.0
2126.0,1205308600000.0,1419539800000.0,1554416500000.0
2127.0,1184205400000.0,1405460700000.0,1526810300000.0
2128.0,1158254000000.0,1389504900000.0,1495062400000.0
2129.0,1124045400000.0,1377249500000.0,1459333000000.0
2130.0,1103081200000.0,1357022500000.0,1425946600000.0
2131.0,1078620800000.0,1327901400000.0,1399658900000.0
2132.0,1046424450000.0,1306206500000.0,1367762800000.0
2133.0,1027308300000.0,1279432500000.0,1334312400000.0
2134.0,1003422550000.0,1254314700000.0,1293799800000.0
2135.0,980633450000.0,1233052600000.0,1257522000000.0
2136.0,949253640000.0,1212294000000.0,1238154000000.0
2137.0,930012000000.0,1195044600000.0,1218624500000.0
2138.0,909520900000.0,1181631500000.0,1189889200000.0
2139.0,891900260000.0,1165909800000.0,1155122700000.0
2140.0,878921200000.0,1144843700000.0,1131678700000.0
2141.0,862768500000.0,1126666500000.0,1105252300000.0
2142.0,844903600000.0,1110662200000.0,1088040000000.0
2143.0,826631060000.0,1097633600000.0,1059290150000.0
2144.0,810886500000.0,1074063100000.0,1032896100000.0
2145.0,795028300000.0,1045879700000.0,1005987040000.0
2146.0,771647400000.0,1026365060000.0,984998700000.0
2147.0,754038340000.0,1016791400000.0,960087000000.0
2148.0,740429200000.0,1004573360000.0,933018100000.0
2149.0,721978460000.0,992466440000.0,910131000000.0
2150.0,706020840000.0,979589800000.0,894834640000.0
2151.0,690981960000.0,948995500000.0,874780200000.0
2152.0,679117900000.0,924754700000.0,855945640000.0
2153.0,670409700000.0,909579650000.0,828677300000.0
2154.0,661280700000.0,894629400000.0,814565750000.0
2155.0,652322870000.0,867917300000.0,796706600000.0
2156.0,642154950000.0,856411730000.0,790353940000.0
2157.0,632268700000.0,850195400000.0,776220400000.0
2158.0,621398000000.0,832980450000.0,760731300000.0
2159.0,611288500000.0,816651000000.0,737574600000.0
2160.0,597116500000.0,808095060000.0,721707400000.0
2161.0,589061700000.0,791256960000.0,709686200000.0
2162.0,581520100000.0,776572760000.0,696961400000.0
2163.0,576414500000.0,767151830000.0,684930700000.0
2164.0,569837000000.0,749990600000.0,675242400000.0
2165.0,561948400000.0,737891650000.0,665991840000.0
2166.0,556091900000.0,725719700000.0,656054940000.0
2167.0,548526400000.0,705536900000.0,648611600000.0
2168.0,543820680000.0,690746400000.0,639806340000.0
2169.0,534251400000.0,681483760000.0,628497000000.0
