time,NORESM1-M,MPI-ESM-LR,CSIRO-MK3-6-0,CESM1-CAM5
2000.0,45427584000000.0,45427584000000.0,45427584000000.0,45427584000000.0
2001.0,45422265000000.0,45422265000000.0,45422265000000.0,45422265000000.0
2002.0,45417870000000.0,45417870000000.0,45417870000000.0,45417870000000.0
2003.0,45298777000000.0,45298777000000.0,45298777000000.0,45298777000000.0
2004.0,45264610000000.0,45264610000000.0,45264610000000.0,45264610000000.0
2005.0,45238513000000.0,45238513000000.0,45238513000000.0,45238513000000.0
2006.0,45268930000000.0,45268930000000.0,45268930000000.0,45268930000000.0
2007.0,45171232000000.0,45171232000000.0,45171232000000.0,45171232000000.0
2008.0,45116606000000.0,45116606000000.0,45116606000000.0,45116606000000.0
2009.0,45098348000000.0,45098348000000.0,45098348000000.0,45098348000000.0
2010.0,45014344000000.0,45014344000000.0,45014344000000.0,45014344000000.0
2011.0,44989137000000.0,44989137000000.0,44989137000000.0,44989137000000.0
2012.0,44923960000000.0,44923960000000.0,44923960000000.0,44923960000000.0
2013.0,44930806000000.0,44930806000000.0,44930806000000.0,44930806000000.0
2014.0,44832274000000.0,44832274000000.0,44832274000000.0,44832274000000.0
2015.0,44916692000000.0,44916692000000.0,44916692000000.0,44916692000000.0
2016.0,44887520000000.0,44887520000000.0,44887520000000.0,44887520000000.0
2017.0,44900456000000.0,44900456000000.0,44900456000000.0,44900456000000.0
2018.0,44760346000000.0,44760346000000.0,44760346000000.0,44760346000000.0
2019.0,44722706000000.0,44722706000000.0,44722706000000.0,44722706000000.0
2020.0,44706545000000.0,44706545000000.0,44706545000000.0,44706545000000.0
2021.0,44642544000000.0,44649394000000.0,44655232000000.0,44696743000000.0
2022.0,44579634000000.0,44605026000000.0,44614937000000.0,44673956000000.0
2023.0,44480030000000.0,44517563000000.0,44573420000000.0,44616204000000.0
2024.0,44470762000000.0,44364487000000.0,44467860000000.0,44408003000000.0
2025.0,44405197000000.0,44293293000000.0,44377347000000.0,44321850000000.0
2026.0,44357135000000.0,44200196000000.0,44300616000000.0,44130936000000.0
2027.0,44276310000000.0,44102196000000.0,44140025000000.0,43957490000000.0
2028.0,44158014000000.0,43964166000000.0,43986940000000.0,43859740000000.0
2029.0,44084752000000.0,43770770000000.0,43837240000000.0,43764830000000.0
2030.0,43960177000000.0,43590640000000.0,43714332000000.0,43695814000000.0
2031.0,43847183000000.0,43457260000000.0,43574008000000.0,43511700000000.0
2032.0,43800802000000.0,43356248000000.0,43466554000000.0,43378510000000.0
2033.0,43713825000000.0,43271888000000.0,43291490000000.0,43143690000000.0
2034.0,43546090000000.0,43272664000000.0,43036894000000.0,42990404000000.0
2035.0,43476054000000.0,43186592000000.0,42848137000000.0,42813576000000.0
2036.0,43377370000000.0,43150266000000.0,42715593000000.0,42523385000000.0
2037.0,43273733000000.0,42976055000000.0,42632382000000.0,42289976000000.0
2038.0,43174576000000.0,42893356000000.0,42482590000000.0,42185950000000.0
2039.0,43097585000000.0,42836414000000.0,42336436000000.0,42018324000000.0
2040.0,43049360000000.0,42745100000000.0,42179910000000.0,41915560000000.0
2041.0,42930340000000.0,42712737000000.0,42096753000000.0,41752170000000.0
2042.0,42777023000000.0,42628960000000.0,41946806000000.0,41563875000000.0
2043.0,42519857000000.0,42630240000000.0,41794270000000.0,41293825000000.0
2044.0,42449527000000.0,42468343000000.0,41567134000000.0,41041550000000.0
2045.0,42307726000000.0,42339913000000.0,41360183000000.0,40723127000000.0
2046.0,42106723000000.0,42245960000000.0,41202557000000.0,40513850000000.0
2047.0,41944223000000.0,42152010000000.0,41015533000000.0,40379194000000.0
2048.0,41870990000000.0,42053320000000.0,40879004000000.0,40071302000000.0
2049.0,41724974000000.0,41927710000000.0,40734350000000.0,39727743000000.0
2050.0,41479385000000.0,41800420000000.0,40526630000000.0,39531135000000.0
2051.0,41416100000000.0,41679193000000.0,40312244000000.0,39214180000000.0
2052.0,41224593000000.0,41624360000000.0,40135714000000.0,38840723000000.0
2053.0,41090065000000.0,41514410000000.0,39900917000000.0,38539110000000.0
2054.0,40890760000000.0,41357920000000.0,39734953000000.0,38240464000000.0
2055.0,40731540000000.0,41272136000000.0,39557945000000.0,38042970000000.0
2056.0,40544390000000.0,41125110000000.0,39282354000000.0,37753440000000.0
2057.0,40398660000000.0,40924820000000.0,38984512000000.0,37320045000000.0
2058.0,40249795000000.0,40788554000000.0,38732400000000.0,36989960000000.0
2059.0,40087740000000.0,40701460000000.0,38502243000000.0,36651290000000.0
2060.0,39938550000000.0,40596340000000.0,38235963000000.0,36455645000000.0
2061.0,39774570000000.0,40474670000000.0,37930950000000.0,36241500000000.0
2062.0,39713070000000.0,40348013000000.0,37769326000000.0,35978440000000.0
2063.0,39522423000000.0,40261007000000.0,37528757000000.0,35771320000000.0
2064.0,39379167000000.0,40223530000000.0,37297290000000.0,35545384000000.0
2065.0,39274130000000.0,40161224000000.0,37086816000000.0,35381655000000.0
2066.0,39000540000000.0,40007063000000.0,36836416000000.0,35209370000000.0
2067.0,38861053000000.0,39892768000000.0,36586480000000.0,35052409000000.0
