time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2000.0,155869902570000.0,155882453877000.0,155883043170000.0
2001.0,155766089191000.0,155778626262000.0,155779205191000.0
2002.0,155579059848000.0,155591551736000.0,155592127748000.0
2003.0,155249774060000.0,155262161227000.0,155262743320000.0
2004.0,154943107127000.0,154955510094000.0,154956107467000.0
2005.0,154697489934000.0,154709803098000.0,154710417164000.0
2006.0,154491774869000.0,154504108794000.0,154504724079000.0
2007.0,154202733604000.0,154214965996000.0,154215587104000.0
2008.0,153802885913000.0,153815042220000.0,153815662943000.0
2009.0,153538937437000.0,153551205657000.0,153551803537000.0
2010.0,153032244350000.0,153044279595000.0,153044885850000.0
2011.0,152673542091000.0,152685691487000.0,152686289981000.0
2012.0,152318195409000.0,152330440059000.0,152331033509000.0
2013.0,151997263176000.0,152009403264000.0,152009992826000.0
2014.0,151660382468000.0,151672573607000.0,151673157868000.0
2015.0,151490202170000.0,151502252594000.0,151502829550000.0
2016.0,151199911909000.0,151212011695000.0,151212590709000.0
2017.0,150782212741000.0,150794118809000.0,150794690001000.0
2018.0,150367320846000.0,150379230010000.0,150379787446000.0
2019.0,150111219050000.0,150123085154000.0,150123630180000.0
2020.0,149671717592000.0,149683581560000.0,149684129552000.0
2021.0,149083840076000.0,149123828082000.0,149329739916000.0
2022.0,148441970243000.0,148867360745000.0,148955609014000.0
2023.0,148067584645000.0,148312985198000.0,148581801203000.0
2024.0,147726048407000.0,147786752708000.0,147925868965000.0
2025.0,147124829543000.0,147344942468000.0,147436578277000.0
2026.0,146605336996000.0,146975542837000.0,146950392490000.0
2027.0,146147362817000.0,146289008555000.0,146355790202000.0
2028.0,145650154669000.0,145849659942000.0,145621048646000.0
2029.0,145255666945000.0,145341702931000.0,144950864486000.0
2030.0,144856927932000.0,144913875854000.0,144458465239000.0
2031.0,144583003059000.0,144451867884000.0,143954471394000.0
2032.0,144137024150000.0,144024368510000.0,143386281579000.0
2033.0,143682045344000.0,143418245227000.0,142612819943000.0
2034.0,143135135283000.0,142629990587000.0,142071587569000.0
