time,GFDL-ESM4,EC-EARTH3-VEG,MRI-ESM2-0,CAMS-CSM1-0
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18064469000000.0,18041377000000.0,18110302000000.0,17997690000000.0
2022.0,17881560000000.0,17841743000000.0,17980760000000.0,17842490000000.0
2023.0,17726697000000.0,17710480000000.0,17856410000000.0,17660402000000.0
2024.0,17601468000000.0,17558423000000.0,17735138000000.0,17474687000000.0
2025.0,17474036000000.0,17371393000000.0,17631501000000.0,17404065000000.0
2026.0,17331998000000.0,17192042000000.0,17557625000000.0,17233666000000.0
2027.0,17239847000000.0,17034150000000.0,17473272000000.0,17069623000000.0
2028.0,17210521000000.0,16865548000000.0,17347425000000.0,16898720000000.0
2029.0,17103375000000.0,16716789000000.0,17192106000000.0,16785858000000.0
2030.0,16942224000000.0,16565837000000.0,17024224000000.0,16629607000000.0
2031.0,16897967000000.0,16383845000000.0,16888238000000.0,16495861000000.0
2032.0,16744757000000.0,16197014000000.0,16710253000000.0,16362589000000.0
2033.0,16614579000000.0,15992365000000.0,16549654000000.0,16241808000000.0
2034.0,16551797000000.0,15710122000000.0,16431621000000.0,16224312000000.0
2035.0,16453280000000.0,15540457000000.0,16331072000000.0,16144006000000.0
2036.0,16303555000000.0,15454813000000.0,16145296000000.0,16040878000000.0
2037.0,16118057000000.0,15286393000000.0,15992784000000.0,16019882000000.0
2038.0,15931073000000.0,15150381000000.0,15833291000000.0,15915158000000.0
2039.0,15872017000000.0,14978436000000.0,15664632000000.0,15737322000000.0
2040.0,15838300000000.0,14843866000000.0,15548955000000.0,15618631000000.0
2041.0,15701867000000.0,14726050000000.0,15447002000000.0,15603068000000.0
2042.0,15577617000000.0,14569753000000.0,15277071000000.0,15448244000000.0
2043.0,15444864000000.0,14468305000000.0,15118878000000.0,15363461000000.0
2044.0,15286338000000.0,14347617000000.0,15072151000000.0,15288880000000.0
2045.0,15221425000000.0,14208015000000.0,14958471000000.0,15165276000000.0
2046.0,15131850000000.0,13915339000000.0,14859367000000.0,15060883000000.0
2047.0,14986843000000.0,13806668000000.0,14771620000000.0,14979680000000.0
2048.0,14834543000000.0,13734637000000.0,14693262000000.0,14921184000000.0
2049.0,14802522000000.0,13636971000000.0,14601381000000.0,14910192000000.0
2050.0,14732316000000.0,13523659000000.0,14549712000000.0,14866358000000.0
2051.0,14572204000000.0,13436862000000.0,14442833000000.0,14780836000000.0
2052.0,14425801000000.0,13282030000000.0,14329631000000.0,14716022000000.0
2053.0,14321771000000.0,13169515000000.0,14218429000000.0,14605909000000.0
2054.0,14244937000000.0,12957589000000.0,14165039000000.0,14498895000000.0
2055.0,14153710000000.0,12817692000000.0,14127859000000.0,14417001000000.0
2056.0,14090026000000.0,12695271000000.0,14040112000000.0,14360321000000.0
2057.0,14048567000000.0,12582982000000.0,13972717000000.0,14290844000000.0
2058.0,14010482000000.0,12528942000000.0,13885513000000.0,14195542000000.0
2059.0,13932492000000.0,12395238000000.0,13804029000000.0,14070240000000.0
2060.0,13920205000000.0,12339010000000.0,13697414000000.0,14010613000000.0
2061.0,13852940000000.0,12226586000000.0,13619555000000.0,13934305000000.0
2062.0,13740374000000.0,12079384000000.0,13549485000000.0,13892227000000.0
2063.0,13595311000000.0,11985274000000.0,13453710000000.0,13842804000000.0
2064.0,13473824000000.0,11897092000000.0,13401321000000.0,13819732000000.0
2065.0,13407155000000.0,11768384000000.0,13334179000000.0,13741439000000.0
2066.0,13409164000000.0,11683698000000.0,13250037000000.0,13699003000000.0
2067.0,13348898000000.0,11594412000000.0,13217514000000.0,13634088000000.0
2068.0,13333532000000.0,11556023000000.0,13199021000000.0,13584606000000.0
2069.0,13273866000000.0,11454473000000.0,13115208000000.0,13499487000000.0
2070.0,13160116000000.0,11427740000000.0,13025951000000.0,13509923000000.0
2071.0,13118873000000.0,11341814000000.0,12916609000000.0,13455985000000.0
2072.0,12975535000000.0,11262449000000.0,12887204000000.0,13377422000000.0
2073.0,12863414000000.0,11209259000000.0,12856963000000.0,13349286000000.0
2074.0,12789985000000.0,11165418000000.0,12807944000000.0,13273941000000.0
2075.0,12737132000000.0,11025907000000.0,12771894000000.0,13245822000000.0
2076.0,12689071000000.0,10938933000000.0,12742217000000.0,13223951000000.0
2077.0,12618724000000.0,10823597000000.0,12668499000000.0,13220416000000.0
2078.0,12613400000000.0,10746470000000.0,12623794000000.0,13153399000000.0
2079.0,12546741000000.0,10655257000000.0,12619487000000.0,13058604000000.0
2080.0,12500866000000.0,10585221000000.0,12537769000000.0,12989016000000.0
2081.0,12417385000000.0,10568788000000.0,12506665000000.0,12930465000000.0
2082.0,12375885000000.0,10557973000000.0,12468208000000.0,12778920000000.0
2083.0,12315196000000.0,10541446000000.0,12416477000000.0,12718793000000.0
2084.0,12332359000000.0,10455882000000.0,12396821000000.0,12648769000000.0
2085.0,12281893000000.0,10384974000000.0,12391536000000.0,12558245000000.0
2086.0,12231646000000.0,10262802000000.0,12365507000000.0,12573293000000.0
2087.0,12203392000000.0,10169061000000.0,12258153000000.0,12552571000000.0
2088.0,12160324000000.0,10151390000000.0,12193640000000.0,12507344000000.0
2089.0,12105884000000.0,10115450000000.0,12158757000000.0,12420397000000.0
2090.0,12066558000000.0,10097078000000.0,12175939000000.0,12329580000000.0
2091.0,12011428000000.0,10024011000000.0,12149322000000.0,12213323000000.0
2092.0,11937347000000.0,9949332000000.0,12076165000000.0,12137262000000.0
2093.0,11898084000000.0,9903919000000.0,12069397000000.0,12068342000000.0
2094.0,11845827000000.0,9849605000000.0,12028234000000.0,12023382000000.0
2095.0,11827148000000.0,9774131000000.0,11956583000000.0,12032442000000.0
2096.0,11782386000000.0,9680837000000.0,11911660000000.0,11965266000000.0
2097.0,11718821000000.0,9656524000000.0,11865884000000.0,11868409000000.0
2098.0,11699731000000.0,9575928000000.0,11796197000000.0,11835243000000.0
2099.0,11675063000000.0,9540570000000.0,11756735000000.0,11811620000000.0
2100.0,11660618000000.0,9512865000000.0,11773510000000.0,11808237000000.0
