time,CESM2-WACCM,CAMS-CSM1-0,CESM2,IPSL-CM6A-LR,MRI-ESM2-0,EC-EARTH3,EC-EARTH3-VEG,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,GFDL-ESM4,ACCESS-CM2,MPI-ESM1-2-HR,NORESM2-MM
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0,19717343000000.0
2002.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0,19695190000000.0
2003.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0,19648534000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0,19422685000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0,19291357000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0,19226641000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
2012.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0,19099110000000.0
2013.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0,19055122000000.0
2014.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0,18956840000000.0
2015.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0,18872220000000.0
2016.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0,18794953000000.0
2017.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0,18614567000000.0
2018.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0,18489675000000.0
2019.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0,18371087000000.0
2020.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0,18190128000000.0
2021.0,18041243000000.0,18085933000000.0,18069328000000.0,18185565000000.0,18083430000000.0,18092230000000.0,18102550000000.0,18043736000000.0,18156970000000.0,18136623000000.0,18118430000000.0,18024235000000.0,18040876000000.0,18072107000000.0,18223819000000.0,18094070000000.0,18034798000000.0
2022.0,17865596000000.0,18067438000000.0,17975810000000.0,18095431000000.0,17998413000000.0,18071555000000.0,18001632000000.0,17870426000000.0,17968138000000.0,18026870000000.0,17928000000000.0,17955335000000.0,17882285000000.0,17865707000000.0,18158128000000.0,18076035000000.0,17955400000000.0
2023.0,17716092000000.0,17973090000000.0,17800563000000.0,18042138000000.0,17944150000000.0,18009515000000.0,17891645000000.0,17797560000000.0,17813192000000.0,17987690000000.0,17890114000000.0,17899842000000.0,17836949000000.0,17678250000000.0,18002330000000.0,17958770000000.0,17877500000000.0
2024.0,17535121000000.0,17829609000000.0,17691815000000.0,17952265000000.0,17878640000000.0,17865934000000.0,17837276000000.0,17727618000000.0,17635603000000.0,17908988000000.0,17802579000000.0,17796285000000.0,17707928000000.0,17593818000000.0,17867936000000.0,17888755000000.0,17827587000000.0
2025.0,17337566000000.0,17721740000000.0,17487137000000.0,17765207000000.0,17762712000000.0,17756613000000.0,17729006000000.0,17653507000000.0,17498435000000.0,17774326000000.0,17674816000000.0,17699076000000.0,17535464000000.0,17543638000000.0,17734167000000.0,17773118000000.0,17745014000000.0
2026.0,17110370000000.0,17652093000000.0,17288786000000.0,17609300000000.0,17657440000000.0,17588020000000.0,17543624000000.0,17492947000000.0,17425084000000.0,17705770000000.0,17491640000000.0,17568612000000.0,17460035000000.0,17422512000000.0,17591733000000.0,17731204000000.0,17689194000000.0
2027.0,16993790000000.0,17545164000000.0,17132916000000.0,17549165000000.0,17503321000000.0,17408426000000.0,17381415000000.0,17356490000000.0,17313480000000.0,17667186000000.0,17490520000000.0,17467728000000.0,17239610000000.0,17283734000000.0,17517816000000.0,17554513000000.0,17594862000000.0
2028.0,16792934000000.0,17456382000000.0,16999843000000.0,17515178000000.0,17435601000000.0,17296722000000.0,17151322000000.0,17051759000000.0,17240540000000.0,17570541000000.0,17370374000000.0,17440687000000.0,17100232000000.0,17229830000000.0,17400206000000.0,17371890000000.0,17499307000000.0
2029.0,16581941000000.0,17405017000000.0,16845623000000.0,17410338000000.0,17333306000000.0,17134126000000.0,17038709000000.0,16804256000000.0,17165317000000.0,17466470000000.0,17334537000000.0,17274336000000.0,16994242000000.0,17173494000000.0,17279870000000.0,17222533000000.0,17376938000000.0
2030.0,16419584000000.0,17299863000000.0,16584636000000.0,17327671000000.0,17249504000000.0,16970022000000.0,16916227000000.0,16669809000000.0,17070223000000.0,17440667000000.0,17238903000000.0,17162665000000.0,16872921000000.0,17026274000000.0,17084814000000.0,17116376000000.0,17395002000000.0
